p_55_64_yr_total, p_55_64_yr_married_de_facto, f_20_24_yr_married_de_facto, f_45_54_yr_not_married, f_45_54_yr_marrd_reg_marrge, p_15_19_yr_total, p_15_19_yr_not_married, m_35_44_yr_total, m_25_34_yr_total, p_tot_marrd_reg_marrge, m_85ov_total, f_tot_total, f_25_34_yr_not_married, f_65_74_yr_total, p_20_24_yr_total, p_85ov_marrd_reg_marrge, p_75_84_yr_total, p_25_34_yr_not_married, f_20_24_yr_total, p_20_24_yr_married_de_facto, m_15_19_yr_married_de_facto, m_85ov_marrd_reg_marrge, p_65_74_yr_total, p_45_54_yr_total, f_tot_married_de_facto, p_55_64_yr_marrd_reg_marrge, f_tot_not_married, m_tot_total, f_45_54_yr_married_de_facto, m_55_64_yr_not_married, m_65_74_yr_total, m_85ov_not_married, p_75_84_yr_married_de_facto, f_55_64_yr_marrd_reg_marrge, m_45_54_yr_married_de_facto, m_75_84_yr_married_de_facto, p_55_64_yr_not_married, f_75_84_yr_marrd_reg_marrge, f_65_74_yr_not_married, p_85ov_total, f_25_34_yr_total, p_85ov_married_de_facto, p_45_54_yr_not_married, f_25_34_yr_marrd_reg_marrge, p_85ov_not_married, m_75_84_yr_total, m_75_84_yr_marrd_reg_marrge, m_25_34_yr_marrd_reg_marrge, f_35_44_yr_not_married, f_85ov_marrd_reg_marrge, p_25_34_yr_marrd_reg_marrge, f_15_19_yr_marrd_reg_marrge, m_20_24_yr_married_de_facto, m_25_34_yr_married_de_facto, f_35_44_yr_marrd_reg_marrge, m_85ov_married_de_facto, f_65_74_yr_married_de_facto, f_35_44_yr_married_de_facto, f_tot_marrd_reg_marrge, p_25_34_yr_total, m_65_74_yr_marrd_reg_marrge, p_15_19_yr_marrd_reg_marrge, m_45_54_yr_marrd_reg_marrge, p_75_84_yr_marrd_reg_marrge, p_15_19_yr_married_de_facto, f_75_84_yr_not_married, p_65_74_yr_married_de_facto, m_20_24_yr_marrd_reg_marrge, m_75_84_yr_not_married, m_35_44_yr_marrd_reg_marrge, m_tot_married_de_facto, p_35_44_yr_marrd_reg_marrge, m_55_64_yr_total, p_35_44_yr_married_de_facto, f_15_19_yr_total, p_20_24_yr_not_married, m_20_24_yr_total, m_25_34_yr_not_married, f_75_84_yr_married_de_facto, f_85ov_married_de_facto, m_35_44_yr_married_de_facto, p_45_54_yr_married_de_facto, p_25_34_yr_married_de_facto, m_55_64_yr_married_de_facto, p_tot_married_de_facto, f_35_44_yr_total, m_15_19_yr_total, p_tot_total, p_tot_not_married, f_55_64_yr_total, m_45_54_yr_not_married, f_55_64_yr_married_de_facto, f_55_64_yr_not_married, p_45_54_yr_marrd_reg_marrge, sa4_name16, m_55_64_yr_marrd_reg_marrge, m_20_24_yr_not_married, m_15_19_yr_marrd_reg_marrge, m_tot_not_married, p_65_74_yr_marrd_reg_marrge, f_15_19_yr_married_de_facto, m_65_74_yr_not_married, p_75_84_yr_not_married, m_15_19_yr_not_married, f_45_54_yr_total, m_35_44_yr_not_married, f_20_24_yr_marrd_reg_marrge, m_45_54_yr_total, f_65_74_yr_marrd_reg_marrge, f_25_34_yr_married_de_facto, sa4_code16, p_65_74_yr_not_married, p_35_44_yr_total, f_85ov_not_married, p_35_44_yr_not_married, f_85ov_total, f_75_84_yr_total, f_20_24_yr_not_married, f_15_19_yr_not_married, m_65_74_yr_married_de_facto, p_20_24_yr_marrd_reg_marrge, m_tot_marrd_reg_marrge
25920,1948,1020,4203,10029,13681,13495,13249,10947,83304,1310,84956,3715,10055,11244,1057,9385,8171,5468,1730,55,720,19305,30040,8757,17126,34138,78602,1613,2800,9248,568,218,8512,1616,134,6839,2128,3695,3211,11759,31,7340,5368,2119,4336,3103,3970,3486,336,9340,5,710,2516,9409,23,376,1928,42069,22707,6760,14,9446,5233,179,2841,879,146,1094,8460,8465,17868,12432,3816,6573,9081,5770,4455,79,15,1889,3221,5193,1010,17223,14827,7114,163557,63030,13489,3139,939,4040,19473,"Brisbane - East",8619,4916,7,28896,12748,122,1980,3936,7049,15838,2893,287,14197,5987,2679,"301",5671,28072,1549,6378,1901,5050,4162,6443,506,438,41238
20330,1468,1316,4227,7450,10592,10427,13649,14621,70975,1363,80529,5225,7890,12706,1141,8852,11288,6399,2268,47,779,14724,25098,9057,11865,35699,73672,1322,2834,6840,564,135,5781,1365,87,6993,2063,3495,3685,15416,29,7629,6812,2519,3753,2637,5229,3809,359,12043,6,952,3334,8792,18,247,1939,35775,30033,4577,8,7330,4699,161,2991,589,167,1033,8398,8856,17189,9706,3861,5257,9895,6311,6063,45,11,1929,2687,6707,792,17910,14540,5340,154201,65322,10617,3401,683,4159,14774,"Brisbane - North",6082,5189,0,29621,8719,116,1922,4019,5291,13004,3325,377,12097,4144,3373,"302",5421,28185,1954,7130,2327,5095,4708,5134,335,542,35198
30812,1825,1741,6144,12540,19205,18964,22477,27574,117577,1639,130159,11001,10793,27017,1359,11015,24244,13300,2931,79,942,20554,39019,12073,19499,58892,123259,1633,3723,9760,674,156,9553,1740,101,9490,2515,4387,4282,28154,33,10627,12233,2889,4897,3535,9561,5778,422,21795,24,1189,4772,15080,25,288,2439,59192,55731,7079,29,12480,6051,216,3541,687,286,1269,14547,11838,29628,14645,4991,9369,23085,13722,13245,55,8,2553,3373,9691,975,23904,23295,9839,253417,111934,16165,4485,850,5769,25024,"Brisbane - South",9950,12247,10,53042,13192,137,2282,4809,9746,20315,5377,721,18703,6116,4919,"303",6674,45773,2212,11151,2647,6118,10837,9210,398,1005,58383
17378,1025,730,2850,7995,11404,11308,10886,9719,66262,935,67694,3684,6906,13818,851,6111,8265,6932,1236,38,558,13189,22197,5665,12380,28470,61908,909,1471,6288,362,89,6183,962,54,3969,1510,2374,2431,10108,13,4567,4421,1567,2766,2161,3270,2461,294,7689,4,510,1869,8601,7,172,1299,33557,19830,5034,14,7769,3671,93,1803,432,78,549,7639,5518,16246,8217,2558,5634,12321,6887,4582,33,0,1258,1871,3876,555,11184,12362,5773,129604,52158,9153,1712,476,2499,15762,"Brisbane - West",6194,6296,4,23687,9384,52,998,2354,5726,11749,1989,183,10444,4356,2001,"304",3374,23248,1202,4450,1498,3346,6020,5574,257,265,32708
19606,1606,2138,4469,7924,11383,11099,16360,24720,67023,784,93165,11152,6097,23272,587,5385,24080,12230,3603,107,398,11943,27507,13318,11049,45958,90173,1412,3081,5843,367,106,5335,1678,63,6952,1062,2884,2218,24422,24,8601,6995,1610,2490,1544,5370,5173,191,12362,6,1468,6422,9000,17,234,2339,33893,49146,3550,13,7886,2608,273,1795,629,169,877,8486,13786,17486,9696,5070,5849,19101,11044,12928,40,4,2726,3093,12705,899,27108,16513,5537,183339,89211,9910,4130,704,3868,15815,"Brisbane Inner City",5716,9405,3,43256,6529,166,1896,2678,5429,13807,5146,396,13698,2979,6282,"305",4781,32872,1238,10319,1433,2894,9699,5670,396,572,33124
27049,2790,1380,5233,8153,12445,12127,12708,11612,70344,1047,83689,4931,9207,10590,771,8570,10029,5323,2364,94,541,19198,29721,11623,14956,36340,79079,2116,4442,9990,483,219,7475,2186,147,9299,1764,3665,2521,13328,35,9716,4865,1714,4372,2797,3414,4621,229,8275,15,985,3101,7813,25,450,2597,35723,24935,6168,16,7554,4558,296,2364,1123,153,1433,6509,11202,14321,13442,5071,6022,7759,5270,5101,68,4,2471,4299,6627,1521,22824,15028,6422,162764,69599,13611,4482,1277,4862,15702,"Cairns",7479,4135,3,33254,11261,200,3143,3792,6325,15500,3722,322,14219,5093,3529,"306",6807,27740,1231,8344,1467,4192,3628,5806,679,473,34613
14458,1043,840,1855,4722,6338,6109,5932,5545,43751,713,42772,1863,5709,5441,588,6050,3903,2687,1451,62,402,11775,14602,4808,9518,15835,41930,769,2033,6068,294,128,4829,785,86,3897,1376,1837,1709,6127,22,3881,2904,1099,3017,2034,2172,1605,183,5068,3,607,1335,4234,14,248,884,22126,11675,4124,6,4447,3411,226,1614,548,137,894,3613,4564,7850,7280,1704,2975,3597,2752,2044,42,8,819,1551,2696,557,9374,6722,3362,84703,31576,7180,2021,491,1862,9166,"Darling Downs - Maranoa",4688,2004,3,15743,7751,163,1641,2508,3301,7344,1498,253,7257,3625,1366,"307",3479,12658,805,3107,995,3029,1594,2806,294,391,21625
22367,1804,1796,3560,8260,11924,11469,11901,11899,70577,867,73766,3744,7087,11106,657,7253,8062,5490,3121,135,445,14524,26178,9893,14273,27704,71630,1580,3278,7438,401,166,7034,1533,92,6293,1584,2507,2129,13221,26,7266,6316,1449,3458,2262,4614,3063,212,10923,14,1329,2976,8009,15,317,1822,36168,25117,4899,22,7537,3848,437,2144,697,249,1094,7153,9196,15166,11482,3599,5734,7252,5609,4318,72,6,1784,3114,6131,957,19093,12894,6192,145401,55735,10893,3710,847,3014,15793,"Central Queensland",7241,4042,3,28030,9161,304,2162,3243,6056,13395,2967,486,12778,4264,3159,"308",4668,24800,1045,6036,1257,3795,3215,5418,378,731,34406
58448,5012,3498,11689,20662,31323,30779,33398,32422,186201,3265,213707,12967,24863,32402,2750,23581,27210,16480,5759,178,1836,48038,69257,25674,34978,94042,195464,4090,7289,23173,1347,679,17492,4211,438,18455,5258,9814,8069,35227,114,20428,13387,5213,11214,7810,9810,10416,914,23196,20,2259,8365,21436,84,1031,5150,93995,67648,15930,27,19859,13067,517,6869,2568,375,2961,19099,25154,40534,27376,10647,15447,25475,15923,14245,234,32,5495,8302,17234,2597,50826,37010,15877,409171,172143,31075,8742,2412,11169,40523,"Gold Coast",17488,13296,6,78099,29951,343,5708,9831,15697,36438,8810,799,32814,14022,8871,"309",15522,70409,3862,19226,4805,12363,12187,15080,1533,1167,92209
30145,2133,2304,6355,11088,19791,19369,18743,19137,100123,1191,113337,7266,10442,19085,930,9888,14664,9636,3896,125,644,20447,37726,13532,18511,49243,106518,2029,4185,10002,532,195,8939,2179,119,9498,2122,4140,2905,21734,16,11617,9803,1959,4613,3103,7310,5869,284,17114,23,1596,4432,11530,17,356,2849,50564,40871,6902,26,10814,5225,393,3086,879,384,1385,10822,13009,22352,14908,5722,9563,13973,9445,7396,75,0,2873,4204,9087,1144,26536,20251,10228,219851,93188,15244,5264,994,5315,21901,"Ipswich",9576,7464,7,43945,12852,264,2579,4469,10090,19464,5044,826,18261,5946,4656,"310",6717,38995,1426,10918,1716,5277,6510,9278,520,1208,49565
