p_55_64_yr_total, p_55_64_yr_married_de_facto, f_20_24_yr_married_de_facto, f_45_54_yr_not_married, f_45_54_yr_marrd_reg_marrge, p_15_19_yr_total, p_15_19_yr_not_married, m_35_44_yr_total, m_25_34_yr_total, p_tot_marrd_reg_marrge, m_85ov_total, f_tot_total, f_25_34_yr_not_married, f_65_74_yr_total, p_20_24_yr_total, p_85ov_marrd_reg_marrge, p_75_84_yr_total, p_25_34_yr_not_married, f_20_24_yr_total, p_20_24_yr_married_de_facto, m_15_19_yr_married_de_facto, m_85ov_marrd_reg_marrge, p_65_74_yr_total, p_45_54_yr_total, f_tot_married_de_facto, p_55_64_yr_marrd_reg_marrge, f_tot_not_married, m_tot_total, f_45_54_yr_married_de_facto, m_55_64_yr_not_married, m_65_74_yr_total, m_85ov_not_married, p_75_84_yr_married_de_facto, f_55_64_yr_marrd_reg_marrge, m_45_54_yr_married_de_facto, m_75_84_yr_married_de_facto, p_55_64_yr_not_married, f_75_84_yr_marrd_reg_marrge, f_65_74_yr_not_married, p_85ov_total, f_25_34_yr_total, p_85ov_married_de_facto, p_45_54_yr_not_married, f_25_34_yr_marrd_reg_marrge, p_85ov_not_married, m_75_84_yr_total, m_75_84_yr_marrd_reg_marrge, m_25_34_yr_marrd_reg_marrge, f_35_44_yr_not_married, f_85ov_marrd_reg_marrge, p_25_34_yr_marrd_reg_marrge, f_15_19_yr_marrd_reg_marrge, m_20_24_yr_married_de_facto, m_25_34_yr_married_de_facto, f_35_44_yr_marrd_reg_marrge, m_85ov_married_de_facto, f_65_74_yr_married_de_facto, f_35_44_yr_married_de_facto, f_tot_marrd_reg_marrge, p_25_34_yr_total, m_65_74_yr_marrd_reg_marrge, p_15_19_yr_marrd_reg_marrge, m_45_54_yr_marrd_reg_marrge, p_75_84_yr_marrd_reg_marrge, p_15_19_yr_married_de_facto, f_75_84_yr_not_married, p_65_74_yr_married_de_facto, m_20_24_yr_marrd_reg_marrge, m_75_84_yr_not_married, m_35_44_yr_marrd_reg_marrge, m_tot_married_de_facto, p_35_44_yr_marrd_reg_marrge, m_55_64_yr_total, p_35_44_yr_married_de_facto, f_15_19_yr_total, p_20_24_yr_not_married, m_20_24_yr_total, m_25_34_yr_not_married, f_75_84_yr_married_de_facto, f_85ov_married_de_facto, m_35_44_yr_married_de_facto, p_45_54_yr_married_de_facto, p_25_34_yr_married_de_facto, m_55_64_yr_married_de_facto, p_tot_married_de_facto, f_35_44_yr_total, m_15_19_yr_total, p_tot_total, p_tot_not_married, f_55_64_yr_total, m_45_54_yr_not_married, f_55_64_yr_married_de_facto, f_55_64_yr_not_married, p_45_54_yr_marrd_reg_marrge, sa4_name16, m_55_64_yr_marrd_reg_marrge, m_20_24_yr_not_married, m_15_19_yr_marrd_reg_marrge, m_tot_not_married, p_65_74_yr_marrd_reg_marrge, f_15_19_yr_married_de_facto, m_65_74_yr_not_married, p_75_84_yr_not_married, m_15_19_yr_not_married, f_45_54_yr_total, m_35_44_yr_not_married, f_20_24_yr_marrd_reg_marrge, m_45_54_yr_total, f_65_74_yr_marrd_reg_marrge, f_25_34_yr_married_de_facto, sa4_code16, p_65_74_yr_not_married, p_35_44_yr_total, f_85ov_not_married, p_35_44_yr_not_married, f_85ov_total, f_75_84_yr_total, f_20_24_yr_not_married, f_15_19_yr_not_married, m_65_74_yr_married_de_facto, p_20_24_yr_marrd_reg_marrge, m_tot_marrd_reg_marrge
31381,2393,2045,6064,11093,20362,19906,19008,19160,101052,1040,113395,7103,11458,19451,812,8938,15115,9539,3485,147,568,22511,37256,13538,19903,48949,108046,2198,3822,11051,456,217,9800,2248,137,9088,1886,4567,2500,20601,45,10941,8976,1643,4231,2900,6923,5847,247,15898,32,1447,4223,11558,20,421,2869,50913,39761,7766,29,10784,4784,423,2747,1000,400,1188,10698,13037,22251,15209,5814,9835,14700,9913,8016,81,23,2948,4443,8751,1288,26573,20271,10524,221440,93821,16171,4880,1102,5270,21873,"Logan - Beaudesert",10102,8068,0,44867,14240,278,2707,3939,10379,19350,5364,856,17904,6475,4533,"311",7272,39277,1195,11213,1456,4712,6633,9530,581,1254,50142
17136,1428,1332,2490,6312,8649,8352,9099,9076,53184,616,55564,2850,5223,7758,478,5106,6149,3929,2217,80,329,10886,19874,7921,11010,20128,53738,1311,2493,5669,284,120,5498,1262,74,4700,1087,1782,1492,10242,10,5257,4778,1002,2480,1628,3331,2370,148,8106,6,879,2447,6132,8,227,1485,27522,19322,3761,9,5729,2715,289,1482,518,131,780,5239,7255,11369,8762,2955,4195,5057,3829,3293,54,3,1463,2572,5065,755,15172,9984,4455,109304,40946,8379,2769,674,2213,12039,"Mackay - Isaac - Whitsunday",5512,2818,0,20819,6969,214,1618,2266,4373,10114,2394,363,9755,3210,2619,"312",3399,19083,721,4760,873,2622,2239,3981,287,487,25664
26630,2205,1396,4950,8406,13716,13386,12230,11100,78206,1537,88232,4592,12261,11941,1174,11503,9419,5972,2348,118,821,23585,28763,10110,16391,38634,80878,1772,3405,11328,698,305,8321,1797,182,8030,2657,4657,3553,12230,33,8991,4824,2340,5445,3746,3640,4255,350,8462,13,957,2638,7437,20,545,2165,39491,23329,7842,16,7798,6401,314,3278,1249,215,1513,6583,9642,14023,12604,4269,6689,8959,5973,4829,119,14,2105,3573,5448,1123,19749,13853,7028,169110,71154,14028,4039,1086,4619,16201,"Moreton Bay - North",8073,4805,4,32518,14900,200,2778,4794,6908,15128,3537,424,13633,7059,2810,"313",7439,26086,1644,7794,2012,6058,4153,6479,705,641,38715
18515,1239,1362,3160,8504,12231,12010,13020,11310,72349,586,71686,3665,6894,11205,486,4948,7579,5603,2275,67,333,13265,25035,8323,13074,26729,66497,1299,1649,6370,244,87,6427,1360,55,4201,1152,2355,1537,12733,9,5447,6197,1041,2320,1772,4652,3148,157,10845,7,914,2744,9420,11,204,1833,36637,24041,5038,14,8421,2924,207,1441,482,211,491,8646,7932,18065,8961,3664,5964,8280,5597,3914,33,3,1828,2662,5615,665,16249,14401,6270,138191,49589,9557,2279,577,2548,16927,"Moreton Bay - South",6648,4474,4,22854,9376,142,1056,1935,6202,12962,2540,435,12066,4342,2871,"314",3403,27419,795,5690,951,2626,3812,5812,280,645,35717
7444,878,714,1331,2239,3751,3572,4124,4562,18229,207,24196,1839,1989,4248,121,1830,3708,2169,1233,55,86,4483,8800,4818,3900,10195,24832,791,1474,2490,118,51,1892,817,29,2665,289,854,461,5050,14,2824,1579,326,992,516,1191,1252,35,2770,0,527,1495,1990,8,111,1039,9187,9610,1261,6,2125,810,168,528,283,59,445,1782,4645,3771,3976,2093,1787,2823,2081,1871,19,11,1055,1605,3130,495,9459,4283,1964,49035,21345,3464,1499,383,1190,4367,"Queensland - Outback",2007,1498,5,11145,2291,117,1058,972,1907,4365,1287,129,4435,1028,1632,"315",1909,8405,206,2536,246,840,1324,1669,169,189,9045
41765,3909,1566,7345,13750,18605,18318,18139,14565,125727,2640,132329,5646,18822,14697,2343,18949,11838,7334,2560,91,1579,36253,44210,14448,25924,54113,118397,2907,4730,17429,1031,491,13194,2681,320,11923,4778,6360,6259,16414,56,12408,6882,3853,9050,6751,4872,5524,768,11760,13,997,3498,12349,36,858,3003,63769,30974,12625,17,12475,11527,273,4952,2029,226,1975,10698,13814,23045,19512,5982,9112,11481,7365,6188,172,23,2980,5586,7380,2054,28267,20879,9496,250730,96739,22257,5060,1860,7197,26219,"Sunshine Coast",12729,6142,0,42621,24230,176,3640,6928,9398,23998,4463,434,20212,11602,3884,"316",9993,39017,2823,9988,3620,9899,5340,8918,1169,658,61961
15349,926,1053,2770,5478,8674,8423,7601,8216,51414,929,54652,2996,6442,8305,771,6753,6187,4239,1808,72,539,12023,16952,5162,10094,23440,49076,766,1729,5582,379,94,5045,779,68,4322,1615,2456,2432,8889,17,4824,4211,1640,2991,2178,3280,2454,230,7498,13,756,1740,5251,9,188,840,26049,17100,4151,22,5103,3792,227,2122,424,202,745,4852,4980,10104,7261,1688,4172,5897,4067,3193,33,12,845,1549,3415,485,10147,8549,4495,103729,42172,8085,2056,444,2594,10584,"Toowoomba",5046,3116,6,18730,7948,152,1194,2862,4416,9015,1907,402,7937,3798,1679,"317",3649,16144,1262,4357,1501,3767,2784,4003,235,601,25364
23060,1976,2008,4192,7907,13211,12793,12143,12688,69437,1008,80351,4834,7979,14069,797,7918,9964,7072,3503,112,557,16221,26250,10973,14081,33845,75496,1634,3295,8237,433,184,7035,1525,114,7003,1764,2967,2460,14111,33,7855,5697,1636,3703,2464,4189,3884,234,9883,10,1490,3375,7702,16,312,2129,35525,26799,5452,11,7326,4224,402,2388,768,233,1127,6633,10171,14338,11382,4171,6396,9860,7002,5131,64,16,2041,3155,6956,1044,21142,13717,6815,155849,65267,11674,3663,934,3706,15236,"Townsville",7049,5274,3,31417,10151,288,2333,3513,6700,13732,3459,480,12515,4699,3586,"318",5302,25859,1195,7343,1446,4214,4586,6094,452,710,33910
37135,3187,1482,5684,10025,14744,14279,12310,10648,100778,2172,106115,4693,17851,11036,1745,17781,9283,5507,2581,130,1222,36010,33406,11268,22943,43842,98766,2028,5159,18156,901,553,11953,1986,346,11008,4145,5927,4963,12287,72,10667,4930,3152,8931,6067,3581,4580,518,8516,14,1099,2476,7877,45,866,2102,51012,22936,12439,17,8692,10211,440,4497,1992,233,2525,6538,10739,14418,17744,4028,7144,7746,5529,4592,205,27,1924,4015,5135,1598,21999,14566,7596,204880,82102,19388,4984,1585,5847,18720,"Wide Bay",10986,4200,6,38258,23503,308,4590,7019,7463,17740,3841,474,15665,11061,2660,"319",10517,26878,2243,8430,2791,8849,3550,6818,1128,710,49774
32534,2648,982,5178,11865,16168,16001,15978,16108,104638,2257,112071,6665,13540,18384,1961,14033,14619,9121,1679,57,1346,25266,36342,9834,20691,49435,102796,1825,3651,11727,882,245,10330,1729,159,9201,3333,5013,5794,16716,41,9466,6808,3796,6295,4669,5069,4250,615,11883,15,696,3074,11453,31,497,1850,52798,32826,8595,14,11453,7999,148,4317,1178,126,1469,10220,9722,21671,15405,3740,7883,16224,9263,7958,90,8,1891,3562,6322,1396,19561,17547,8288,214871,90666,17131,4288,1250,5549,23315,"Adelaide - Central and Hills",10360,8437,3,41229,16626,94,2451,5783,8228,18865,3861,354,17475,8034,3243,"401",7466,33523,2912,8109,3533,7733,7789,7779,685,479,51837
43742,2910,2252,9051,14499,24735,24363,25508,27540,142355,2206,157834,10473,16890,26355,1856,17007,22916,12770,3807,103,1263,31980,51292,15771,26618,70387,150633,2703,6120,15093,908,291,13209,2800,168,14207,4009,6400,5322,29229,65,16946,13365,3404,7809,5676,9890,7694,591,23259,27,1552,5211,14859,41,492,3205,71684,56772,10983,44,14344,9687,327,5068,1121,475,1968,14625,15277,29484,21102,6424,11982,20951,13581,12444,123,24,3216,5505,10602,1567,31046,25757,12753,308467,135068,22638,7897,1344,8082,28845,"Adelaide - North",13406,11558,12,64687,20974,230,3487,7036,12640,26254,7667,1125,25040,9988,5388,"402",9889,51267,2498,15362,3110,9198,9388,11725,628,1597,70673
41955,3257,1601,7076,13563,19969,19740,20383,19707,127044,2694,138337,7570,16922,20389,2382,16388,16365,10100,2633,64,1574,32059,43993,14119,26284,60136,126414,2389,4936,15137,1086,319,13186,2372,190,12409,4082,6271,6925,21083,58,12881,8850,4486,7358,5415,6575,5854,801,15420,19,1033,4340,13073,38,632,2991,64088,40788,11148,23,12783,9496,210,4822,1393,219,1754,12134,13555,25207,19756,6036,9824,17038,10288,8794,126,23,3041,4768,9007,1713,27671,21919,10142,264754,110042,22198,5802,1542,7469,26345,"Adelaide - South",13100,9032,7,49905,21166,140,3230,6570,10073,23027,5205,495,20966,10021,4663,"403",9505,42297,3401,11053,4225,9029,8005,9663,756,719,62958
25483,2036,896,5358,7801,11875,11734,13466,15173,75233,2014,89931,6164,9722,14548,1678,11821,13749,7197,1454,41,1137,18360,28909,8820,13834,43208,84248,1586,4261,8640,854,211,6868,1546,129,9614,2781,4196,5099,15658,49,10374,6429,3376,5110,3640,4703,4117,541,11138,11,558,2883,7874,30,306,1785,37903,30831,5621,15,7606,6415,126,3851,777,142,1349,7511,8434,15386,12261,3523,5816,12580,7348,7585,81,19,1744,3129,5943,1038,17251,13776,6064,174174,81684,13220,5018,998,5354,15408,"Adelaide - West",6968,6656,4,38485,10847,87,2537,5196,6013,14748,4215,367,14167,5224,3065,"404",6737,27242,2523,8330,3084,6713,5928,5714,479,509,37334
15205,1292,552,1889,4304,5627,5527,4989,4485,41165,859,40107,1454,6199,4082,692,6444,3281,1903,886,25,476,12602,13749,4318,9862,14986,39393,838,2152,6404,372,149,4993,826,93,4053,1564,1876,2068,4688,21,3918,2150,1352,3120,2133,1574,1386,218,3725,9,336,1085,3361,9,246,819,20800,9178,4501,10,3857,3697,93,1705,621,79,889,2875,4129,6232,7668,1551,2658,2982,2183,1825,54,13,732,1670,2174,647,8447,5561,2970,79502,29892,7540,2029,643,1900,8163,"Barossa - Yorke - Mid North",4864,1767,0,14898,8574,69,1533,2598,2948,7031,1387,138,6711,4071,1091,"405",3411,10551,984,2771,1209,3320,1212,2578,373,214,20360
9282,813,600,1530,2672,3963,3811,4042,4158,24707,466,27558,1527,3284,3715,356,3427,3227,1841,1009,44,241,6695,9933,3944,5550,11150,27512,722,1584,3411,219,83,2769,737,50,2918,739,1171,1108,4491,18,3309,1741,736,1684,1089,1269,1193,113,3010,16,408,1187,2294,9,122,769,12461,8645,2229,21,2504,1825,130,980,283,75,543,2052,3777,4340,4798,1517,1898,2493,1877,1700,30,14,749,1454,2410,437,7726,4257,2067,55075,22645,4488,1776,382,1337,5172,"South Australia - Outback",2781,1391,7,11497,4216,90,1023,1523,2015,4924,1243,138,5009,1990,1218,"406",2199,8295,517,2438,641,1749,1101,1792,157,214,12244
23584,2015,977,3239,6672,9306,9065,8649,7742,67089,1615,66856,2654,10506,7417,1428,11045,5936,3561,1629,63,963,20861,22296,7298,14945,25818,65109,1393,3385,10358,614,243,7603,1380,150,6633,2885,3264,3764,8069,53,6647,3569,2283,5322,3925,2663,2390,462,6230,9,656,1800,5441,35,432,1406,33744,15809,7368,14,6206,6809,230,2737,967,142,1251,4732,7028,10166,11777,2766,4505,5343,3860,3283,99,23,1357,2779,3640,1047,14323,9235,4803,131964,50551,11809,3402,970,3243,12877,"South Australia - South East",7343,3056,6,24735,14176,164,2451,3986,4728,11310,2562,297,10989,6809,1842,"407",5716,17881,1670,4952,2150,5717,2285,4336,542,441,33350
19933,1805,962,2937,6848,9611,9415,9322,7797,60661,963,61895,2713,7482,6751,853,7172,5818,3336,1582,64,601,14990,21449,7831,12966,22925,57227,1476,2298,7508,339,171,6610,1445,99,5160,1756,2383,2262,9115,29,5417,4075,1382,3384,2505,2630,2486,248,6710,7,620,2053,6543,18,324,1690,31135,16911,5461,7,6263,4260,190,1966,735,116,778,5584,7243,12130,9606,3267,4574,4789,3416,3106,69,13,1581,2920,4382,950,15078,10715,5037,119116,43377,10325,2480,860,2859,13108,"Bunbury",6362,2680,0,20454,10237,128,1636,2745,4973,11263,2150,265,10182,4776,2326,"501",4019,20040,1042,4636,1305,3785,2103,4441,418,384,29524
10604,873,594,1737,3418,5365,5218,4435,4037,34037,785,36089,1590,5283,4443,711,6097,3157,2210,972,42,489,10246,11015,4254,6725,14333,32086,748,1259,4968,289,191,3537,693,110,3005,1622,1629,1748,4863,17,3069,2047,1018,2931,2207,1397,1415,225,3440,4,381,1082,3086,9,247,810,17500,8901,3568,3,3092,3837,148,1455,551,80,614,2510,3770,5596,4879,1535,2666,3230,2237,1565,83,9,727,1435,2304,425,8027,5316,2703,68174,26115,5723,1328,443,1746,6509,"Mandurah",3188,1774,0,11779,6977,99,1093,2071,2656,5902,1199,161,5111,3406,1220,"502",2726,9753,729,2613,964,3162,1460,2563,303,235,16536
16254,1353,773,2560,6508,7672,7595,9735,13140,54231,986,61993,5671,5794,10623,845,6164,12474,5355,1280,23,579,11428,19329,7144,10128,27347,58655,940,2080,5633,385,162,4959,993,104,4771,1414,2347,2665,13322,26,4795,4366,1799,2745,1891,3223,2536,260,7590,6,501,3114,6543,16,215,1225,27504,26463,3837,6,6092,3301,69,1956,553,99,748,5837,7215,12378,7996,2595,3840,9040,5270,6803,51,5,1374,1935,6397,751,14363,10309,3830,120654,52055,8254,2230,604,2695,12605,"Perth - Inner",5169,4662,3,24710,7076,46,1459,2706,3801,10009,2532,205,9314,3235,3280,"503",3808,20049,1412,5072,1682,3417,4379,3789,341,307,26725
25148,1950,1333,4602,9654,14311,14132,15297,16654,85703,1060,92096,5633,8750,14390,886,8332,12653,7064,2172,52,635,17045,31192,10838,15676,37647,87344,1760,3184,8290,411,179,7715,1821,116,7520,1943,3353,2600,17823,36,8515,8247,1679,3922,2785,6009,4170,251,14258,7,836,3625,10156,22,351,2335,43611,34475,5825,13,9431,4725,169,2401,808,229,1026,9200,10156,19355,12179,4534,6867,11406,7327,7017,64,17,2197,3587,7560,1028,20997,16658,7441,179442,72745,12971,3910,922,4338,19086,"Perth - North East",7966,6267,5,35099,10873,114,2002,3424,7391,16019,3893,591,15171,5048,3938,"504",5356,31952,1271,8067,1539,4404,5139,6738,458,821,42088
52780,3337,2509,9157,22613,31811,31483,33621,35780,194856,2526,201162,12198,19205,31231,2306,19033,27713,15302,3956,93,1605,36631,67278,21161,35486,80811,187586,3111,5376,17424,880,332,17522,3176,201,13951,4686,7092,6240,37856,66,16261,16884,3860,8495,6418,12161,8039,707,29045,26,1446,8098,24200,44,580,4269,99192,73638,13327,26,22114,11103,300,5724,1363,358,1874,21712,19940,45909,25129,8594,15518,25903,15930,15520,133,20,4330,6281,16872,1783,41102,36502,16291,388755,152793,27650,7105,1554,8575,44733,"Perth - North West",17969,14128,5,71982,24856,209,3320,7599,16195,34883,7580,1017,32396,11537,8775,"505",10410,70121,2987,15613,3710,10542,11770,15283,777,1372,95662
46505,3216,2625,7944,17538,27574,27145,30693,36501,168113,2231,179023,12362,16578,32798,1869,16145,29244,15705,4312,128,1265,32480,55351,18568,29561,74969,173251,2772,5710,15907,930,291,14778,2844,176,13734,3691,6471,5594,37209,57,15022,17746,3666,7286,5259,12969,7602,602,30713,28,1689,6651,20253,38,564,3575,85491,73710,11450,37,17170,8948,395,5042,1343,479,1854,19240,17526,39494,22171,7108,13298,26707,17097,16877,112,24,3537,5616,13757,1688,36095,31430,14276,352277,148072,24334,7081,1531,8024,34714,"Perth - South East",14778,14931,5,73108,20998,268,3666,6902,14141,28255,7917,1302,27089,9540,7105,"506",10140,62126,2738,15513,3365,8851,11774,13000,781,1789,82622
39680,2988,2366,7056,16169,23243,22937,24114,24193,139348,2124,148791,8646,14178,23009,1838,14948,18749,11590,3840,91,1229,27372,49326,17104,25779,60280,136055,2656,4434,13198,858,282,12908,2673,175,10909,3637,5224,5368,26957,51,12571,11966,3477,6819,5033,8334,6082,607,20307,12,1477,5759,17050,35,496,3517,71406,51150,9688,20,15256,8670,288,4384,1193,242,1608,15287,15828,32333,18888,6863,11381,18317,11419,10103,104,20,3348,5328,12099,1583,32934,26647,11860,284853,112567,20794,5516,1409,6482,31424,"Perth - South West",12869,9703,5,52286,18138,198,2826,5995,11766,25884,5477,610,23445,8454,6338,"507",8048,50762,2619,11563,3248,8124,8612,11172,690,849,67939
17103,1672,642,2134,5144,5827,5672,6312,5422,46722,876,45720,1800,6345,4820,737,6622,4026,2206,1105,40,502,13252,16469,5725,10847,16324,45163,1118,2378,6908,363,188,5520,1083,115,4584,1524,1958,1979,6079,26,4475,2712,1220,3269,2265,1881,1595,236,4592,9,472,1316,4265,20,297,1136,23672,11506,4685,9,4651,3786,139,1760,682,77,890,3659,5406,7920,8598,2216,2745,3458,2620,2226,76,8,1081,2199,2884,892,11124,6992,3086,90881,33037,8503,2342,781,2201,9791,"Western Australia - Wheat Belt",5330,2066,3,16711,8773,101,1836,2642,3040,8393,1570,179,8076,4093,1566,"509",3792,13307,860,3163,1098,3357,1391,2638,390,258,23055
5845,880,736,1197,2016,3613,3419,5350,5740,18386,53,23456,1949,847,3902,13,535,3894,2020,1214,52,11,1997,8390,5287,2707,8889,23863,818,1174,1152,42,32,1207,862,22,2262,50,449,107,6530,4,2527,2566,92,283,105,1913,1261,3,4484,30,478,1875,2902,4,50,1154,9278,12267,514,47,2162,148,150,186,164,84,166,2813,5083,5716,3163,2350,1718,2438,1875,1945,11,0,1192,1685,3892,487,10373,5320,1892,47317,18552,2681,1329,391,1089,4174,"Western Australia - Outback (North)",1501,1312,13,9666,860,104,529,352,1828,4029,1344,163,4360,346,2018,"510",976,10674,51,2605,51,246,1121,1586,112,243,9112
11856,1263,868,1906,3992,6005,5792,6072,6140,33885,448,37584,2027,3685,5256,341,3606,4394,2563,1467,53,239,7872,13889,5997,6973,14293,37466,1041,1949,4190,198,125,3471,1020,69,3615,773,1371,964,6715,16,4061,2787,615,1778,1112,2021,1643,96,4807,15,601,1751,3828,12,189,1195,17289,12856,2553,22,3779,1891,196,1001,487,103,593,3283,5617,7110,6118,2348,2924,3492,2692,2370,54,4,1148,2063,3658,666,11615,6666,3078,75044,29547,5732,2155,600,1663,7768,"Western Australia - Outback (South)",3507,1992,4,15252,4682,145,1335,1592,3019,6942,1642,198,6947,2124,1901,"511",2706,12738,420,3288,524,1826,1498,2768,299,300,16591
26004,2341,1279,4697,7517,12122,11872,11771,12170,70238,1432,83877,5228,10000,12058,1159,10155,10659,5963,2148,86,792,19018,26906,10392,15307,38160,76470,1861,3482,9025,621,227,7678,1911,145,8352,2209,4075,3636,13155,34,8440,4638,2444,4522,3121,3571,4014,365,8208,10,868,3165,7116,25,406,2222,35316,25325,6217,7,7174,5325,236,3339,971,138,1255,6281,10166,13389,12374,4368,5874,9503,6095,5433,78,13,2146,3771,6457,1252,20560,13349,6249,160344,69550,13633,3744,1092,4867,14690,"Hobart",7635,5088,0,31390,11730,156,2238,4597,6167,14072,3349,275,12832,5515,3293,"601",6314,25121,1824,7360,2205,5634,4410,5709,569,407,34920
17434,1417,848,2819,5119,7712,7526,6634,6303,46940,924,51831,2486,7033,7265,729,7016,5092,3491,1438,65,491,13843,17256,5870,10736,22371,48444,1048,2363,6812,410,146,5391,1086,90,5282,1559,2691,2260,6925,35,5245,2740,1493,3239,2224,2049,2250,244,4793,11,587,1645,4228,27,288,1157,23597,13225,4664,14,4760,3778,170,2158,669,143,928,3662,5788,7888,8485,2290,3702,5420,3770,2602,65,14,1133,2132,3340,772,11659,7634,4014,100278,41684,8954,2422,645,2914,9876,"Launceston and North East",5338,3036,6,19314,8715,110,1764,3088,3945,8988,1836,263,8265,4053,1694,"602",4458,14271,1079,4090,1338,3772,2385,3586,387,408,23344
5665,665,149,592,1444,1706,1661,1767,1341,13028,211,13075,428,2133,1182,143,1826,994,540,250,8,102,4536,4895,1913,3405,4628,13559,446,861,2401,105,51,1719,450,39,1592,388,670,441,1417,7,1309,598,286,981,621,413,452,47,1011,0,102,364,987,3,135,435,6535,2758,1543,3,1245,1007,41,440,336,22,320,856,1916,1843,2905,836,801,882,637,570,18,3,405,891,750,353,3829,1875,907,26637,9776,2760,714,316,731,2688,"South East",1688,514,0,5149,2877,28,661,767,895,2483,504,26,2408,1325,389,"603",1325,3641,175,958,227,846,371,771,200,51,6493
13781,1099,721,2271,4114,5993,5823,5126,4670,37204,712,40572,1813,5688,4905,589,5891,3635,2422,1216,52,413,11035,13843,4831,8674,16989,37480,902,1806,5346,284,133,4364,882,76,4001,1299,2036,1775,5187,21,4262,2029,1169,2762,1920,1554,1725,176,3583,0,496,1290,3130,12,194,984,18754,9858,3799,7,3681,3219,167,1768,466,90,769,2675,4645,5808,6723,1948,2898,3419,2486,1823,60,3,957,1791,2641,597,9473,5844,3102,78056,31375,7061,1989,500,2197,7788,"West and North West",4318,1898,3,14386,7259,112,1279,2534,3038,7288,1493,186,6556,3453,1344,"604",3311,10978,879,3219,1058,3126,1514,2779,267,275,18451
11416,1366,1043,2162,4198,6409,6216,8912,10427,37843,196,43539,3354,2856,7132,115,2072,7683,3480,1720,53,84,6148,15554,7664,6238,16788,44735,1258,1838,3292,113,75,2922,1303,57,3810,333,1264,438,10763,4,4477,4518,317,1031,610,3318,2181,33,7827,10,680,2785,5296,3,189,1523,19093,21190,1938,10,4316,940,181,687,438,141,369,5031,7429,10325,5911,3072,3033,4896,3644,4328,15,0,1546,2556,5678,755,15087,9001,3377,88273,35340,5503,2308,605,1972,8520,"Darwin",3314,2831,3,18549,3348,133,1101,1055,3331,7620,2340,377,7929,1406,2891,"701",2363,17920,204,4516,243,1038,2068,2890,252,519,18754
6859,748,430,1867,2281,5181,4835,4827,5828,20742,81,27094,2545,1432,5269,46,967,5055,2656,773,36,33,3077,9335,3802,3349,12863,26110,671,1181,1644,42,44,1565,676,20,2760,123,837,200,6439,8,3406,2605,149,471,204,2190,1782,12,4795,149,342,1126,2553,3,101,872,10426,12266,814,228,2299,324,119,356,245,462,247,2444,3649,4996,3388,1747,2445,3397,2614,2513,23,4,878,1350,2413,418,7454,5212,2738,53202,25002,3478,1542,330,1582,4581,"Northern Territory - Outback",1787,1816,76,12141,1320,83,679,599,2623,4822,1505,644,4518,500,1289,"702",1507,10040,104,3292,118,494,1584,2212,151,1102,10318
36970,2804,2219,6997,14421,20664,20419,26069,28211,135700,1717,145427,10423,13492,24481,1497,11975,22550,12280,3727,71,1020,25502,46553,16444,23381,60773,136508,2517,4236,12009,671,246,11402,2595,151,10790,2879,5333,4167,30101,42,12443,13390,2624,5397,4004,9995,6600,484,23384,14,1512,6085,17262,29,467,3393,68210,58304,8896,13,14571,6885,231,3610,1126,264,1238,16763,16057,34025,17732,6846,10100,19811,12200,12132,94,10,3447,5114,12367,1517,32493,27254,10564,281932,113735,19236,5453,1285,6555,28995,"Australian Capital Territory",11984,10428,0,52959,16588,155,2460,4847,10492,23939,5858,683,22612,7691,6285,"801",7790,53320,1957,12455,2450,6579,9377,9935,654,939,67493
507,50,9,69,147,170,169,236,137,1384,24,1340,50,174,103,14,147,103,42,15,0,14,358,513,163,307,493,1300,42,76,183,6,3,150,38,3,154,30,65,46,179,0,145,98,28,71,41,65,58,4,158,0,6,22,153,0,5,42,689,318,135,0,141,74,5,43,15,3,28,143,150,293,258,82,87,78,60,50,0,0,43,83,51,21,305,250,85,2639,954,251,73,21,74,283,"Other Territories",155,56,0,460,241,5,40,71,80,260,50,5,257,99,31,"901",105,483,18,107,23,71,30,84,10,12,693
