p_75_84_yr_voluntary_work_ns, f_85ov_not_a_volunteer, p_85ov_not_a_volunteer, p_55_64_yr_voluntary_work_ns, m_15_19_yr_tot, m_35_44_yr_voluntary_work_ns, f_20_24_yr_not_a_volunteer, p_15_19_yr_tot, p_75_84_yr_volunteer, p_25_34_yr_voluntary_work_ns, f_75_84_yr_tot, m_20_24_yr_not_a_volunteer, m_20_24_yr_voluntary_work_ns, m_75_84_yr_volunteer, f_25_34_yr_not_a_volunteer, m_85ov_tot, p_tot_volunteer, m_15_19_yr_not_a_volunteer, f_45_54_yr_not_a_volunteer, f_85_ov_voluntary_work_ns, m_25_34_yr_not_a_volunteer, m_15_19_yr_voluntary_work_ns, p_65_74_yr_tot, m_45_54_yr_not_a_volunteer, m_85ov_volunteer, f_65_74_yr_tot, m_45_54_yr_tot, m_15_19_yr_volunteer, f_20_24_yr_volunteer, f_15_19_yr_voluntary_work_ns, p_tot_voluntary_work_ns, f_tot_tot, m_35_44_yr_tot, m_55_64_yr_volunteer, f_85ov_tot, m_85_ov_voluntary_work_ns, m_75_84_yr_voluntary_work_ns, f_35_44_yr_voluntary_work_ns, f_15_19_yr_not_a_volunteer, p_55_64_yr_not_a_volunteer, p_tot_tot, p_85_ov_voluntary_work_ns, f_55_64_yr_not_a_volunteer, f_15_19_yr_tot, p_85ov_tot, m_35_44_yr_not_a_volunteer, p_45_54_yr_volunteer, p_20_24_yr_not_a_volunteer, p_35_44_yr_voluntary_work_ns, m_tot_voluntary_work_ns, p_25_34_yr_tot, f_65_74_yr_volunteer, f_65_74_yr_not_a_volunteer, m_65_74_yr_volunteer, p_25_34_yr_not_a_volunteer, p_45_54_yr_voluntary_work_ns, m_75_84_yr_not_a_volunteer, m_35_44_yr_volunteer, m_55_64_yr_not_a_volunteer, f_tot_voluntary_work_ns, p_55_64_yr_tot, f_25_34_yr_volunteer, p_75_84_yr_not_a_volunteer, m_25_34_yr_tot, f_tot_volunteer, m_65_74_yr_not_a_volunteer, f_55_64_yr_volunteer, p_15_19_yr_voluntary_work_ns, f_45_54_yr_volunteer, f_55_64_yr_tot, f_20_24_yr_voluntary_work_ns, m_45_54_yr_volunteer, p_45_54_yr_tot, p_15_19_yr_volunteer, f_85ov_volunteer, p_85ov_volunteer, m_tot_tot, f_35_44_yr_tot, p_35_44_yr_volunteer, f_45_54_yr_voluntary_work_ns, m_25_34_yr_volunteer, p_55_64_yr_volunteer, f_tot_not_a_volunteer, f_55_64_yr_voluntary_work_ns, p_35_44_yr_not_a_volunteer, p_75_84_yr_tot, f_15_19_yr_volunteer, p_tot_not_a_volunteer, f_75_84_yr_voluntary_work_ns, p_35_44_yr_tot, m_45_54_yr_voluntary_work_ns, m_75_84_yr_tot, p_65_74_yr_not_a_volunteer, p_20_24_yr_volunteer, f_35_44_yr_not_a_volunteer, sa4_name16, f_20_24_yr_tot, f_75_84_yr_volunteer, m_55_64_yr_voluntary_work_ns, m_tot_volunteer, f_35_44_yr_volunteer, p_20_24_yr_voluntary_work_ns, p_25_34_yr_volunteer, f_45_54_yr_tot, p_45_54_yr_not_a_volunteer, f_75_84_yr_not_a_volunteer, m_20_24_yr_volunteer, m_85ov_not_a_volunteer, p_20_24_yr_tot, m_65_74_yr_voluntary_work_ns, p_65_74_yr_volunteer, f_65_74_yr_voluntary_work_ns, p_65_74_yr_voluntary_work_ns, sa4_code16, m_65_74_yr_tot, m_tot_not_a_volunteer, m_20_24_yr_tot, m_55_64_yr_tot, f_25_34_yr_tot, f_25_34_yr_voluntary_work_ns, p_15_19_yr_not_a_volunteer, m_25_34_yr_voluntary_work_ns
629,1030,1593,953,6618,729,4773,12975,978,1475,2960,5028,343,497,10734,759,29123,5073,9841,309,10276,349,14554,9915,50,7544,13166,1196,1087,352,8366,77481,14202,1787,1407,149,277,609,4536,15249,150360,464,7724,6354,2169,10913,5905,9797,1338,4204,26275,1806,5268,1473,21012,1280,1846,2556,7530,4156,20170,2285,3967,12539,16697,5120,2183,705,3338,10376,298,2565,26944,2665,71,118,72884,15181,6539,591,1497,3973,56621,468,21506,5577,1461,112873,353,29382,693,2621,10386,1884,10588,"Moreton Bay - South",6153,478,481,12419,3985,641,3783,13776,19754,2126,794,560,12320,422,3283,468,892,"314",7017,56254,6161,9797,13735,711,9611,760
363,267,479,1134,2537,805,1910,4799,382,1798,1009,1938,543,168,3822,288,13449,1675,3097,70,3921,478,5489,3488,23,2423,5526,382,492,411,8555,29149,5275,1034,372,54,212,493,1449,5987,61037,120,2665,2261,663,3252,2835,3847,1299,5030,12140,532,1576,453,7746,1293,814,1219,3327,3521,9231,1505,1457,6121,7371,2147,1069,890,1513,4220,334,1315,10707,783,46,67,31893,4930,2816,572,1094,2104,18254,486,6090,2197,401,39037,150,10202,716,1192,3726,886,2834,"Queensland - Outback",2730,210,655,6077,1599,875,2604,5179,6588,638,393,216,5607,464,980,315,779,"315",3069,20784,2878,5007,6022,694,3118,1102
2439,4177,6832,2990,10386,1526,6315,20537,4086,2406,11502,6723,648,1904,13707,3501,58992,7698,18139,1059,13471,796,41517,16590,277,21438,22871,1887,1616,733,21245,149112,20690,4149,5580,574,1037,1243,7099,34182,284697,1628,17624,10156,9082,15242,11218,13039,2769,10492,35083,5809,14070,4592,27177,3129,7449,3926,16561,10753,47115,3366,15370,16875,34275,13984,5792,1526,6576,24913,633,4644,49081,4217,345,620,135585,22537,10178,1495,2133,9944,104094,1497,30281,21891,2323,204460,1399,43230,1639,10388,28047,2835,15042,"Sunshine Coast",8567,2183,1497,24720,6253,1288,5498,26210,34735,7919,1219,2654,17161,1507,10400,1559,3069,"316",20076,100368,8587,22209,18208,1134,14798,1274
1147,1493,2341,1276,5152,665,3675,10243,1518,1356,4400,3886,410,689,7340,1197,25236,3723,6648,603,7375,496,13880,6366,105,7385,8996,942,1021,421,10049,62298,8649,1624,2231,246,483,575,3399,12506,119233,848,6458,5088,3431,6151,4602,7557,1242,4882,19438,1867,4845,1474,14716,1264,2300,1837,6046,5161,17456,1865,5206,9595,14313,4444,2051,913,2621,9142,347,1980,18886,2207,140,241,56937,9266,4486,623,1494,3673,42820,626,12196,7870,1270,83953,666,17921,645,3472,9292,1802,6044,"Toowoomba",5039,830,648,10920,2646,753,3364,9897,13019,2908,783,845,10112,572,3346,676,1248,"317",6490,41134,5076,8323,9842,634,7123,724
1240,1667,2675,2190,8305,1451,6136,16050,1495,2973,4945,6878,1169,646,11667,1295,34957,6042,10643,316,11804,831,18684,10568,75,9173,14838,1430,1698,716,17426,92109,14466,2289,2101,212,561,1071,5280,19312,183253,523,9522,7744,3396,10360,6424,13015,2525,9626,31772,2020,6195,1682,23472,2554,3104,2653,9791,7803,26487,3110,6518,15814,19785,6793,2702,1550,3552,13232,718,2880,30186,3178,119,196,91141,15064,6646,1152,2220,4993,64525,1008,20360,9253,1744,130866,677,29533,1397,4312,12983,2989,10000,"Townsville",8551,852,1183,15168,3986,1889,5332,15350,21210,3418,1294,1010,17890,1037,3704,958,1992,"318",9509,66343,9342,13261,15963,1185,11325,1784
3121,3036,5118,3715,8508,1516,4878,16492,3136,2416,10342,5093,713,1456,9971,2842,45826,6134,13489,811,9659,919,41675,13044,187,20550,18236,1450,1039,808,23960,121064,14530,3827,4111,572,1495,1174,5534,30281,236940,1382,15335,7987,6953,10173,8172,9969,2689,12532,26563,4619,13810,3719,19635,3289,7412,2839,14950,11427,42907,2724,14439,12822,26204,15164,5080,1729,4734,22200,535,3433,37987,3100,264,454,115869,15933,7243,1527,1781,8904,83440,1783,20531,20703,1644,167150,1632,30467,1753,10357,28980,1976,10356,"Wide Bay",6453,1688,1931,19626,4409,1253,4512,19751,26532,7028,932,2083,13195,2243,8337,2119,4360,"319",21125,83716,6743,20706,13738,1045,11670,1375
1450,4597,7044,1933,9364,1043,7324,18457,3666,2242,9035,8238,646,1677,13700,3109,60181,6624,13238,592,13919,593,28522,13214,340,15222,19488,2150,2900,533,14522,126143,17756,4092,5636,321,622,795,6067,24977,243000,913,12836,9090,8740,12604,11200,15563,1845,7419,37009,4877,9401,3909,27626,2072,4938,4101,12142,7105,36035,3871,11161,18424,33463,8590,5031,1126,6095,18810,554,5103,39720,4636,452,785,116855,18744,9855,903,3273,9125,85584,944,24797,16278,2486,168297,822,36493,1164,7243,17986,4979,12198,"Adelaide - Central and Hills",10780,1991,991,26724,5748,1200,7146,20236,26449,6221,2076,2448,21737,805,8788,942,1743,"401",13303,82714,10958,17225,18590,1017,12690,1230
2222,3995,6394,2733,13666,1879,10972,26529,2693,3836,10796,12277,895,1292,25371,3017,53857,10840,21657,670,25320,945,35537,21543,193,18728,27443,1877,2368,847,22232,173172,28119,3410,4910,422,946,1415,9764,37404,340320,1093,19111,12863,7927,21924,9182,23247,3296,11436,62668,3890,13487,3224,50690,3101,6658,4315,18302,10789,47656,4611,14777,30944,29821,12416,4110,1793,4972,24559,736,4209,55481,4129,244,434,167148,27472,10284,1409,3537,7521,132565,1342,42012,19694,2252,264233,1274,55594,1691,8896,25896,4345,20093,"Adelaide - North",14076,1405,1387,24038,5967,1636,8147,28036,43200,8121,1979,2396,29231,1175,7116,1348,2527,"402",16815,131668,15155,23093,31727,1742,20607,2092
2021,5191,7949,2387,10890,1129,8209,21523,3842,2281,10511,8806,552,1775,17719,3605,61975,8197,17371,914,17533,646,36251,16805,344,19069,22914,2045,2533,575,17166,153114,22338,4464,6533,494,866,1020,7467,34075,293636,1405,17854,10634,10136,16763,11035,17015,2148,8316,44796,5161,12626,4287,35258,2262,5906,4447,16221,8851,46124,4103,13185,21866,34579,11818,5207,1219,6100,24239,537,4937,47463,4639,434,781,140522,23357,10819,1081,3166,9666,109682,1176,32725,19050,2593,214491,1154,45692,1179,8540,24436,4478,15964,"Adelaide - South",11284,2069,1206,27403,6370,1085,7265,24549,34168,7282,1948,2761,22584,1077,9450,1286,2364,"403",17180,104803,11307,21886,22934,1110,15668,1164
1334,3745,5872,1542,6568,837,5951,12870,1842,1837,7701,6411,437,864,13252,2646,32852,5096,11789,756,13550,481,20509,12047,157,10790,15598,996,1527,377,12301,99334,14775,2175,4717,368,554,718,4727,21525,192810,1115,10992,6301,7369,11503,5888,12360,1555,6026,33822,2194,7812,1893,26807,1680,4353,2440,10530,6268,27905,2857,10298,16840,18114,7094,2667,856,3243,14439,421,2646,31408,2194,219,381,93475,14696,5676,777,2330,4840,74948,778,22240,13477,1199,147666,781,29477,908,5776,14906,2761,10736,"Adelaide - West",7894,978,764,14733,3237,856,5181,15810,23836,5939,1239,2122,15981,728,4083,788,1520,"404",9721,72710,8080,13473,16989,877,9825,961
935,1468,2313,1218,3288,408,1557,6253,2088,651,3902,1796,122,965,3443,1199,27524,2128,4590,311,3563,364,14729,4844,156,7213,7634,792,573,308,7328,45933,5681,2512,2003,200,435,346,1848,10816,91328,517,5170,2969,3207,3517,4960,3354,754,3736,10316,2728,3841,2372,7004,980,2227,1759,5643,3593,17408,1462,4506,5125,14893,4465,2861,678,2697,8612,155,2263,15377,1602,217,380,45391,6019,4190,459,1207,5371,27450,580,6757,7528,811,56469,501,11700,528,3629,8307,1171,3245,"Barossa - Yorke - Mid North",2285,1121,636,12632,2430,278,2663,7745,9436,2285,599,840,4809,675,5101,647,1324,"405",7522,29026,2520,8791,5194,289,3974,356
619,708,1152,1165,2365,672,1577,4551,922,1321,2119,1665,362,422,3359,627,16975,1523,3461,207,3648,311,8114,3872,75,3949,6156,522,418,279,7752,32466,5149,1434,1024,106,312,404,1370,7142,66735,309,3360,2184,1644,3162,3254,3233,1073,4416,10728,1296,2266,1107,7005,1214,1278,1311,3778,3333,11181,1355,2587,5523,9063,2573,1449,589,1671,5336,226,1577,11794,1062,108,183,34274,4795,3038,500,1048,2879,20070,525,5828,4128,540,42011,310,9941,707,2012,4841,834,2668,"South Australia - Outback",2217,504,638,7910,1728,589,2397,5633,7333,1305,417,444,4653,486,2398,384,870,"406",4165,21941,2438,5847,5206,500,2897,825
1698,2350,3829,1941,5290,1027,2980,10326,3343,1481,6736,3347,442,1588,6143,2128,41983,3434,7707,624,6525,603,24917,8094,262,12476,12597,1249,866,485,13712,76886,10094,3600,3310,385,789,618,3116,17540,153169,1004,8560,5038,5433,6324,7446,6328,1645,7423,18205,4287,7112,3721,12667,1913,3925,2747,8982,6289,27200,2298,8001,9214,22815,7579,4120,1080,4016,13589,285,3428,25158,2692,333,596,76287,10057,6447,834,1759,7722,47784,911,12060,13044,1446,97474,908,20150,1072,6305,14690,1676,5740,"South Australia - South East",4127,1751,1035,19169,3701,720,4050,12561,15804,4079,816,1485,8728,1147,8014,1073,2220,"407",12441,49697,4603,13618,8994,554,6553,933
