p_75_84_yr_voluntary_work_ns, f_85ov_not_a_volunteer, p_85ov_not_a_volunteer, p_55_64_yr_voluntary_work_ns, m_15_19_yr_tot, m_35_44_yr_voluntary_work_ns, f_20_24_yr_not_a_volunteer, p_15_19_yr_tot, p_75_84_yr_volunteer, p_25_34_yr_voluntary_work_ns, f_75_84_yr_tot, m_20_24_yr_not_a_volunteer, m_20_24_yr_voluntary_work_ns, m_75_84_yr_volunteer, f_25_34_yr_not_a_volunteer, m_85ov_tot, p_tot_volunteer, m_15_19_yr_not_a_volunteer, f_45_54_yr_not_a_volunteer, f_85_ov_voluntary_work_ns, m_25_34_yr_not_a_volunteer, m_15_19_yr_voluntary_work_ns, p_65_74_yr_tot, m_45_54_yr_not_a_volunteer, m_85ov_volunteer, f_65_74_yr_tot, m_45_54_yr_tot, m_15_19_yr_volunteer, f_20_24_yr_volunteer, f_15_19_yr_voluntary_work_ns, p_tot_voluntary_work_ns, f_tot_tot, m_35_44_yr_tot, m_55_64_yr_volunteer, f_85ov_tot, m_85_ov_voluntary_work_ns, m_75_84_yr_voluntary_work_ns, f_35_44_yr_voluntary_work_ns, f_15_19_yr_not_a_volunteer, p_55_64_yr_not_a_volunteer, p_tot_tot, p_85_ov_voluntary_work_ns, f_55_64_yr_not_a_volunteer, f_15_19_yr_tot, p_85ov_tot, m_35_44_yr_not_a_volunteer, p_45_54_yr_volunteer, p_20_24_yr_not_a_volunteer, p_35_44_yr_voluntary_work_ns, m_tot_voluntary_work_ns, p_25_34_yr_tot, f_65_74_yr_volunteer, f_65_74_yr_not_a_volunteer, m_65_74_yr_volunteer, p_25_34_yr_not_a_volunteer, p_45_54_yr_voluntary_work_ns, m_75_84_yr_not_a_volunteer, m_35_44_yr_volunteer, m_55_64_yr_not_a_volunteer, f_tot_voluntary_work_ns, p_55_64_yr_tot, f_25_34_yr_volunteer, p_75_84_yr_not_a_volunteer, m_25_34_yr_tot, f_tot_volunteer, m_65_74_yr_not_a_volunteer, f_55_64_yr_volunteer, p_15_19_yr_voluntary_work_ns, f_45_54_yr_volunteer, f_55_64_yr_tot, f_20_24_yr_voluntary_work_ns, m_45_54_yr_volunteer, p_45_54_yr_tot, p_15_19_yr_volunteer, f_85ov_volunteer, p_85ov_volunteer, m_tot_tot, f_35_44_yr_tot, p_35_44_yr_volunteer, f_45_54_yr_voluntary_work_ns, m_25_34_yr_volunteer, p_55_64_yr_volunteer, f_tot_not_a_volunteer, f_55_64_yr_voluntary_work_ns, p_35_44_yr_not_a_volunteer, p_75_84_yr_tot, f_15_19_yr_volunteer, p_tot_not_a_volunteer, f_75_84_yr_voluntary_work_ns, p_35_44_yr_tot, m_45_54_yr_voluntary_work_ns, m_75_84_yr_tot, p_65_74_yr_not_a_volunteer, p_20_24_yr_volunteer, f_35_44_yr_not_a_volunteer, sa4_name16, f_20_24_yr_tot, f_75_84_yr_volunteer, m_55_64_yr_voluntary_work_ns, m_tot_volunteer, f_35_44_yr_volunteer, p_20_24_yr_voluntary_work_ns, p_25_34_yr_volunteer, f_45_54_yr_tot, p_45_54_yr_not_a_volunteer, f_75_84_yr_not_a_volunteer, m_20_24_yr_volunteer, m_85ov_not_a_volunteer, p_20_24_yr_tot, m_65_74_yr_voluntary_work_ns, p_65_74_yr_volunteer, f_65_74_yr_voluntary_work_ns, p_65_74_yr_voluntary_work_ns, sa4_code16, m_65_74_yr_tot, m_tot_not_a_volunteer, m_20_24_yr_tot, m_55_64_yr_tot, f_25_34_yr_tot, f_25_34_yr_voluntary_work_ns, p_15_19_yr_not_a_volunteer, m_25_34_yr_voluntary_work_ns
1367,1475,2385,1988,5679,1061,2913,10870,1867,1714,4693,3195,348,859,7481,1280,33025,3834,7975,413,7279,636,18211,8161,124,9023,12184,1215,681,566,13266,71705,11230,2484,2039,240,607,787,3265,16037,140569,645,8013,5188,3318,7696,6623,6115,1849,6900,19851,2704,5431,2398,14761,2026,2694,2471,8022,6365,23633,2060,5617,9550,18735,5876,3134,1204,3729,12124,323,2888,24780,2560,156,282,68864,11814,6384,891,1312,5617,46607,975,14818,8844,1350,94276,760,23043,1128,4158,11310,1225,7118,"Bunbury",3919,1006,1010,14293,3914,677,3374,12600,16134,2927,544,915,8013,912,5098,889,1801,"501",9186,47670,4095,11510,10306,757,7104,961
932,1078,1848,926,2930,454,1984,5823,1045,796,3740,2114,194,511,4148,1025,13066,2205,4760,234,3985,235,12177,4660,75,6229,6112,490,384,235,6725,40991,5328,781,1388,178,413,365,2048,9542,79180,413,4986,2891,2416,4047,2248,4095,815,3441,10359,1223,4455,1010,8139,919,2534,824,4559,3283,12388,879,5220,4972,7609,4412,1144,476,1310,6575,163,938,12586,1098,78,154,38182,5782,2281,407,546,1916,30103,456,8009,7189,603,59393,514,11114,509,3454,8863,668,3962,"Mandurah",2527,539,476,5453,1460,361,1423,6473,9415,2688,287,777,5129,529,2228,551,1081,"502",5948,29290,2598,5811,5388,357,4254,443
866,2025,3053,1487,4562,1077,4147,9449,1520,3657,4145,4436,578,659,10817,1346,35688,2738,6513,405,11620,300,13383,6916,122,6742,10817,1524,2001,350,13253,73108,11479,2122,2611,203,380,881,2499,12596,143313,608,6237,4892,3961,7990,6811,8585,1956,6744,32158,1863,4320,1583,22435,1641,2275,2413,6355,6506,18664,3365,5072,16215,20005,4424,2461,652,3814,9415,617,2997,21877,3565,183,299,70201,11532,5830,735,2693,4581,46598,707,15225,7465,2040,94377,486,23008,904,3312,8743,3569,7235,"Perth - Inner",6766,863,777,15678,3417,1193,6065,11059,13430,2796,1568,1031,13348,634,3444,560,1193,"503",6644,47778,6584,9249,15940,1759,5236,1902
1333,1643,2668,2027,8046,1801,6061,15442,1279,3471,5102,6644,826,602,15254,1405,33327,5887,12604,598,15436,627,19081,12999,83,9768,17393,1525,1327,534,17676,102032,17882,1964,2360,297,600,1195,5156,21616,202559,900,10908,7391,3769,13382,6560,12705,3002,9718,39378,1749,7126,1447,30695,2609,3277,2695,10706,7963,27999,3057,6975,19674,18902,7029,2394,1163,3681,14198,614,2881,34778,3232,118,200,100526,18121,6904,1093,2164,4355,75164,893,26096,9581,1701,151560,732,36003,1515,4481,14151,2386,12714,"Perth - North East",8004,678,1130,14422,4210,1445,5217,17382,25600,3694,1053,1023,16532,836,3194,893,1732,"504",9317,76394,8528,13803,19709,1399,11039,2073
2445,4179,6631,3347,17357,2461,12643,33968,3173,5687,12036,14126,1117,1459,32476,3243,73952,12995,27112,1121,33186,1157,40522,27079,246,21242,35901,3204,3294,1035,28864,220096,37694,4024,5585,547,985,2051,11594,45624,429558,1671,23484,16613,8828,29005,14822,26768,4505,14591,82322,3715,16006,3136,65660,4081,7124,6237,22135,14279,57893,6375,15985,40892,42017,14832,4901,2193,8230,30043,992,6597,73099,7185,286,529,209459,39028,15767,1859,4602,8927,163808,1654,56454,21602,3980,326734,1465,76723,2222,9564,30838,5725,27451,"Perth - North West",16924,1713,1693,31935,9530,2107,10974,37198,54196,8863,2433,2452,34593,1302,6853,1523,2825,"505",19276,162927,17671,27850,41434,2582,24594,3105
2471,3786,5920,3594,15700,2934,12885,30237,2715,6682,10346,15016,1553,1187,31523,2909,68749,11528,22000,1132,33277,1121,36331,23110,209,18492,30734,3045,3586,969,31284,198253,34973,3793,5171,566,1059,2024,10060,39637,395396,1692,20348,14540,8082,26325,11991,27901,4957,16716,83212,3676,13306,3026,64802,4087,6145,5712,19288,14564,51682,6606,13559,42250,38537,13397,4660,2087,6686,26714,1220,5307,61189,6564,253,466,197142,33891,13744,1766,5123,8455,145151,1709,50158,18742,3513,295363,1410,68863,2319,8394,26702,6387,23836,"Perth - South East",17688,1523,1887,30211,8029,2776,11729,30449,45110,7412,2803,2131,37063,1416,6707,1509,2927,"506",17839,150210,19372,24972,40965,2828,21587,3854
2397,3478,5501,2936,12806,2373,9613,25210,2415,5044,9527,10492,1247,1089,23008,2745,56587,9419,20078,1105,22867,1014,30873,20183,179,15907,27099,2369,2636,900,26479,165658,28125,3222,4854,539,998,1656,8483,34096,323530,1648,17384,12411,7599,21160,11058,20106,4030,13973,59255,3030,11606,2553,45869,3848,5810,4590,16713,12506,44330,4893,12614,29200,32532,11187,4078,1910,6311,22881,921,4747,55163,5397,268,453,157869,28785,11554,1674,3446,7299,120621,1417,41319,17425,3026,240460,1399,56905,2165,7898,22789,4487,20163,"Perth - South West",13170,1322,1513,24060,6962,2173,8337,28064,40266,6803,1854,2023,26764,1230,5580,1270,2500,"507",14969,119842,13593,21449,30058,2163,17899,2885
1227,1172,1974,2022,3918,1015,1775,7290,2049,1706,4078,2298,394,949,4233,1183,31275,2596,5516,325,4430,524,16103,5834,157,7683,9783,799,635,411,12515,54073,7840,2740,1655,229,593,684,2109,12814,110110,548,6153,3370,2844,4477,6158,4072,1705,7027,14107,2490,4346,2261,8659,1929,2467,2349,6655,5494,20615,2189,4812,7073,17026,5190,3041,935,3308,10111,239,2849,19431,1645,161,319,56035,7849,5596,828,1553,5781,31555,908,8389,8083,852,66317,636,15690,1095,4005,9535,1241,3909,"Western Australia - Wheat Belt",2651,1096,1110,14252,3250,638,3741,9650,11352,2344,605,807,5948,963,4747,849,1815,"509",8419,34760,3302,10509,7030,611,4708,1100
147,70,128,1438,2332,1966,1923,4384,91,3643,333,2067,606,40,5668,78,13099,1520,3329,22,7792,466,2764,5312,13,1124,8262,348,386,402,12854,30698,10119,793,98,15,79,874,1293,5954,73483,39,2335,2048,184,6416,2665,3986,2836,8251,20349,222,704,244,13464,2399,255,1736,3616,4606,8915,1765,461,11633,6709,1106,728,865,1254,3574,409,1414,13701,703,8,16,42784,6646,3663,858,1473,1521,19378,504,10261,707,357,47522,73,16763,1539,372,1811,728,3845,"Western Australia - Outback (North)",2716,50,934,6393,1932,1008,3242,5439,8640,208,338,57,5726,289,468,193,479,"510",1635,28140,3009,5343,8711,1280,2811,2365
754,561,972,1818,3697,1163,2256,7176,878,2314,2201,2565,475,396,5406,612,20102,2441,5075,164,6012,570,9587,5928,71,4438,9112,690,530,478,12373,45174,8127,1428,795,130,373,843,2279,10041,94047,290,4620,3477,1411,5277,4213,4823,2002,6958,16752,1180,2703,1030,11421,2076,1393,1691,5422,5417,14886,1752,2731,8604,11099,3458,1593,1048,2260,7015,373,1950,17286,1408,73,143,48868,7770,4193,843,1266,3023,28666,792,9702,4364,721,61568,378,15898,1231,2163,6157,1023,4428,"Western Australia - Outback (South)",3161,481,1027,9004,2500,847,3013,8181,10995,1343,488,412,6690,661,2209,556,1218,"511",5145,32910,3530,7876,8143,984,4717,1328
1458,2679,4181,1965,6880,879,5120,13565,2141,1915,6703,5398,500,976,10874,1906,38221,5217,10651,470,10623,488,22183,10223,156,11598,14285,1169,1422,512,13224,94929,13171,2950,3368,243,598,773,4645,21114,182260,710,10978,6684,5275,9533,6939,10523,1659,6634,28485,2952,7719,2461,21494,1782,3817,2755,10135,6590,29440,2832,8496,13947,21215,7232,3409,1003,3832,15358,415,3107,29598,2694,225,376,87329,14411,6611,833,2238,6363,67119,967,19308,12093,1527,130817,861,27577,957,5388,14953,2612,9779,"Hobart",6952,1165,998,17005,3854,910,5074,15312,20876,4675,1189,1509,14042,885,5418,931,1815,"601",10584,63692,7088,14085,14541,832,9870,1079
1173,1658,2596,1525,4563,569,3043,8806,1459,1127,4497,3339,360,686,5595,1230,24779,3365,6796,347,5580,452,16533,6529,103,8366,9373,754,806,419,10103,59733,7536,2098,2141,193,524,542,2959,13992,116022,538,7124,4235,3369,5373,4631,6385,1113,5017,15036,2171,5346,1902,11178,1387,2639,1596,6873,5092,20046,1569,5726,7318,13538,5404,2425,873,2499,10309,295,2131,19336,1611,137,235,56285,8353,3906,676,1160,4526,41109,756,10874,8353,858,81138,649,15890,710,3852,10754,1617,5498,"Launceston and North East",4144,772,771,11247,2308,653,2727,9962,13317,3084,817,939,8661,861,4069,856,1709,"602",8165,40031,4512,9741,7715,554,6318,579
327,238,434,529,1037,162,486,1944,418,232,999,573,51,214,1149,271,6943,732,1856,52,1177,148,5437,1956,18,2555,2742,155,98,106,2901,15142,1998,753,326,57,170,174,606,4468,30898,108,2120,902,600,1451,1308,1058,335,1521,3163,711,1558,689,2329,427,776,384,2348,1382,6583,344,1417,1561,3796,1885,842,249,737,3213,51,570,5540,351,37,58,15753,2107,1013,205,257,1595,9963,253,2760,2152,194,21054,153,4106,222,1159,3439,204,1310,"South East",646,201,275,3147,625,109,601,2794,3806,637,106,201,1371,304,1400,288,593,"603",2875,11091,728,3369,1604,104,1339,133
977,1250,1949,1167,3446,402,2131,6699,1264,697,3728,2288,192,614,4183,942,19124,2576,5590,258,4138,318,13134,5363,67,6732,7412,550,499,295,7338,46325,5797,1674,1587,165,412,352,2278,11125,89678,426,5578,3258,2522,4159,3407,4416,749,3631,11138,1810,4260,1484,8324,1070,2239,1238,5545,3706,15963,1240,4755,5375,10709,4295,1991,616,1929,8142,158,1474,15425,1236,77,145,43356,6304,3064,494,883,3671,31906,579,8284,6993,680,63209,562,12096,576,3271,8555,926,4130,"West and North West",2793,648,589,8416,1828,352,2126,8011,10955,2516,421,705,5691,623,3294,666,1287,"604",6398,31303,2898,7818,5770,343,4848,351
347,278,487,1871,4039,1806,3122,7600,368,3978,1226,3773,844,159,9045,273,19082,2831,5803,54,10016,596,7413,6783,19,3393,10094,610,671,476,15098,51481,11472,1160,356,42,179,1076,2387,9634,109301,100,4419,3560,626,7739,3912,6893,2888,9023,26858,711,2259,660,19058,2457,906,1928,5218,6078,14042,2211,1757,14046,10549,2802,1386,1073,2109,6612,564,1799,18951,1304,20,38,57821,10315,4465,944,1615,2544,34854,805,14435,2470,690,75123,164,21789,1508,1246,5054,1260,6700,"Darwin",4355,208,1064,8532,2533,1402,3830,8858,12584,851,586,211,9555,564,1372,421,984,"701",4021,40264,5198,7434,12810,1556,5220,2421
235,132,229,1415,3420,1054,2379,6446,179,2719,639,2442,753,82,5382,116,11357,2278,3829,38,5127,753,3969,3775,4,1852,5881,392,392,633,11754,33722,6143,803,192,24,126,919,2007,5677,67701,59,2797,3023,310,4035,2338,4818,1978,6352,15691,374,1185,351,10504,1949,412,1056,2883,5396,8810,1367,851,7695,6148,1387,912,1386,1270,4366,587,1064,11887,778,18,21,33985,6283,2388,907,1094,1713,22172,666,8063,1266,390,44594,106,12427,1043,624,2568,749,4032,"Northern Territory - Outback",3357,100,747,5203,1333,1337,2460,6009,7603,435,358,94,6905,384,730,293,678,"702",2119,22422,3544,4439,7988,1242,4279,1477
1582,2678,4323,2402,12350,1848,10692,24468,3051,4408,7913,11651,1072,1458,25001,2316,75017,8701,17349,860,24867,725,29428,17201,303,15503,24959,2924,3874,678,21220,165485,28875,4769,3839,376,701,1474,7866,28961,322415,1230,15019,12124,6155,20980,13520,22338,3321,10756,66008,4485,9979,3838,49866,2847,4285,6044,13945,10460,41426,6622,9723,32368,41242,9135,5290,1403,7299,21558,962,6223,50915,6496,301,602,156932,29423,14241,1308,5115,10059,113779,1247,40736,14352,3576,226176,883,58298,1536,6436,19110,6979,19756,"Australian Capital Territory",15525,1596,1153,33775,8193,2033,11737,25955,34552,5437,3109,1640,31354,955,8324,1038,1991,"801",13929,112396,15829,19870,33639,2011,16566,2393
30,21,33,105,101,92,44,205,36,171,91,61,58,18,148,28,957,66,188,3,140,20,463,199,7,210,371,18,10,22,739,1702,345,96,29,3,15,29,68,378,3714,5,173,107,51,148,196,113,123,507,566,62,124,54,284,122,61,104,200,236,701,63,117,329,498,159,117,47,94,340,8,100,707,35,7,12,2013,290,217,44,45,220,969,52,300,182,18,2021,16,633,78,95,282,20,147,"Other Territories",63,19,60,459,110,65,109,332,390,54,13,11,199,42,114,25,69,"901",255,1046,134,359,240,35,127,143
