sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
89.8,"Camberwell",2,64.4,23164,17.5,12205,207011149,18.1,39.4,"Victoria",10959
95.8,"Balwyn North",2,65.5,21823,17.6,11147,207011148,16.9,40.8,"Victoria",10676
92.2,"Kew",2,67.4,27190,15.5,14149,207011153,17.1,38.4,"Victoria",13041
96.9,"Glen Iris - East",2,65.3,17713,19.5,8997,207011150,15.2,39.6,"Victoria",8716
96.5,"Hawthorn",2,75.9,26161,12.2,13313,207011151,11.9,32.3,"Victoria",12848
92.9,"Hawthorn East",2,71.6,17244,15.2,8938,207011152,13.2,33.6,"Victoria",8306
100.4,"Kew East",2,65.2,6977,19.2,3481,207011154,15.5,38.8,"Victoria",3496
92.0,"Surrey Hills (West) - Canterbury",2,64.3,17458,17.3,9091,207011155,18.4,42.1,"Victoria",8367
97.8,"Bulleen",2,61.8,11832,15.0,5982,207021156,23.2,44.1,"Victoria",5850
94.4,"Doncaster",2,65.3,24465,13.9,12587,207021157,20.8,39.2,"Victoria",11878
95.3,"Templestowe",2,61.9,17765,16.3,9097,207021159,21.9,44.1,"Victoria",8668
92.7,"Templestowe Lower",2,59.6,14484,16.8,7518,207021160,23.6,44.1,"Victoria",6966
97.1,"Doncaster East (North)",2,63.2,15749,17.3,7992,207021424,19.5,41.8,"Victoria",7757
91.8,"Doncaster East (South)",2,61.3,15798,19.2,8237,207021425,19.6,38.6,"Victoria",7561
97.7,"Blackburn",2,66.0,23394,17.2,11835,207031161,16.8,39.0,"Victoria",11559
98.5,"Box Hill",2,74.6,23320,13.0,11748,207031163,12.3,31.7,"Victoria",11572
94.2,"Caulfield - North",2,65.8,23523,18.1,12114,208021177,16.2,33.7,"Victoria",11409
94.3,"Box Hill North",2,67.4,19219,16.9,9889,207031164,15.7,37.4,"Victoria",9330
95.7,"Burwood",2,77.3,14652,10.0,7486,207031165,12.7,27.4,"Victoria",7166
99.1,"Burwood East",2,65.3,11086,14.2,5569,207031166,20.5,37.7,"Victoria",5517
96.3,"Bentleigh East (North)",2,64.6,16532,21.4,8423,208021426,13.9,38.3,"Victoria",8109
90.7,"Beaumaris",2,60.3,14772,18.5,7745,208011168,21.2,46.7,"Victoria",7027
94.3,"Caulfield - South",2,64.3,18926,17.3,9742,208021178,18.3,39.2,"Victoria",9184
88.6,"Brighton (Vic.)",2,61.9,25125,16.4,13320,208011169,21.7,45.4,"Victoria",11805
92.2,"Elsternwick",2,68.0,12671,17.6,6592,208021179,14.5,36.7,"Victoria",6079
92.0,"Sandringham - Black Rock",2,61.9,18313,17.1,9537,208011173,21.1,45.2,"Victoria",8776
92.3,"Carrum - Patterson Lakes",2,64.7,12660,16.4,6584,208031185,18.9,43.4,"Victoria",6076
91.2,"Chelsea - Bonbeach",2,65.1,15600,16.9,8160,208031186,18.0,40.4,"Victoria",7440
92.1,"Cheltenham - Highett (East)",2,64.7,25050,17.5,13037,208031188,17.9,39.4,"Victoria",12013
91.7,"Mentone",2,65.1,14185,16.9,7401,208031190,17.9,40.5,"Victoria",6784
96.0,"Edithvale - Aspendale",2,64.8,14025,20.2,7157,208031189,15.0,39.6,"Victoria",6868
103.8,"Bundoora - East",2,64.5,10553,16.7,5179,209011196,18.9,36.8,"Victoria",5374
98.9,"Moorabbin - Heatherton",2,65.9,9747,19.3,4901,208031191,14.9,38.3,"Victoria",4846
null,"Moorabbin Airport",2,null,0,null,0,208031192,null,null,"Victoria",0
95.5,"Greensborough",2,63.9,21667,18.6,11082,209011197,17.5,39.8,"Victoria",10585
95.0,"Watsonia",2,62.7,9697,18.7,4974,209011204,18.5,39.5,"Victoria",4723
96.0,"Mordialloc - Parkdale",2,66.2,21957,18.5,11201,208031193,15.3,40.1,"Victoria",10756
97.4,"Kingsbury",2,78.7,13254,11.7,6713,209021205,9.6,28.5,"Victoria",6541
98.7,"Reservoir - East",2,68.5,30027,15.5,15115,209021207,16.0,35.9,"Victoria",14912
101.0,"Reservoir - West",2,65.3,26086,17.4,12980,209021208,17.3,37.5,"Victoria",13106
null,"Essendon Airport",2,null,0,null,0,210011227,null,null,"Victoria",0
93.2,"Malvern - Glen Iris",2,67.0,21866,15.7,11320,208041194,17.2,37.1,"Victoria",10546
96.2,"Preston - West",2,69.8,13608,17.1,6935,209021429,13.1,36.7,"Victoria",6673
93.7,"Malvern East",2,69.9,23845,16.3,12311,208041195,13.8,34.0,"Victoria",11534
95.2,"Eltham",2,64.5,24282,19.7,12438,209031209,15.9,42.0,"Victoria",11844
97.1,"Hurstbridge",2,67.3,3624,19.9,1839,209031210,12.8,40.1,"Victoria",1785
106.4,"Kinglake",2,69.0,4156,19.0,2014,209031211,12.0,41.2,"Victoria",2142
101.5,"Panton Hill - St Andrews",2,65.6,5490,16.5,2724,209031212,17.8,45.5,"Victoria",2766
103.6,"Plenty - Yarrambat",2,66.7,9985,19.3,4905,209031213,14.0,39.8,"Victoria",5080
100.8,"Research - North Warrandyte",2,66.2,7055,19.9,3514,209031214,13.9,42.1,"Victoria",3541
96.2,"Heidelberg - Rosanna",2,63.4,16477,19.2,8397,209011198,17.4,38.6,"Victoria",8080
104.4,"Bundoora - West",2,66.0,6708,13.1,3281,209041217,20.9,36.7,"Victoria",3427
101.0,"Lalor",2,63.4,25073,18.5,12473,209041219,18.1,36.9,"Victoria",12600
95.9,"Heidelberg West",2,68.8,15764,17.3,8049,209011199,13.9,35.0,"Victoria",7715
92.1,"Ivanhoe",2,68.9,12927,15.8,6730,209011200,15.3,39.2,"Victoria",6197
96.3,"Ivanhoe East - Eaglemont",2,63.4,8295,17.1,4225,209011201,19.4,43.4,"Victoria",4070
93.4,"Montmorency - Briar Hill",2,62.2,17078,19.1,8829,209011202,18.7,41.1,"Victoria",8249
97.7,"Viewbank - Yallambie",2,60.8,19242,20.2,9732,209011203,19.0,40.3,"Victoria",9510
97.6,"Preston - East",2,73.4,22907,14.0,11590,209021428,12.6,35.4,"Victoria",11317
99.9,"Wattle Glen - Diamond Creek",2,68.5,14589,19.6,7298,209031215,11.8,37.7,"Victoria",7291
99.6,"Epping - East",2,68.4,14051,19.8,7041,209041431,11.8,35.0,"Victoria",7010
101.5,"Epping - South",2,67.5,8767,18.4,4350,209041432,14.1,36.3,"Victoria",4417
100.1,"Bundoora - North",2,74.1,8610,15.1,4303,209041216,10.9,31.6,"Victoria",4307
102.6,"Epping - West",2,67.8,13105,27.1,6467,209041433,5.2,32.0,"Victoria",6638
97.9,"Mernda",2,67.4,23359,26.6,11806,209041434,6.0,31.6,"Victoria",11553
101.5,"South Morang (North)",2,68.8,13438,25.0,6668,209041435,6.3,33.7,"Victoria",6770
97.0,"Mill Park - North",2,70.9,18708,16.1,9496,209041220,13.0,38.1,"Victoria",9212
