sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
96.5,"Yarraville",2,70.6,16621,18.7,8460,213031352,10.7,36.9,"Victoria",8161
95.8,"Bacchus Marsh",2,63.8,22964,21.1,11727,213041353,15.1,37.3,"Victoria",11237
99.1,"Hillside",2,70.4,25220,22.5,12668,213041355,7.1,32.3,"Victoria",12552
97.8,"Melton",2,64.1,20596,21.8,10415,213041356,14.1,34.7,"Victoria",10181
96.7,"Melton South",2,63.7,30689,26.5,15601,213041357,9.8,31.9,"Victoria",15088
94.6,"Melton West",2,65.2,20892,26.0,10734,213041358,8.8,31.6,"Victoria",10158
144.6,"Rockbank - Mount Cottrell",2,73.7,8815,20.1,3604,213041359,6.2,32.0,"Victoria",5211
99.5,"Taylors Hill",2,66.4,21219,26.9,10634,213041360,6.8,33.0,"Victoria",10585
95.9,"Burnside",2,66.2,5396,20.9,2755,213041461,13.0,35.8,"Victoria",2641
100.9,"Hoppers Crossing - South",2,64.8,20664,20.3,10284,213051362,14.9,35.4,"Victoria",10380
102.1,"Burnside Heights",2,65.7,6785,29.3,3358,213041462,5.0,32.1,"Victoria",3427
99.5,"Caroline Springs",2,68.7,21849,23.8,10953,213041463,7.5,34.2,"Victoria",10896
102.2,"Hoppers Crossing - North",2,69.7,20279,19.1,10027,213051361,11.2,35.8,"Victoria",10252
113.9,"Laverton",2,72.5,11577,20.8,5412,213051363,6.7,32.0,"Victoria",6165
102.5,"Tarneit",2,65.5,46707,29.9,23068,213051365,4.6,30.6,"Victoria",23639
112.1,"Truganina",2,67.5,33144,28.8,15628,213051366,3.6,30.6,"Victoria",17516
97.7,"Werribee - South",2,66.3,14162,18.7,7164,213051368,15.0,36.9,"Victoria",6998
99.2,"Wyndham Vale",2,66.2,29215,27.5,14665,213051369,6.3,31.5,"Victoria",14550
102.3,"Point Cook - East",2,67.4,17886,27.4,8843,213051464,5.2,32.1,"Victoria",9043
99.0,"Point Cook - North",2,66.8,25541,26.1,12835,213051465,7.1,33.9,"Victoria",12706
98.0,"Werribee - East",2,66.3,21064,20.6,10637,213051467,13.1,35.0,"Victoria",10427
99.0,"Werribee - West",2,68.1,16270,22.0,8177,213051468,9.9,33.1,"Victoria",8093
98.4,"Carrum Downs",2,68.1,22264,19.4,11220,214011370,12.5,35.9,"Victoria",11044
95.1,"Frankston",2,66.6,24104,16.2,12353,214011371,17.2,38.8,"Victoria",11751
97.6,"Frankston North",2,62.6,19940,18.5,10092,214011372,18.9,38.2,"Victoria",9848
94.2,"Frankston South",2,60.3,19305,19.4,9942,214011373,20.3,43.1,"Victoria",9363
96.3,"Langwarrin",2,66.8,25293,19.5,12885,214011374,13.6,37.5,"Victoria",12408
95.8,"Seaford (Vic.)",2,64.0,17490,17.6,8934,214011375,18.4,40.8,"Victoria",8556
99.5,"Skye - Sandhurst",2,68.4,14247,21.8,7142,214011376,9.8,36.5,"Victoria",7105
95.5,"Dromana",2,56.7,12566,14.0,6426,214021377,29.4,49.8,"Victoria",6140
100.6,"Flinders",2,58.1,5646,14.0,2814,214021378,27.9,53.5,"Victoria",2832
99.3,"Hastings - Somers",2,61.1,23654,18.6,11871,214021379,20.3,40.9,"Victoria",11783
88.2,"Mornington",2,56.3,26211,15.8,13927,214021380,27.9,47.3,"Victoria",12284
96.4,"Mount Eliza",2,58.0,19140,21.2,9743,214021381,20.9,44.7,"Victoria",9397
94.7,"Mount Martha",2,58.1,20022,20.7,10283,214021382,21.2,44.3,"Victoria",9739
98.0,"Point Nepean",2,53.7,18709,15.1,9451,214021383,31.1,51.4,"Victoria",9258
91.8,"Rosebud - McCrae",2,53.4,22286,15.1,11621,214021384,31.5,50.3,"Victoria",10665
93.9,"Somerville",2,65.7,19402,17.6,10004,214021385,16.6,40.0,"Victoria",9398
