i_1250_1499_1eft_othaw, i_1500_1749_1eft_othaw, i_1750_1999_1ept_othnw, negnil_inc_1aw_othnw, i_3000_3499_lfsta_ns, i_300_399_tot, i_500_649_1eft_othaw, i_800_999_1eft_othaw, negnil_inc_be_wpt, negnil_inc_be_baw, i_1250_1499_lfsta_ns, i_650_799_1eft_othpt, i_2500_2999_1eft_othaw, i_150_299_1aw_othnw, i_1500_1749_1ept_othnw, i_1000_1249_1aw_othnw, i_500_649_1eft_othpt, i_1750_1999_1eft_othaw, i_3500_3999_1aw_othnw, i_650_799_be_baw, i_400_499_1eft_othpt, i_2500_2999_1aw_othnw, i_1250_1499_1eft_othpt, i_1500_1749_1ept_othaw, i_650_799_tot, i_300_399_lfsta_ns, i_800_999_tot, i_3500_3999_1ept_othaw, i_800_999_1aw_othnw, i_1_149_tot, i_400_499_1aw_othnw, i_1250_1499_tot, i_300_399_1aw_othnw, i_500_649_be_wpt, i_1000_1249_lfsta_ns, i_1500_1749_1eft_othnw, i_650_799_1eft_othnw, i_2500_2999_be_baw, i_2000_2499_1aw_othnw, i_150_299_lfsta_ns, i_1_149_be_wft, i_1000_1249_tot, i_400_499_be_baw, i_3000_3499_1ept_othaw, i_400_499_1eft_othnw, i_1000_1249_bnw, i_3500_3999_be_wft, i_4000more_1eft_othaw, i_1750_1999_1eft_othnw, i_3000_3499_1ept_othnw, i_1_149_1eft_othpt, i_1250_1499_1eft_othnw, i_1500_1749_be_wpt, i_300_399_1eft_othpt, i_2000_2499_1eft_othnw, i_800_999_be_wpt, i_1750_1999_tot, i_650_799_be_wft, i_3000_3499_tot, i_1500_1749_1eft_othpt, i_3000_3499_be_wft, i_650_799_1ept_othnw, i_1_149_1eft_othaw, i_300_399_1ept_othnw, i_400_499_be_wft, i_4000more_1eft_othnw, i_500_649_tot, i_3500_3999_lfsta_ns, i_800_999_1ept_othnw, i_300_399_1eft_othaw, i_150_299_be_wft, i_1250_1499_be_wpt, i_2500_2999_be_wft, i_1750_1999_1eft_othpt, i_4000more_be_wft, i_1_149_lfsta_ns, sa4_name16, i_1_149_1eft_othnw, i_1500_1749_bnw, i_4000more_be_wpt, i_1500_1749_tot, negnil_inc_tot, i_1000_1249_be_wpt, i_1750_1999_1aw_othnw, i_1_149_1ept_othnw, i_500_649_bnw, i_150_299_1ept_othaw, i_1500_1749_be_baw, i_500_649_lfsta_ns, i_4000more_1ept_othnw, i_300_399_be_wft, i_2000_2499_1ept_othaw, i_3000_3499_be_baw, i_800_999_bnw, i_2000_2499_be_wft, i_500_649_1eft_othnw, i_4000more_be_baw, i_1750_1999_be_wft, i_4000more_1eft_othpt, i_1500_1749_1aw_othnw, i_3500_3999_1ept_othnw, i_1000_1249_1ept_othnw, i_1250_1499_be_baw, i_2000_2499_1ept_othnw, i_400_499_1eft_othaw, i_400_499_bnw, i_2000_2499_1eft_othpt, i_500_649_1ept_othaw, i_2500_2999_1ept_othaw, i_2000_2499_lfsta_ns, i_2500_2999_lfsta_ns, i_3500_3999_bnw, i_800_999_1ept_othaw, negnil_inc_1eft_othaw, i_300_399_bnw, i_1000_1249_1eft_othnw, negnil_inc_be_wft, i_2000_2499_bnw, i_2000_2499_be_baw, i_300_399_1ept_othaw, i_3500_3999_be_wpt, i_3500_3999_1eft_othnw, i_500_649_be_wft, i_3500_3999_be_baw, i_1750_1999_be_baw, i_800_999_1eft_othnw, i_400_499_1ept_othaw, i_3000_3499_1aw_othnw, i_400_499_1ept_othnw, i_650_799_be_wpt, i_1250_1499_bnw, i_2000_2499_1eft_othaw, i_650_799_bnw, i_3000_3499_1eft_othpt, i_1750_1999_lfsta_ns, i_800_999_be_wft, i_800_999_be_baw, negnil_inc_1eft_othpt, i_650_799_1aw_othnw, i_4000more_1ept_othaw, i_150_299_1ept_othnw, i_500_649_1aw_othnw, i_500_649_be_baw, i_400_499_lfsta_ns, i_300_399_1eft_othnw, i_1_149_be_baw, i_400_499_be_wpt, negnil_inc_1ept_othnw, i_800_999_1eft_othpt, negnil_inc_1ept_othaw, i_3000_3499_1eft_othaw, i_2500_2999_be_wpt, i_3000_3499_1eft_othnw, i_1250_1499_1ept_othaw, i_2500_2999_1eft_othpt, negnil_inc_1eft_othnw, i_150_299_be_baw, i_300_399_be_wpt, i_1250_1499_1aw_othnw, negnil_inc_bnw, i_2500_2999_bnw, i_1000_1249_be_wft, i_3000_3499_be_wpt, i_500_649_1ept_othnw, i_3500_3999_tot, i_400_499_tot, i_1000_1249_be_baw, i_650_799_1ept_othaw, i_1000_1249_1eft_othaw, i_1750_1999_1ept_othaw, i_150_299_1eft_othaw, negnil_inc_lfsta_ns, i_2500_2999_tot, i_1750_1999_bnw, i_150_299_1eft_othnw, i_1_149_be_wpt, i_2000_2499_tot, i_2000_2499_be_wpt, i_2500_2999_1eft_othnw, i_1_149_1aw_othnw, i_1_149_bnw, i_150_299_be_wpt, i_150_299_tot, i_1250_1499_1ept_othnw, i_1500_1749_lfsta_ns, i_300_399_be_baw, i_3500_3999_1eft_othpt, i_1000_1249_1eft_othpt, i_1_149_1ept_othaw, i_150_299_bnw, i_3000_3499_bnw, i_1750_1999_be_wpt, i_650_799_1eft_othaw, i_1500_1749_be_wft, i_3500_3999_1eft_othaw, sa4_code16, i_650_799_lfsta_ns, i_150_299_1eft_othpt, i_1000_1249_1ept_othaw, i_1250_1499_be_wft, i_2500_2999_1ept_othnw, i_800_999_lfsta_ns
63,62,44,0,0,25,0,11,0,0,8,63,78,0,83,44,27,51,4,3,21,8,760,31,557,0,1004,4,26,46,8,1907,0,13,8,331,141,15,20,0,4,1684,0,16,9,209,195,27,254,3,7,408,101,6,273,64,1514,27,809,724,325,83,0,8,9,56,275,3,168,0,6,125,496,704,292,0,"South Australia - South East",4,86,22,1699,71,128,12,7,86,0,26,0,5,5,36,11,206,691,39,6,256,228,17,9,185,31,57,3,89,1167,7,28,8,3,5,20,0,5,499,16,53,32,0,16,52,15,7,10,283,0,8,41,44,141,116,176,350,3,51,3,14,8,12,8,11,0,0,0,0,12,3,168,0,25,52,38,30,681,3,0,0,34,28,29,100,26,64,418,197,19,4,41,23,0,0,1531,67,17,7,2565,96,117,0,13,3,71,120,6,0,114,433,0,19,10,88,3,237,16,"407",4,12,28,188,26,3
25,46,69,3,3,30,0,3,3,0,5,38,97,3,90,26,16,34,28,0,7,18,434,24,376,0,590,8,15,40,3,1331,0,12,3,478,52,33,62,0,4,1067,0,25,11,130,270,37,419,27,3,423,110,3,765,45,1525,21,1327,529,427,99,0,3,9,184,171,0,125,0,0,107,486,592,506,0,"Bunbury",3,82,53,1485,49,96,25,8,51,0,6,3,35,3,62,23,123,477,26,39,189,657,36,22,140,11,77,0,75,1192,0,48,9,3,30,10,0,10,382,11,89,29,0,17,245,7,7,21,160,4,13,23,25,94,103,129,580,4,31,4,4,9,41,10,10,3,0,4,0,6,4,65,0,85,93,87,35,1097,0,0,0,32,29,39,37,44,40,912,143,4,3,19,21,0,0,2166,65,5,3,2983,123,208,0,17,5,58,86,3,0,244,227,0,30,11,80,3,87,41,"501",5,7,9,84,40,0
15,16,33,0,0,21,0,3,0,0,3,8,32,0,40,9,7,16,14,0,3,11,144,9,173,0,307,3,13,24,0,632,3,5,0,224,33,15,44,0,0,500,0,12,4,101,163,46,233,15,4,227,40,0,463,10,626,6,637,164,213,33,0,10,0,152,93,0,66,0,0,42,256,201,354,0,"Mandurah",0,44,31,592,42,32,22,0,49,0,4,0,20,0,23,8,101,205,15,11,50,374,11,18,80,3,45,0,58,502,0,27,0,3,10,0,0,9,163,0,53,19,0,9,163,0,3,0,85,0,6,20,7,61,49,72,281,4,4,0,3,8,29,7,0,0,0,4,0,5,0,22,0,32,34,62,14,523,3,0,0,20,30,24,15,10,21,542,86,3,0,8,10,0,0,1080,35,0,0,1446,49,136,0,16,0,24,67,0,0,129,78,0,13,9,27,0,40,21,"502",0,3,9,35,22,0
11,13,40,0,0,27,0,0,0,0,3,5,54,0,36,5,10,8,32,0,0,5,104,4,153,0,263,5,3,21,5,429,0,11,0,174,29,10,21,0,0,378,0,10,4,68,260,278,210,42,0,114,31,3,528,34,565,3,1106,117,261,42,0,14,0,1256,98,0,61,0,0,48,202,162,1738,0,"Perth - Inner",3,49,253,454,92,43,7,3,39,0,3,0,186,0,4,10,61,171,10,49,63,2936,4,56,62,4,87,0,30,420,0,19,0,5,56,6,0,9,114,7,74,9,0,47,920,3,5,5,77,0,5,17,19,68,37,38,523,0,5,0,6,3,55,12,0,0,0,0,0,6,3,27,0,60,71,107,3,604,11,0,0,7,56,70,17,56,31,1760,68,0,0,3,6,0,0,1249,33,0,0,1439,76,150,0,16,0,34,46,0,0,319,63,0,20,27,32,0,24,60,"503",0,0,0,28,60,0
37,57,114,3,0,72,0,8,0,0,13,31,169,0,128,38,10,70,27,0,7,26,552,28,562,0,968,19,28,65,4,1991,0,6,7,772,133,29,82,3,0,1669,0,36,11,253,629,148,702,43,9,717,128,3,1271,69,2308,12,2290,654,788,133,0,19,7,432,313,3,178,0,3,120,945,781,1223,0,"Perth - North East",5,151,84,2164,161,112,39,10,123,0,23,0,59,0,60,28,206,989,62,41,311,1161,48,39,192,15,140,0,116,1773,0,60,8,3,30,8,0,35,679,9,185,33,0,29,479,0,16,16,340,0,13,47,37,200,173,181,926,5,24,6,8,22,56,18,10,0,0,7,0,7,8,99,0,136,126,194,22,1540,14,0,3,41,108,86,64,75,87,1793,207,7,4,21,35,0,5,3514,144,6,0,4903,189,441,0,39,0,91,162,3,0,442,272,0,48,50,102,3,166,88,"504",0,5,24,120,94,5
80,97,232,11,3,132,7,14,3,3,7,58,364,9,274,61,20,133,81,5,13,50,938,48,1095,3,1649,46,42,127,6,3779,6,26,9,1345,251,85,129,3,4,2920,3,88,43,467,1338,498,1265,123,3,1294,214,0,2733,109,4346,18,5869,1352,1833,269,0,40,4,1606,663,3,316,0,5,316,1833,1612,3534,3,"Perth - North West",6,321,276,4056,359,242,78,27,263,6,34,5,218,0,126,54,386,1633,121,81,426,4475,71,103,383,21,376,0,272,3811,4,137,18,21,104,12,0,57,1079,9,412,70,0,96,1605,16,38,43,584,5,32,80,73,458,359,367,2653,10,41,8,10,30,136,48,18,3,0,24,3,9,24,130,4,296,286,477,48,4016,32,0,3,64,265,193,86,181,189,4841,437,17,10,36,57,0,0,8120,260,20,4,10107,440,915,4,66,6,227,328,14,0,1217,507,0,125,125,233,3,291,214,"505",8,14,29,225,211,11
74,82,186,11,10,156,0,7,7,3,5,42,281,5,262,82,25,117,66,0,10,45,933,51,1144,0,1947,26,62,110,17,3927,4,42,9,1609,331,58,123,4,3,3368,0,57,39,467,1081,285,1385,93,3,1489,204,3,2659,121,4191,21,4291,1226,1421,255,0,53,5,1030,739,8,346,0,3,269,1721,1380,2517,0,"Perth - South East",5,354,188,4211,410,233,77,21,289,0,21,3,186,0,104,34,417,1682,127,55,491,2455,70,93,465,19,341,0,319,2986,0,84,19,5,89,17,0,75,1438,13,401,58,3,76,1118,10,22,23,757,3,25,137,64,449,289,378,1728,4,46,9,17,28,86,52,21,0,3,15,0,18,14,150,0,231,233,420,38,2676,28,0,0,73,311,186,89,154,216,3521,544,14,3,36,35,3,3,6286,293,15,3,8981,320,826,0,70,5,223,352,8,0,794,506,0,124,120,196,3,316,150,"506",7,9,30,229,175,11
47,58,159,4,0,73,0,5,3,0,7,39,246,3,188,59,13,103,64,6,9,65,698,36,654,0,1118,30,25,80,5,2634,4,18,8,1103,123,60,120,0,7,2100,0,53,16,346,1005,346,1091,75,3,972,140,0,2283,85,3232,16,3996,892,1283,150,0,28,3,1149,415,4,242,0,3,174,1294,1131,2547,0,"Perth - South West",7,241,203,2941,203,115,61,11,145,3,17,0,183,0,98,41,273,1151,79,78,296,3150,74,92,281,9,262,0,146,2622,3,83,7,6,89,14,3,31,864,4,299,41,0,74,1213,4,24,22,360,0,15,65,37,286,252,250,1696,6,24,3,14,20,110,37,19,0,3,3,0,6,5,83,0,222,200,387,33,2736,18,0,3,52,153,165,59,137,124,3562,254,8,13,25,23,0,0,5748,205,7,3,7405,267,724,0,50,3,142,222,7,0,817,318,0,72,77,138,0,173,147,"507",0,13,25,138,164,7
19,29,48,0,0,26,4,7,4,0,0,39,63,0,66,31,24,33,16,0,12,19,325,19,333,0,575,9,16,38,0,998,0,7,7,316,69,18,39,0,8,970,0,11,16,121,170,48,253,8,8,300,61,3,371,48,1029,30,746,358,263,48,0,7,14,97,181,0,88,0,4,74,347,422,326,0,"Western Australia - Wheat Belt",7,50,32,1015,42,66,20,4,54,0,5,0,16,0,39,13,109,394,30,20,138,393,22,6,109,6,60,0,66,721,0,23,10,0,11,3,0,13,270,8,51,17,0,8,112,18,10,13,176,0,3,24,18,74,65,106,322,3,25,5,6,11,14,0,3,0,0,3,0,5,3,106,3,39,49,46,15,601,4,0,0,12,12,17,61,26,34,489,135,13,3,18,5,0,0,1288,43,9,0,1853,85,122,0,9,3,40,72,8,0,116,254,0,13,17,43,6,93,28,"509",9,8,15,88,31,0
4,6,10,0,0,21,0,0,0,0,0,6,51,0,14,5,3,3,32,0,0,13,61,3,184,0,223,11,4,16,3,249,0,3,0,100,32,19,49,0,0,262,0,18,3,75,208,105,135,0,0,89,12,0,529,14,384,0,716,84,295,19,0,0,3,243,121,8,23,0,0,8,254,126,660,0,"Western Australia - Outback (North)",0,17,28,288,18,17,11,0,80,0,3,3,22,0,13,19,101,202,14,30,54,606,6,10,35,0,41,0,132,325,0,20,9,0,8,0,0,17,90,0,26,14,0,8,392,0,11,8,56,0,10,11,4,30,30,110,256,3,9,3,0,3,24,9,3,0,0,3,0,3,0,12,0,47,24,45,4,398,0,0,0,7,14,0,11,17,12,826,159,0,3,5,3,0,0,898,18,0,0,1271,41,114,0,14,0,36,14,0,0,101,28,0,31,3,11,0,29,48,"510",3,0,0,21,12,4
12,15,29,0,0,19,3,5,3,0,4,10,70,4,39,14,8,16,13,0,3,14,199,13,230,0,300,4,10,24,3,723,0,9,7,263,41,27,56,0,0,537,0,17,4,81,251,72,299,10,3,241,23,0,579,16,833,9,955,255,375,32,0,9,13,130,150,0,44,0,0,49,375,303,504,0,"Western Australia - Outback (South)",4,34,38,733,46,41,19,3,77,0,9,3,11,0,19,12,78,338,20,12,95,464,13,9,59,12,32,0,68,612,3,30,5,4,10,3,0,9,191,9,54,15,0,6,204,7,7,11,85,0,11,20,12,70,69,115,359,5,17,3,3,0,25,3,4,4,0,0,0,0,3,40,0,61,41,68,6,647,4,0,0,14,23,20,33,29,15,690,116,0,3,9,23,0,0,1379,31,6,0,1823,46,138,0,13,0,42,56,3,0,140,99,0,27,7,16,4,63,36,"511",0,3,8,57,19,0
56,72,77,0,5,28,0,9,0,3,3,27,176,4,93,26,12,63,3,0,0,11,619,25,489,0,879,14,32,23,7,1896,0,9,7,410,89,31,28,0,0,1531,0,21,6,259,478,81,345,27,5,454,118,0,466,61,1822,5,1755,712,603,116,0,5,3,196,289,0,176,0,0,173,733,767,771,0,"Hobart",0,122,69,1757,64,156,27,0,136,0,13,3,31,0,64,18,219,796,30,22,279,820,18,22,209,10,117,0,102,1610,3,40,14,6,15,11,0,13,455,3,148,35,0,31,138,3,8,12,251,0,3,27,35,212,194,188,791,10,24,4,3,13,12,13,5,0,0,4,0,5,0,81,0,109,134,85,30,1261,0,0,3,26,52,69,39,67,80,1114,161,8,8,30,30,0,0,2701,109,6,3,3700,229,197,0,13,3,55,158,9,0,360,306,0,25,26,104,4,174,49,"601",0,0,35,147,55,8
37,46,40,3,0,23,0,12,3,0,10,36,74,3,45,24,6,49,5,0,9,10,462,21,488,0,756,4,21,27,0,1336,0,9,9,296,78,19,17,0,3,1229,0,10,4,200,186,26,222,11,3,352,81,0,280,51,1188,16,756,526,308,105,0,4,13,79,205,0,140,0,3,106,421,535,244,0,"Launceston and North East",4,75,23,1234,43,98,16,4,95,0,6,0,11,0,42,8,185,468,23,4,176,291,15,6,139,14,51,3,111,899,3,21,16,3,3,12,0,11,401,3,59,18,0,6,50,6,5,3,191,0,3,17,31,139,90,202,305,5,34,3,0,8,8,8,8,3,3,0,0,4,0,102,0,39,42,26,17,682,0,0,0,29,28,22,56,21,53,403,176,5,3,27,18,0,3,1418,60,0,0,2018,91,104,0,12,0,39,84,4,0,126,258,0,14,18,67,3,103,20,"602",3,4,10,83,20,11
9,12,11,0,0,15,0,0,0,0,3,15,7,0,23,12,5,9,0,0,4,0,128,8,158,0,251,0,13,9,0,385,0,3,0,75,21,4,0,0,0,332,5,3,0,50,31,6,44,3,0,78,28,0,71,21,294,7,141,150,55,37,0,3,3,12,71,0,47,0,4,29,81,115,43,0,"South East",0,14,0,372,14,30,4,0,26,0,0,0,0,0,7,3,63,135,10,3,44,43,6,0,40,4,21,0,29,192,0,7,0,0,0,8,0,4,99,0,17,4,0,5,5,0,0,6,58,0,0,7,8,51,19,59,49,8,13,0,0,0,0,0,0,3,0,0,0,4,0,25,0,3,15,11,5,96,3,0,3,9,9,3,24,4,26,59,51,0,4,4,7,0,0,242,23,0,0,498,27,18,0,5,0,10,35,0,0,18,69,0,3,3,24,0,40,3,"603",0,0,3,32,8,0
45,29,27,0,0,12,0,8,0,0,5,19,52,0,56,16,6,37,4,3,9,4,376,16,301,0,595,3,21,22,5,1110,0,12,6,206,42,18,23,0,4,1004,0,5,0,184,134,19,173,7,3,296,54,0,246,40,907,7,538,396,202,65,0,0,0,43,177,0,107,0,6,76,314,404,167,0,"West and North West",3,67,11,950,31,65,12,5,77,0,7,6,3,3,19,8,149,390,17,5,126,167,14,7,133,4,33,0,71,694,3,17,3,3,3,15,0,4,281,10,40,23,0,4,48,3,4,4,165,0,0,24,25,95,74,131,239,7,14,3,3,8,9,6,8,0,0,0,0,3,0,68,0,27,25,28,12,459,0,0,0,28,13,15,41,17,41,306,117,6,9,17,21,0,0,998,43,0,0,1597,57,82,0,11,0,29,77,4,0,75,245,0,13,8,49,5,96,20,"604",4,4,13,88,20,4
17,15,28,3,3,19,0,6,0,0,5,7,89,3,28,20,0,25,31,0,3,12,134,3,162,0,258,13,7,23,0,668,0,3,3,282,50,18,39,0,0,483,0,12,3,64,612,185,284,14,3,274,12,0,552,16,868,4,1487,209,770,29,0,9,0,274,94,0,42,0,0,35,747,252,1452,0,"Darwin",4,54,48,732,41,24,23,0,35,0,5,0,29,0,23,20,57,678,22,46,166,683,22,14,53,3,47,0,36,540,0,27,4,3,18,3,0,5,220,3,66,36,0,17,443,3,10,8,94,0,10,11,9,56,116,52,401,4,8,5,0,0,38,8,0,0,0,0,0,0,0,17,0,96,34,106,10,559,4,0,0,18,30,40,22,28,23,1424,63,0,0,4,9,0,0,1751,35,3,0,2162,60,189,0,15,0,22,53,0,0,179,71,0,11,28,33,3,99,88,"701",0,4,0,66,24,3
3,7,15,3,3,65,0,7,0,0,0,10,40,5,21,3,5,15,3,3,3,5,69,5,439,0,517,0,11,150,11,419,0,6,8,123,70,17,12,4,3,462,10,8,39,149,219,34,114,3,0,139,11,0,188,18,390,6,468,87,252,57,0,0,3,39,329,0,75,0,4,22,314,92,325,4,"Northern Territory - Outback",5,48,5,373,30,29,9,11,199,0,3,6,7,0,6,6,239,305,61,7,87,133,8,7,55,4,12,0,545,230,0,8,5,0,4,3,0,56,110,3,28,7,0,6,43,0,8,9,121,0,0,56,17,85,37,255,119,3,20,0,0,8,4,19,3,3,11,10,3,11,5,13,0,43,24,26,0,232,4,0,0,9,20,8,31,13,44,352,678,9,5,4,5,0,0,704,34,11,0,857,28,50,0,124,5,245,27,3,0,46,54,0,202,6,17,0,56,23,"702",3,0,3,52,6,7
48,54,109,0,16,56,0,10,0,0,4,30,436,0,125,33,17,65,26,7,0,29,415,22,444,0,722,52,22,43,3,1796,0,9,7,711,109,74,63,0,5,1350,0,68,9,193,1971,668,663,81,3,645,105,0,1482,58,2248,10,5361,532,1975,103,0,25,0,1011,254,6,135,0,0,126,1779,738,5832,0,"Australian Capital Territory",0,167,248,1983,109,102,31,10,94,0,13,0,154,0,81,77,144,1345,46,118,324,3267,43,76,172,10,177,0,98,1909,0,97,18,5,84,11,3,21,515,5,324,55,0,114,667,8,56,27,269,0,17,35,35,196,320,126,1991,9,21,3,8,14,106,19,15,0,0,9,0,8,10,50,0,398,259,373,26,2327,4,0,3,36,81,210,52,223,75,4662,162,8,7,14,34,0,0,5900,146,3,0,5997,221,560,3,25,0,64,140,6,0,1270,235,0,33,140,112,6,194,352,"801",3,4,8,146,126,8
5,0,3,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,0,0,0,0,6,0,12,0,11,0,0,3,0,38,0,0,0,3,0,0,0,0,0,38,0,0,0,4,4,3,11,0,0,0,0,0,16,0,40,0,31,12,17,0,0,0,0,4,7,0,0,0,0,3,18,10,10,0,"Other Territories",0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,13,10,0,0,3,0,0,0,0,15,0,0,3,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,7,0,0,8,4,0,0,0,0,0,0,42,0,0,0,56,0,3,0,0,0,3,3,0,0,3,13,0,0,0,0,0,7,0,"901",0,0,0,8,0,0
