r_75_99_lt_ste_terr_hsg_auth, r_450_549_lt_other_lld_type, r_275_349_lt_psn_not_sme_hhd, r_75_99_tot, r_550_649_lt_real_este_agent, r_150_199_lt_psn_not_sme_hhd, r_0_74_lt_ste_terr_hsg_auth, r_275_349_lt_ste_ter_hsg_aut, r_850_949_tot, r_200_224_lt_lld_type_ns, r_350_449_lt_other_lld_type, tot_lt_lld_type_ns, r_275_349_lt_lld_type_ns, r_100_149_tot, r_750_849_lt_ste_ter_hsg_aut, r_150_199_lt_real_este_agent, r_350_449_lt_ste_ter_hsg_aut, r_950_over_tot, r_750_849_lt_psn_not_sme_hhd, r_275_349_tot, r_550_649_lt_lld_type_ns, r_75_99_lt_lld_type_ns, r_950_over_lt_psn_not_sme_hhd, r_650_749_lt_ste_ter_hsg_aut, r_225_274_tot, r_100_149_lt_lld_type_ns, rent_ns_lt_hs_coop_com_ch_g, r_750_849_lt_real_este_agent, r_0_74_lt_other_lld_type, r_850_949_lt_lld_type_ns, r_150_199_tot, r_450_549_lt_psn_not_sme_hhd, r_950_over_lt_other_lld_type, r_0_74_lt_hs_coop_com_ch_g, r_150_199_lt_ste_ter_hsg_aut, r_450_549_lt_ste_ter_hsg_aut, r_550_649_lt_other_lld_type, r_225_274_lt_lld_type_ns, r_100_149_lt_hs_coop_com_ch_g, r_150_199_lt_other_lld_type, r_350_449_lt_real_este_agent, r_75_99_lt_hs_coop_com_ch_g, r_100_149_lt_psn_not_sme_hhd, r_225_274_lt_psn_not_sme_hhd, tot_tot, r_100_149_lt_st_ter_hsg_aut, r_450_549_lt_hs_coop_com_ch_g, r_0_74_lt_lld_type_ns, r_150_199_lt_lld_type_ns, rent_ns_lt_psn_not_sme_hhd, r_200_224_lt_ste_ter_hsg_aut, rent_ns_lt_ste_ter_hsg_auth, r_750_849_lt_lld_type_ns, r_350_449_tot, tot_lt_real_este_agent, r_75_99_lt_other_lld_type, r_75_99_lt_psn_not_sme_hhd, r_75_99_lt_real_estate_agent, r_0_74_lt_real_estate_agent, r_750_849_tot, r_0_74_tot, r_650_749_lt_lld_type_ns, rent_ns_lt_real_este_agent, r_950_over_lt_ste_ter_hsg_aut, r_850_949_lt_psn_not_sme_hhd, r_750_849_lt_hs_coop_com_ch_g, r_950_ovr_lt_hs_coop_com_ch_g, r_200_224_lt_real_este_agent, tot_lt_psn_not_sme_hhd, r_200_224_lt_hs_coop_com_ch_g, r_275_349_lt_hs_coop_com_ch_g, r_350_449_lt_psn_not_sme_hhd, r_650_749_tot, r_650_749_lt_hs_coop_com_ch_g, r_225_274_lt_ste_ter_hsg_aut, r_200_224_lt_psn_not_sme_hhd, r_450_549_tot, r_850_949_lt_ste_ter_hsg_aut, r_100_149_lt_real_este_agent, r_550_649_lt_psn_not_sme_hhd, r_850_949_lt_hs_coop_com_ch_g, r_950_over_lt_lld_type_ns, r_450_549_lt_lld_type_ns, tot_lt_ste_ter_hsg_auth, tot_lt_other_lld_type, r_275_349_lt_other_lld_type, r_275_349_lt_real_este_agent, r_850_949_lt_real_estat_agent, rent_ns_lt_lld_type_ns, rent_ns_tot, r_650_749_lt_real_este_agent, sa4_name16, r_550_649_lt_ste_ter_hsg_aut, r_100_149_lt_other_lld_type, r_200_224_tot, r_650_749_lt_other_lld_type, r_450_549_lt_real_este_agent, r_650_749_lt_psn_not_sme_hhd, rent_ns_lt_other_lld_type, r_550_649_tot, r_750_849_lt_other_lld_type, r_350_449_lt_hs_coop_com_ch_g, r_225_274_lt_hs_coop_com_ch_g, r_200_224_lt_other_lld_type, sa4_code16, r_0_74_lt_psn_not_sme_hhd, r_950_over_lt_real_este_agent, tot_lt_hs_coop_com_ch_g, r_225_274_lt_real_este_agent, r_550_649_lt_hs_coop_com_ch_g, r_225_274_lt_other_lld_type, r_850_949_lt_other_lld_type, r_150_199_lt_hs_coop_com_ch_g, r_350_449_lt_lld_type_ns
291,29,1723,419,910,529,401,603,60,10,134,514,38,3439,4,602,162,110,36,7693,0,6,33,10,2997,21,90,113,57,0,2739,607,6,63,1240,25,15,18,141,113,8692,61,291,778,38636,2756,6,307,26,270,504,372,0,11099,21933,18,35,8,23,159,1273,3,273,5,16,3,0,649,7578,102,53,2054,347,0,481,531,4226,3,145,171,0,0,9,6856,910,182,5095,41,36,1101,260,"Newcastle and Lake Macquarie",3,83,1881,8,3548,67,52,1097,4,27,80,79,"111",426,61,848,1508,0,127,0,217,29
77,32,1614,184,707,603,76,145,78,16,134,662,29,1632,9,580,70,101,49,5353,0,3,31,0,2957,23,55,109,67,0,2153,612,5,40,517,13,14,22,111,216,3705,38,336,1003,25414,917,8,447,25,306,230,142,0,5447,13065,19,37,8,15,168,1116,3,170,0,19,0,0,523,7573,68,39,1480,408,0,175,661,2454,0,127,237,0,0,15,2366,1092,129,3392,54,42,784,287,"Richmond - Tweed",7,124,1607,3,1783,119,63,968,3,37,51,113,"112",467,59,652,1541,0,159,3,206,26
119,9,567,322,26,761,125,51,5,19,27,515,13,1761,0,1517,11,35,8,3058,0,3,19,0,2810,36,30,3,328,0,3072,47,3,60,515,3,7,19,77,172,1222,42,483,604,16512,707,0,361,35,167,172,100,0,1494,8495,45,75,36,31,11,1359,0,128,0,3,0,0,868,3954,14,8,229,23,0,164,528,264,0,351,11,0,3,3,1972,1268,104,2318,0,23,568,8,"Riverina",0,113,1688,3,206,9,126,45,0,3,12,91,"113",454,7,315,1777,0,240,0,73,3
56,14,681,122,194,267,55,193,17,13,45,336,27,658,4,306,51,53,5,3319,0,0,12,0,1874,12,27,44,78,0,1237,125,4,8,440,3,7,13,37,71,2112,25,124,465,13047,359,0,229,16,132,157,105,0,2682,7081,11,21,7,14,50,616,0,112,0,3,0,0,338,2867,56,48,439,96,0,205,287,727,0,47,50,0,4,0,1636,727,96,2269,8,14,447,68,"Southern Highlands and Shoalhaven",0,69,909,0,588,21,50,252,0,20,48,55,"114",237,36,412,930,0,216,0,140,15
6,27,183,26,2367,70,3,15,369,3,43,237,5,167,0,16,15,324,91,460,12,0,42,0,296,0,71,611,44,0,178,347,3,19,24,7,16,0,76,19,693,9,40,98,11147,28,4,183,3,127,16,9,0,1048,7987,0,3,3,15,709,510,3,121,0,38,8,0,21,2048,41,11,280,1617,3,12,79,2214,0,7,259,0,0,9,147,411,74,179,327,13,380,1474,"Sydney - Baulkham Hills and Hawkesbury",4,7,187,3,1816,135,38,2658,5,14,20,35,"115",246,277,321,74,4,93,0,41,7
296,67,754,335,1943,133,366,1012,35,14,206,387,27,2370,6,83,515,48,8,4537,3,7,14,8,1481,9,58,107,27,0,1789,592,0,27,1455,67,9,9,55,40,8769,26,75,288,32849,2173,13,181,16,226,641,448,0,11083,19401,0,6,3,31,135,901,5,309,3,3,6,0,142,4288,43,56,1487,818,3,685,154,5005,3,25,202,3,0,21,7687,623,87,2598,24,47,1125,729,"Sydney - Blacktown",4,32,1015,3,4247,65,49,2171,3,59,51,15,"116",270,33,469,366,0,84,0,69,51
495,78,826,593,9594,231,617,487,3179,12,198,616,30,4231,14,176,360,4937,824,4292,26,7,937,45,1729,36,78,4828,76,11,1814,1358,73,51,1109,114,105,16,136,32,6172,56,112,362,70781,3858,104,277,12,537,547,433,16,8277,48591,11,18,14,146,5755,1796,20,821,3,467,23,9,277,10361,84,284,1308,9532,25,389,271,10163,8,75,1370,10,12,18,8574,1176,183,2487,2642,103,2083,8252,"Sydney - City and Inner South",76,19,1212,78,8493,1104,102,11188,48,213,121,27,"117",627,3908,1471,719,26,116,36,247,26
185,61,355,240,7091,124,228,151,2217,5,101,536,5,1802,4,94,107,4977,614,1556,18,3,998,16,764,10,44,2852,46,3,874,1051,48,26,533,67,53,5,36,12,3007,28,78,211,44495,1622,34,347,8,344,232,208,10,4057,31642,4,8,8,59,3512,1271,23,568,5,385,3,3,124,7604,18,39,718,5905,16,152,158,7197,4,52,1101,0,10,22,3540,668,92,910,1786,48,1272,4920,"Sydney - Eastern Suburbs",32,6,553,29,5957,899,67,8307,35,99,36,17,"118",564,3917,497,292,7,72,31,105,25
460,258,998,547,6633,343,487,573,309,11,334,919,29,3994,11,227,504,391,144,5680,24,3,74,18,2016,23,112,677,71,0,2652,1799,6,80,1734,222,137,9,169,58,14362,46,189,409,65174,3503,51,555,17,652,872,575,0,17572,42402,8,25,7,132,857,2265,3,701,7,47,3,0,317,9494,108,122,2192,2890,7,680,352,14178,3,71,969,3,0,54,9699,1463,157,3798,258,109,2281,2448,"Sydney - Inner South West",49,41,1701,46,11802,365,143,7846,23,111,113,44,"119",937,300,1206,670,26,129,3,260,69
149,86,429,205,5856,188,148,125,1245,3,64,504,11,1540,7,130,110,1583,328,2043,17,0,234,19,1029,11,87,2013,56,0,954,1116,9,32,426,50,61,7,59,40,5786,24,105,255,42160,1224,19,295,7,357,176,161,6,6966,31301,11,15,6,82,2375,1133,13,499,0,202,3,0,171,6210,57,56,912,4741,14,118,210,9679,3,63,792,3,0,29,2755,749,74,1339,1037,61,1240,4102,"Sydney - Inner West",32,74,652,41,8372,560,74,6765,21,68,52,31,"120",515,1331,650,512,16,88,4,158,31
