oth_crp_nec_vol_app_ml, num_agri_bsns_irrigating_num, wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml, cotton_tot_area_ha_e, nurseries_cut_floers_cultivated_turf_vol_app_ml, wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml, vegetables_human_consumption_vol_app_ml, rice_area_wtrd_ha, tot_area_wtrd_ha, vegetables_human_consumption_area_wtrd_ha, tot_vol_wtr_all_srcs_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml, nurseries_cut_floers_cultivated_turf_tot_area_ha, recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml, oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml, irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud, rice_tot_area_ha, fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha, tot_vol_app_used_incl_oth_agri_wtr_ml, tot_app_rt_ml_ha, oth_broadacre_crp_app_rt_ml_ha, wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml, town_reticulated_mns_supply_tot_vol_used_ml, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml, cotton_vol_app_ml, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml, cotton_area_wtrd_ha, pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d, grapevines_tot_area_ha, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud, fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha, grapevines_area_wtrd_ha, sugar_cane_app_rt_ml_ha, oth_crp_nec_area_wtrd_ha, oth_crp_nec_app_rt_ml_ha, oth_broadacre_crp_tot_area_ha, nurseries_cut_floers_cultivated_turf_area_wtrd_ha, sa4_name16, sugar_cane_tot_area_ha_f, cotton_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha, grapevines_app_rt_ml_ha, rice_vol_app_ml, oth_broadacre_crp_area_wtrd_ha, sugar_cane_vol_app_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha, sugar_cane_area_wtrd_ha, fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d, tot_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha, grapevines_vol_app_ml, pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha, nurseries_cut_floers_cultivated_turf_app_rt_ml_ha, rice_app_rt_ml_ha, oth_broadacre_crp_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c, num_agri_bsns_num, vegetables_human_consumption_app_rt_ml_ha, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud, groundwtr_eg_bores_springs_wells_tot_vol_used_ml, pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d, wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml, pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha, oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha, sa4_code16, pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c, fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha, area_holding_tot_area_ha_a, vegetables_human_consumption_tot_area_ha, oth_agri_wtr_use_vol_used_ml_b, pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c, wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml, oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha
null,null,91.88,null,88.0,11.0,null,null,24.26,null,110.07,null,24.26,null,null,null,null,null,110.07,3.63,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.26,"Newcastle and Lake Macquarie",null,null,null,null,null,null,null,null,25.5,null,null,null,88.0,null,null,null,3.63,null,null,null,5.72,null,null,null,null,10.02,null,null,null,"111",null,null,93.26,null,22.07,null,0.98,null
null,368.57,6569.63,null,1061.84,null,438.63,289.91,8393.25,212.1,26298.38,null,450.84,69.7,null,626737.35,289.91,2862.74,26298.38,2.58,null,1397.14,255.94,null,null,null,null,1.5,null,null,8719.04,null,null,null,null,2859.35,244.72,"Richmond - Tweed",13391.93,null,null,null,3329.69,null,null,null,192257.02,1164.18,1706.03,null,21669.5,2.06,null,765.74,4.34,11.49,null,null,1522.84,2.07,null,1780.77,null,4007.29,1551.3,null,null,"112",0.5,0.6,295689.91,320.05,4628.88,null,null,907.24
1177.47,1157.23,14145.65,36194.45,596.34,186756.15,17755.91,36843.61,209273.56,4333.56,1232506.37,64356.99,135.93,529.76,null,2.982102036E7,36843.61,16597.19,1232506.37,5.76,1.83,847147.66,2484.02,196005.65,342253.54,16940.33,35999.49,8.94,18335.19,1.121481171E7,17127.02,16796.73,null,233.19,5.05,308777.99,85.15,"Riverina",null,9.51,27041.49,3.81,432122.48,7817.3,null,2.38,2180655.22,null,99588.2,5580.77,1206059.34,2.56,63934.4,7841.43,7.0,11.73,14273.1,11352.3,3545.93,4.1,1.214041597E7,181443.13,624.01,181705.92,55699.43,153067.82,59777.85,"113",3.63,6.0,4237123.18,4375.25,26447.02,3124.0,5050.23,940909.8
null,76.17,null,null,49.91,237.26,395.31,null,1629.27,170.98,8578.59,null,200.71,753.01,null,90126.58,null,35.67,8578.59,2.71,null,null,null,null,null,null,null,1.66,111.59,null,39.22,111.59,null,null,null,null,null,"Southern Highlands and Shoalhaven",null,null,849.05,null,null,null,null,3.0,50788.37,null,26.36,null,4408.54,null,750.49,4287.5,0.29,null,null,null,314.83,2.31,null,1731.29,null,11.9,1877.13,null,null,"114",null,0.74,71983.5,173.4,null,null,225.36,null
null,273.49,1069.1,null,4109.16,4758.9,2013.99,null,2104.27,774.41,6503.93,23.28,1042.92,null,null,686371.02,null,226.0,6503.93,3.03,null,null,453.41,null,null,null,null,null,null,78321.32,265.83,null,null,null,null,null,955.86,"Sydney - Baulkham Hills and Hawkesbury",null,null,65.28,null,null,null,null,0.36,793.56,null,209.61,null,6384.56,null,null,null,4.3,null,null,null,342.43,2.6,null,39.7,null,4402.54,null,null,null,"115",0.34,0.93,4592.81,1102.8,119.36,null,null,null
null,null,null,null,null,null,null,null,null,null,487.26,null,null,null,null,null,null,null,487.26,null,null,null,283.41,null,null,null,null,null,null,93017.93,null,null,null,null,null,null,null,"Sydney - Blacktown",null,null,null,null,null,null,null,null,1314.55,null,null,null,null,null,null,null,6.0,null,null,null,57.28,null,null,null,null,null,null,null,null,"116",null,null,2095.69,null,379.42,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - Inner South West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.0,null,null,null,null,null,null,null,"119",null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.42,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - North Sydney and Hornsby",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.42,null,null,null,null,null,null,null,null,null,null,null,null,"121",null,null,75.72,null,null,null,null,null
null,null,32.46,300.0,null,21.47,null,null,null,null,87.79,null,null,null,null,null,null,null,87.79,6.45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - Northern Beaches",null,null,null,null,null,null,null,null,24358.79,null,null,null,null,null,null,100.0,6.45,null,null,null,null,null,null,30.0,null,null,100.0,null,null,"122",null,null,30971.63,null,78.31,null,20.0,1750.0
null,78.34,null,null,579.15,934.46,1586.08,null,857.22,404.16,null,null,140.35,20.0,null,null,null,37.91,null,2.69,null,null,625.56,null,null,null,null,0.13,null,null,46.47,null,null,null,null,null,128.26,"Sydney - Outer South West",null,null,null,null,null,null,null,0.06,8589.28,null,90.74,null,2307.5,null,null,null,4.52,null,null,31.63,213.52,3.92,null,291.37,null,758.4,148.21,null,null,"123",0.66,2.39,12076.01,519.26,null,48.08,null,null
