person_spks_french_eng_profic_notstated, person_spks_cl_oth_eng_profic_notstated, female_spks_korean_eng_profic_notstated, female_tot_spks_eng_only, female_spks_spanish_spks_eng_notwell, female_spks_serbian_tot, female_spks_polish_spks_eng_notwell, female_spks_thai_spks_eng_well, female_spks_polish_eng_profic_notstated, female_spks_se_asia_austronesia_lang_tagalog_spks_eng_notwell, person_spks_arabic_tot, female_spks_russian_tot, person_spks_dutch_eng_profic_notstated, person_spks_arabic_eng_profic_notstated, female_spks_macedonian_all_eng_profic, female_spks_se_asia_austronesia_lang_oth_spks_eng_notwell, female_spks_spanish_tot, female_spks_thai_spks_eng_notwell, person_spks_french_spks_eng_notwell, female_lang_spkn_home_notstated_tot, female_spks_se_asia_austronesia_lang_oth_eng_profic_notstated, person_spks_dutch_tot, person_spks_afrikaans_spks_eng_well, person_spks_dutch_spks_eng_well, female_spks_tamil_tot, female_spks_serbian_all_eng_profic, female_spks_persian_ed_spks_eng_notwell, female_all_lang_tot, person_spks_german_eng_profic_notstated, female_spks_macedonian_spks_eng_well, female_spks_se_asia_austronesia_lang_tot_all_eng_profic, female_tot_tot, person_spks_cl_tot_spks_eng_well, person_spks_cl_oth_spks_eng_notwell, person_spks_french_tot, person_spks_aus_indig_lang_spks_eng_notwell, person_spks_cl_cantones_eng_profic_notstated, female_spks_samoan_spks_eng_notwell, female_spks_se_asia_austronesia_lang_oth_tot, female_spks_se_asia_austronesia_lang_tot_tot, female_spks_vietnamese_all_eng_profic, female_spks_maltese_all_eng_profic, person_spks_cl_mandarin_all_eng_profic, female_spks_oth_lang_all_eng_profic, person_spks_cl_cantones_spks_eng_notwell, female_spks_turkish_all_eng_profic, female_spks_se_asia_austronesia_lang_filipin_spks_eng_notwell, female_spks_se_asia_austronesia_lang_indones_spks_eng_notwell, person_spks_cl_oth_spks_eng_well, female_spks_vietnamese_spks_eng_notwell, female_spks_se_asia_austronesia_lang_tot_spks_eng_well, person_spks_aus_indig_lang_all_eng_profic, person_spks_cl_mandarin_tot, female_lang_spkn_home_notstated_spks_eng_well, person_spks_croatian_eng_profic_notstated, person_spks_aus_indig_lang_eng_profic_notstated, person_spks_german_spks_eng_well, female_tot_all_eng_profic, female_spks_se_asia_austronesia_lang_tagalog_all_eng_profic, person_spks_afrikaans_eng_profic_notstated, person_spks_cl_tot_spks_eng_notwell, person_spks_afrikaans_spks_eng_notwell, female_spks_thai_all_eng_profic, person_spks_eng_only_tot, female_spks_serbian_spks_eng_notwell, person_spks_croatian_all_eng_profic, person_spks_afrikaans_all_eng_profic, female_spks_turkish_spks_eng_notwell, person_spks_cl_mandarin_spks_eng_notwell, female_spks_oth_lang_tot, person_spks_french_all_eng_profic, person_spks_cl_tot_eng_profic_notstated, female_spks_oth_lang_spks_eng_notwell, female_spks_tamil_eng_profic_notstated, person_spks_cl_oth_all_eng_profic, person_spks_german_tot, person_spks_cl_tot_all_eng_profic, person_spks_aus_indig_lang_tot, female_lang_spkn_home_notstated_spks_eng_notwell, female_spks_maltese_spks_eng_well, female_spks_tamil_all_eng_profic, female_spks_tamil_spks_eng_well, person_spks_afrikaans_tot, female_spks_oth_lang_eng_profic_notstated, female_tot_spks_eng_notwell, person_spks_dutch_all_eng_profic, female_spks_se_asia_austronesia_lang_tagalog_tot, female_spks_samoan_all_eng_profic, female_spks_se_asia_austronesia_lang_filipino_tot, female_spks_serbian_eng_profic_notstated, female_lang_spkn_home_notstated_eng_profic_notstated, female_spks_se_asia_austronesia_lang_indonesia_spks_eng_well, female_spks_polish_all_eng_profic, person_spks_cl_oth_tot, female_spks_vietnamese_eng_profic_notstated, person_spks_arabic_spks_eng_notwell, person_spks_cl_tot_tot, female_all_lang_all_eng_profic, female_spks_spanish_eng_profic_notstated, person_spks_croatian_spks_eng_well, female_spks_persian_ed_all_eng_profic, female_spks_tamil_spks_eng_notwell, female_spks_thai_eng_profic_notstated, person_spks_cl_mandarin_spks_eng_well, person_spks_dutch_spks_eng_notwell, female_spks_se_asia_austronesia_lang_tot_eng_profic_notstated, female_spks_samoan_spks_eng_well, person_spks_cl_cantones_all_eng_profic, female_spks_persian_ed_tot, female_spks_persian_ed_eng_profic_notstated, female_spks_korean_tot, female_spks_macedonian_spks_eng_notwell, person_spks_cl_mandarin_eng_profic_notstated, female_all_lang_spks_eng_well, female_spks_russian_spks_eng_well, female_spks_maltese_spks_eng_notwell, female_spks_macedonian_eng_profic_notstated, female_spks_vietnamese_spks_eng_well, female_spks_maltese_eng_profic_notstated, female_spks_se_asia_austronesia_lang_filipino_all_eng_profic, person_spks_german_spks_eng_notwell, person_spks_aus_indig_lang_spks_eng_well, female_all_lang_eng_profic_notstated, sa4_name16, female_spks_russian_all_eng_profic, female_spks_russian_eng_profic_notstated, person_spks_cl_cantones_tot, female_spks_se_asia_austronesia_lang_oth_spks_eng_well, person_spks_arabic_all_eng_profic, female_tot_eng_profic_notstated, female_spks_se_asia_austronesia_lang_tagalog_eng_profic_notstat, female_spks_se_asia_austronesia_lang_indonesian_all_eng_profic, female_spks_turkish_tot, female_spks_spanish_all_eng_profic, female_spks_oth_lang_spks_eng_well, female_spks_thai_tot, person_spks_french_spks_eng_well, female_spks_polish_spks_eng_well, female_all_lang_spks_eng_notwell, female_lang_spkn_home_notstated_all_eng_profic, female_spks_se_asia_austronesia_lang_tagalog_spks_eng_well, female_spks_se_asia_austronesia_lang_filipino_eng_profic_notsta, female_spks_persian_ed_spks_eng_well, person_spks_arabic_spks_eng_well, female_spks_se_asia_austronesia_lang_indonesian_eng_profic_nots, female_spks_se_asia_austronesia_lang_indonesian_tot, female_spks_se_asia_austronesia_lang_oth_all_eng_profic, person_spks_croatian_spks_eng_notwell, female_spks_samoan_tot, female_spks_spanish_spks_eng_well, female_spks_russian_spks_eng_notwell, female_spks_macedonian_tot, female_spks_samoan_eng_profic_notstated, female_spks_serbian_spks_eng_well, sa4_code16, person_spks_german_all_eng_profic, person_spks_croatian_tot, female_spks_maltese_tot, female_spks_se_asia_austronesia_lang_tot_spks_eng_notwell, female_spks_turkish_eng_profic_notstated, female_spks_se_asia_austronesia_lang_filipino_spks_eng_well, person_spks_cl_cantones_spks_eng_well, female_spks_turkish_spks_eng_well, female_spks_vietnamese_tot, female_tot_spks_eng_well, female_spks_polish_tot
4,0,6,161519,39,177,34,263,0,19,904,136,4,9,822,9,457,67,17,8792,0,331,283,317,162,179,16,12765,14,653,940,183073,2906,79,530,0,10,11,133,959,353,37,2497,2164,223,35,9,11,191,107,899,80,2506,440,0,3,810,13118,433,4,825,4,328,317626,38,349,284,4,527,2211,529,23,401,0,273,846,3733,85,62,29,162,149,289,54,2002,326,443,165,254,0,8290,115,339,276,3,212,3748,12610,6,296,134,10,4,1968,10,12,156,960,134,0,304,166,9,10674,127,9,5,244,0,248,20,83,152,"Newcastle and Lake Macquarie",136,0,969,126,889,8441,4,123,35,453,1766,331,508,303,1938,502,420,8,116,681,6,128,133,54,167,415,9,827,0,140,"111",831,353,37,47,0,233,737,30,359,11116,340
5,0,0,107960,16,16,5,205,0,9,112,49,10,0,3,0,336,26,34,9806,0,336,134,319,14,16,3,5573,11,3,525,123343,525,3,668,7,7,0,39,531,91,27,456,1064,63,18,9,5,34,16,511,151,463,378,0,4,1026,5884,257,5,186,7,235,210091,3,53,140,0,121,1093,667,15,121,0,37,1055,710,156,26,27,14,14,144,33,518,327,260,13,155,0,9404,75,62,39,0,13,733,5481,3,46,15,0,3,334,10,3,13,222,15,0,48,0,8,4987,46,0,0,73,0,157,19,147,94,"Richmond - Tweed",45,3,226,39,106,9499,0,75,18,329,940,237,631,58,486,406,247,0,10,97,3,79,39,3,18,313,0,3,0,16,"112",1038,53,27,18,0,151,156,16,90,5366,62
0,0,0,66680,12,17,0,64,0,3,369,12,3,0,3,5,113,12,8,5747,0,88,246,82,60,17,10,5774,0,3,442,78206,561,23,120,0,5,16,56,451,63,11,745,1177,87,60,9,3,35,15,422,80,747,214,0,3,182,5905,195,0,519,3,80,131503,0,36,247,28,405,1200,120,9,217,0,57,186,1076,82,11,14,54,53,247,28,1101,84,196,142,181,0,5528,18,19,57,0,42,1089,5681,3,38,43,3,0,341,3,3,129,275,43,0,61,0,6,4593,12,0,0,52,0,180,6,72,93,"Riverina",12,0,282,47,370,5621,0,18,57,115,956,80,111,20,1092,224,193,0,27,330,0,18,56,0,142,95,0,9,3,15,"113",186,36,11,17,0,172,182,29,63,4806,19
4,0,0,66812,21,54,6,95,3,4,153,42,0,3,54,0,194,31,8,4875,0,198,77,188,10,50,0,3592,0,43,296,75273,482,13,222,0,3,0,25,297,79,63,404,543,85,7,0,3,29,23,289,43,409,207,3,3,458,3753,164,0,225,0,126,130255,6,209,79,0,127,559,220,10,71,0,40,480,707,48,6,64,10,12,77,16,439,196,167,9,60,0,4663,46,74,40,0,24,716,3541,0,182,8,0,0,280,5,3,13,260,11,0,25,10,8,3104,36,0,0,61,0,60,18,40,47,"Southern Highlands and Shoalhaven",42,0,258,24,148,4713,0,46,7,194,474,125,214,68,432,214,159,0,8,123,0,46,24,27,9,171,10,54,0,42,"114",478,209,64,10,0,60,178,9,84,3310,76
4,3,19,78085,69,190,17,178,3,15,3333,318,0,23,49,0,914,49,13,4226,0,320,946,313,1154,190,134,33035,4,39,1855,115348,15587,115,489,0,35,0,73,1869,352,425,12288,2506,1203,226,7,45,539,56,1794,12,12374,265,13,5,712,33084,749,9,4509,10,229,156141,19,806,954,20,3202,2549,489,121,311,4,655,735,20094,13,29,401,1146,1103,967,43,4656,320,750,15,468,0,3933,528,319,658,5,214,20218,32798,3,743,1214,51,3,9087,5,8,14,7157,1226,8,1962,3,87,28168,285,21,0,299,4,470,13,12,240,"Sydney - Baulkham Hills and Hawkesbury",318,0,7187,73,3315,4174,3,568,226,907,2195,229,475,304,4625,290,740,3,1079,3105,0,573,73,66,15,837,33,48,0,178,"115",728,816,427,67,0,455,5957,204,357,28433,322
13,0,10,90754,264,482,124,287,3,270,10272,371,4,66,144,12,1618,73,33,8502,3,233,331,223,2417,478,222,71442,14,121,12177,170700,6037,88,780,5,20,151,330,12286,663,1216,4933,10085,1132,1221,101,113,245,180,11675,39,4964,552,11,3,544,71367,7444,3,2810,4,358,181836,85,1529,337,320,1595,10298,768,51,1889,13,326,588,8842,40,121,1093,2406,2111,335,214,9961,223,7519,1917,3568,3,7825,753,618,326,6,1553,8894,70688,9,1306,960,296,4,3342,5,107,1767,3578,970,10,963,27,28,60848,314,120,0,483,14,3542,31,35,752,"Sydney - Blacktown",359,12,3601,309,10204,8577,74,866,1235,1609,8190,361,739,492,9838,679,7174,34,740,8654,0,872,324,223,1956,1342,50,147,43,387,"116",570,1541,1225,499,12,3438,2453,899,668,61402,621
27,13,18,79660,325,444,34,3107,0,24,3253,1500,0,29,324,8,2853,1433,147,15033,0,566,190,561,205,442,34,59792,17,243,4951,154483,27427,566,3072,5,45,7,242,4986,2700,159,24283,5251,2044,671,18,373,1528,870,4520,82,24409,344,8,3,1533,59719,812,3,7284,3,4538,168746,61,676,192,159,4683,5337,3040,183,878,0,2087,1595,34715,85,65,138,205,201,194,84,11499,568,822,83,540,3,14619,2986,420,2102,14,485,34895,59310,26,579,376,9,41,19600,11,38,77,8344,379,5,1935,73,131,47870,1146,17,3,1825,9,530,40,77,485,"Sydney - City and Inner South",1493,6,8386,237,3225,15104,7,3358,677,2824,4372,4578,2893,389,11435,408,788,6,344,2737,23,3377,245,94,83,2494,348,327,0,384,"117",1579,684,164,429,9,511,6297,517,2712,48216,424
26,7,4,89659,225,289,49,511,4,8,1560,2179,5,15,76,12,2309,89,155,11471,3,521,293,495,85,286,17,36399,23,74,2378,137524,14888,277,3882,0,16,0,289,2394,516,127,11805,5459,817,167,3,126,832,69,2223,50,11864,340,0,5,1863,36466,505,0,3120,3,607,174685,33,444,299,16,2023,5533,3861,84,464,0,1110,1943,18006,56,29,111,83,83,304,69,4247,513,510,29,290,4,11096,1175,553,1110,0,196,18087,36096,15,405,306,0,3,9786,21,15,26,5093,314,8,495,9,59,31873,1840,13,0,444,8,284,56,48,303,"Sydney - Eastern Suburbs",2168,6,5113,275,1546,11404,4,1301,172,2298,4992,610,3701,511,4221,370,494,3,290,1352,3,1308,290,34,29,2071,329,76,0,251,"118",1917,444,131,150,3,278,4274,155,516,32216,562
13,14,26,103711,536,920,76,1262,3,75,69313,890,7,664,5652,34,3522,352,54,15318,4,193,152,182,436,909,63,169637,11,4503,7833,288670,51153,803,1313,0,141,56,349,7891,12865,414,44216,10774,10608,801,36,524,1567,4742,7159,44,44438,752,22,0,845,169096,2632,3,26716,0,1613,208749,135,2460,152,145,15306,11068,1299,375,2227,4,2368,890,77876,44,276,371,426,385,155,290,38424,183,2658,742,1270,12,14288,3066,567,2381,80,9589,78251,168066,47,2149,346,42,21,28909,4,61,690,31289,352,6,2589,1146,223,129924,745,42,56,8125,7,1256,35,44,1574,"Sydney - Inner South West",889,8,31434,314,68650,15867,19,3591,810,3479,8546,1639,1249,491,38144,1025,2555,7,289,59058,23,3619,350,311,754,2943,145,5707,9,775,"119",880,2481,417,672,10,1224,20679,654,12941,130673,566
21,4,45,77102,215,365,61,819,4,28,6175,509,3,56,169,7,1908,299,58,9001,0,318,165,302,1541,359,33,64764,7,148,2345,150867,29316,432,1245,0,71,3,133,2363,1914,158,26124,4572,3090,492,17,52,1115,388,2245,30,26281,319,5,0,886,64617,894,0,10508,3,1115,151957,40,1058,165,84,6981,4684,1226,231,695,13,1546,915,39824,30,95,141,1526,1354,165,111,13293,315,902,47,620,3,8589,647,482,1547,7,731,40052,64209,25,947,297,172,3,19143,13,25,47,12151,294,0,4768,23,153,51004,459,17,0,1524,0,615,18,29,554,"Sydney - Inner West",508,4,12227,131,6123,9150,11,694,500,1887,3879,1122,1172,425,13205,406,871,0,262,5388,12,708,133,115,47,1667,50,169,0,319,"120",905,1065,156,98,4,603,9061,410,1918,51323,486
