sa2_name16, availability_status, ogc_fid, state, sa2_code16, number_participants
"Mill Park - South","Available",914,"VIC","209041221",167
"Airport West","Available",921,"VIC","210011226",77
"Thomastown","Available",915,"VIC","209041223",284
"Wallan","Available",916,"VIC","209041224",155
"Whittlesea","Available",917,"VIC","209041225",114
"Doreen","Available",683,"VIC","209041430",349
"South Morang (South)","Available",920,"VIC","209041436",163
"Wollert","Available",685,"VIC","209041437",124
"Keilor","Available",922,"VIC","210011228",77
"Keilor East","Available",923,"VIC","210011229",190
"Niddrie - Essendon West","Available",785,"VIC","210011230",55
"Strathmore","Available",924,"VIC","210011231",76
"Gisborne","Available",760,"VIC","210021232",156
"Cranbourne","Available",606,"VIC","212031300",322
"Cranbourne East","Available",711,"VIC","212031301",305
"Macedon","Available",925,"VIC","210021233",26
"Riddells Creek","Available",926,"VIC","210021234",34
"Romsey","Available",686,"VIC","210021235",120
"Coburg North","Available",927,"VIC","210031236",98
"Fawkner","Available",687,"VIC","210031237",176
"Glenroy","Available",688,"VIC","210031438",362
"Pascoe Vale","Available",928,"VIC","210031239",234
"Gowanbrae","Available",929,"VIC","210031439",29
"Broadmeadows","Available",689,"VIC","210051242",305
"Meadow Heights","Available",932,"VIC","210051247",251
"Campbellfield - Coolaroo","Available",787,"VIC","210051243",252
"Gladstone Park - Westmeadows","Available",762,"VIC","210051245",200
"Greenvale - Bulla","Available",931,"VIC","210051246",166
"Croydon South","Available",945,"VIC","211031452",105
"Roxburgh Park - Somerton","Available",690,"VIC","210051249",301
"Tullamarine","Available",933,"VIC","210051250",78
"Craigieburn - Central","Available",934,"VIC","210051441",111
"Craigieburn - North","Available",601,"VIC","210051442",133
"Craigieburn - West","Available",692,"VIC","210051444",203
"Mickleham - Yuroke","Available",693,"VIC","210051445",99
"Bayswater","Available",935,"VIC","211011251",211
"Knoxfield - Scoresby","Available",694,"VIC","211011254",185
"Craigieburn - South","Available",691,"VIC","210051443",216
"Lysterfield","Available",788,"VIC","211011255",54
"Rowville - North","Available",936,"VIC","211011257",92
"Rowville - South","Available",696,"VIC","211011258",80
"Wantirna","Available",937,"VIC","211011259",163
"Wantirna South","Available",938,"VIC","211011260",200
"Rowville - Central","Available",695,"VIC","211011256",146
"Boronia","Available",697,"VIC","211011446",416
"Ferntree Gully (North)","Available",939,"VIC","211011447",259
"Croydon Hills - Warranwood","Available",943,"VIC","211031265",244
"Ringwood","Available",602,"VIC","211031266",339
"Ferntree Gully (South) - Upper Ferntree Gully","Available",812,"VIC","211011448",200
"Ringwood East","Available",698,"VIC","211031267",375
"Ringwood North","Available",944,"VIC","211031268",115
"The Basin","Available",940,"VIC","211011449",50
"Donvale - Park Orchards","Available",941,"VIC","211021261",160
"Warrandyte - Wonga Park","Available",789,"VIC","211021262",83
"Croydon - East","Available",790,"VIC","211031450",289
"Croydon - West","Available",763,"VIC","211031451",257
"Bayswater North","Available",942,"VIC","211031263",224
"Forest Hill","Available",699,"VIC","211041269",126
"Mitcham (Vic.)","Available",700,"VIC","211041270",251
"Vermont","Available",701,"VIC","211041272",151
"Vermont South","Available",702,"VIC","211041273",99
"Nunawading","Available",946,"VIC","211041271",213
"Belgrave - Selby","Available",947,"VIC","211051274",99
"Chirnside Park","Available",948,"VIC","211051275",147
"Healesville - Yarra Glen","Available",949,"VIC","211051276",185
"Kilsyth","Available",950,"VIC","211051277",136
"Lilydale - Coldstream","Available",764,"VIC","211051278",322
"Monbulk - Silvan","Available",951,"VIC","211051279",59
"Montrose","Available",952,"VIC","211051280",77
"Mooroolbark","Available",703,"VIC","211051281",407
"Mount Dandenong - Olinda","Available",791,"VIC","211051282",103
"Pakenham - North","Available",605,"VIC","212011291",248
"Mount Evelyn","Available",603,"VIC","211051283",178
"Endeavour Hills - South","Available",793,"VIC","212021454",108
"Lynbrook - Lyndhurst","Available",712,"VIC","212031306",119
"Pearcedale - Tooradin","Available",960,"VIC","212031308",72
"Upwey - Tecoma","Available",953,"VIC","211051284",102
"Wandin - Seville","Available",704,"VIC","211051285",79
"Yarra Valley","Available",604,"VIC","211051286",242
"Beaconsfield - Officer","Available",813,"VIC","212011287",151
"Bunyip - Garfield","Available",705,"VIC","212011288",64
"Emerald - Cockatoo","Available",954,"VIC","212011289",153
"Koo Wee Rup","Available",955,"VIC","212011290",75
"Pakenham - South","Available",706,"VIC","212011292",348
"Berwick - North","Available",814,"VIC","212021293",203
"Berwick - South","Available",707,"VIC","212021294",232
"Doveton","Available",956,"VIC","212021295",173
"Hallam","Available",708,"VIC","212021297",116
"Narre Warren North","Available",709,"VIC","212021299",70
"Endeavour Hills - North","Available",792,"VIC","212021453",120
"Narre Warren - North East","Available",957,"VIC","212021455",126
"Narre Warren - South West","Available",710,"VIC","212021456",177
"Cranbourne North","Available",765,"VIC","212031302",220
"Cranbourne South","Available",607,"VIC","212031303",98
"Cranbourne West","Available",958,"VIC","212031304",169
"Hampton Park - Lynbrook","Available",959,"VIC","212031305",253
"Narre Warren South (East)","Available",961,"VIC","212031457",131
"Narre Warren South (West)","Available",962,"VIC","212031458",206
"Clarinda - Oakleigh South","Available",963,"VIC","212041309",151
"Clayton South","Available",964,"VIC","212041310",119
"Dandenong","Available",766,"VIC","212041311",416
"Dandenong North","Available",608,"VIC","212041312",273
"Dingley Village","Available",965,"VIC","212041313",99
"Noble Park - East","Available",794,"VIC","212041459",151
"Keysborough","Available",966,"VIC","212041314",210
"Noble Park North","Available",713,"VIC","212041316",83
"Springvale","Available",967,"VIC","212041317",157
"Springvale South","Available",968,"VIC","212041318",111
"Noble Park - West","Available",795,"VIC","212041460",184
"Ashwood - Chadstone","Available",796,"VIC","212051319",302
"Clayton","Available",969,"VIC","212051320",165
"Glen Waverley - East","Available",970,"VIC","212051321",163
"Glen Waverley - West","Available",971,"VIC","212051322",184
"Mount Waverley - North","Available",714,"VIC","212051323",126
"Mount Waverley - South","Available",815,"VIC","212051324",204
"Mulgrave","Available",972,"VIC","212051325",195
"Oakleigh - Huntingdale","Available",973,"VIC","212051326",212
"Wheelers Hill","Available",974,"VIC","212051327",145
"Ardeer - Albion","Available",975,"VIC","213011328",77
"Cairnlea","Available",715,"VIC","213011329",104
"Keilor Downs","Available",717,"VIC","213011332",136
"Deer Park - Derrimut","Available",716,"VIC","213011330",297
"Delahey","Available",976,"VIC","213011331",78
"Kings Park (Vic.)","Available",977,"VIC","213011333",162
"St Albans - North","Available",797,"VIC","213011334",233
"Altona North","Available",982,"VIC","213021343",104
"St Albans - South","Available",718,"VIC","213011335",192
"Sunshine North","Available",979,"VIC","213011337",115
"Sunshine","Available",978,"VIC","213011336",95
"Sydenham","Available",719,"VIC","213011339",123
"Sunshine West","Available",980,"VIC","213011338",169
"Taylors Lakes","Available",720,"VIC","213011340",128
"Altona","Available",721,"VIC","213021341",127
"Newport","Available",722,"VIC","213021344",121
"Seabrook","Available",723,"VIC","213021345",43
"Williamstown","Available",983,"VIC","213021346",108
"West Footscray - Tottenham","Available",724,"VIC","213031351",100
"Braybrook","Available",798,"VIC","213031347",207
"Footscray","Available",799,"VIC","213031348",135
"Maribyrnong","Available",609,"VIC","213031349",74
"Seddon - Kingsville","Available",610,"VIC","213031350",60
"Yarraville","Available",984,"VIC","213031352",94
"Bacchus Marsh","Available",985,"VIC","213041353",326
"Hillside","Available",767,"VIC","213041355",174
"Melton","Available",725,"VIC","213041356",339
"Melton South","Available",611,"VIC","213041357",342
"Melton West","Available",726,"VIC","213041358",266
"Rockbank - Mount Cottrell","Available",986,"VIC","213041359",33
"Taylors Hill","Available",727,"VIC","213041360",167
"Burnside","Available",987,"VIC","213041461",35
"Hoppers Crossing - South","Available",729,"VIC","213051362",186
"Burnside Heights","Available",988,"VIC","213041462",54
"Caroline Springs","Available",989,"VIC","213041463",130
"Hoppers Crossing - North","Available",728,"VIC","213051361",185
"Laverton","Available",990,"VIC","213051363",67
"Tarneit","Available",612,"VIC","213051365",254
"Truganina","Available",730,"VIC","213051366",141
"Werribee - South","Available",731,"VIC","213051368",117
"Wyndham Vale","Available",800,"VIC","213051369",271
"Point Cook - East","Available",732,"VIC","213051464",97
"Point Cook - North","Available",733,"VIC","213051465",166
"Werribee - East","Available",734,"VIC","213051467",218
"Werribee - West","Available",614,"VIC","213051468",150
"Carrum Downs","Available",991,"VIC","214011370",292
"Frankston","Available",801,"VIC","214011371",474
"Frankston North","Available",735,"VIC","214011372",382
"Frankston South","Available",992,"VIC","214011373",167
"Langwarrin","Available",993,"VIC","214011374",275
"Seaford (Vic.)","Available",994,"VIC","214011375",218
"Skye - Sandhurst","Available",995,"VIC","214011376",166
"Dromana","Available",996,"VIC","214021377",123
"Flinders","Available",997,"VIC","214021378",79
"Hastings - Somers","Available",615,"VIC","214021379",294
"Mornington","Available",998,"VIC","214021380",326
"Mount Eliza","Available",999,"VIC","214021381",128
"Mount Martha","Available",1000,"VIC","214021382",137
"Point Nepean","Available",1001,"VIC","214021383",138
"Rosebud - McCrae","Available",1002,"VIC","214021384",274
"Somerville","Available",616,"VIC","214021385",203
