non_sc_quals_cert1a2_level_f, mig_lvd_same_add_1_yr_ago_m, p_aged_15_yr_over_f, non_sc_quals_certtot_level_p, non_sc_quals_cert1a2_level_m, non_sc_quals_certtot_level_m, pcent_lab_force_particip_p, p_aged_15_yr_over_p, non_sc_quals_cert1a2_level_p, p_aged_15_yr_over_m, mig_lvd_same_add_1_yr_ago_f, pcent_lab_force_particip_m, pcent_employmnt_to_pop_f, non_sc_quals_adv_dip_dip_p, non_sc_quals_certtot_level_f, non_sc_quals_cert3a4_level_f, pcent_lab_force_particip_f, non_sc_quals_adv_dip_dip_m, pcent_employmnt_to_pop_m, pcent_employmnt_to_pop_p, non_sc_quals_cert3a4_level_m, non_sc_qua_gra_dip_gra_cer_m, non_sc_qua_gra_dip_gra_cer_p, non_sc_qua_gra_dip_gra_cer_f, non_sc_quals_certnfd_level_f, lab_for_st_empl_worked_ft_f, mig_lvd_same_add_1_yr_ago_p, lab_for_st_n_the_lbour_frce_m, lab_for_st_empl_worked_pt_p, lab_for_st_empl_worked_pt_m, sa4_name16, lab_for_st_n_the_lbour_frce_p, lab_for_st_n_the_lbour_frce_f, lab_for_st_empl_awy_frm_wrk_m, lab_for_st_empl_awy_frm_wrk_f, lab_for_st_empl_worked_pt_f, mig_lvd_diff_add_1_yr_ago_m, lab_for_st_empl_worked_ft_p, mig_lvd_same_add_5_yr_ago_f, lab_for_st_empl_worked_ft_m, mig_lvd_same_add_5_yr_ago_p, non_sc_quals_certnfd_level_p, mig_lvd_same_add_5_yr_ago_m, mig_lvd_diff_add_1_yr_ago_f, non_sc_quals_certnfd_level_m, lab_for_st_unemp_lkg_fr_wrk_p, lab_for_st_tot_labour_force_p, non_sc_quals_bachelor_deg_f, percent_unemployment_m, lab_for_st_unemp_lkg_fr_wrk_m, non_sc_quals_cert3a4_level_p, percent_unemployment_f, mig_lvd_diff_add_1_yr_ago_p, lab_for_st_unemp_lkg_fr_wrk_f, non_sc_quals_adv_dip_dip_f, non_sc_quals_bachelor_deg_p, lab_for_st_tot_labour_force_m, non_sc_quals_bachelor_deg_m, non_sc_quals_postgrad_deg_f, sa4_code16, lab_for_st_empl_awy_frm_wrk_p, mig_lvd_diff_add_5_yr_ago_f, lab_for_st_tot_labour_force_f, non_sc_quals_postgrad_deg_p, mig_lvd_diff_add_5_yr_ago_p, mig_lvd_diff_add_5_yr_ago_m, percent_unemployment_p, non_sc_quals_postgrad_deg_m
1671,84534,87755,44420,1031,29894,60.3,179823,2701,92077,81227,64.5,51.4,11437,14528,11172,55.9,4720,58.7,55.1,27530,821,2302,1482,1683,21816,165766,23411,28602,8187,"Central Queensland",55042,31629,3158,2862,20410,17694,64542,50160,42723,103635,3019,53473,18398,1336,9301,108471,9931,9,5342,38700,8.1,36090,3964,6721,15522,59415,5590,1403,"308",6027,44234,49060,2876,87612,43379,8.6,1476
3230,200511,251084,103644,1768,64853,60.3,481117,4996,230033,212731,64.3,52.7,49007,38784,28835,56.6,19217,59.8,56.1,59066,2502,7238,4736,6720,61326,413245,62725,95486,32033,"Gold Coast",150749,88025,6418,7569,63455,51884,160416,123831,99086,241143,10741,117313,56681,4021,20218,290108,35356,7,10421,87903,6.9,108569,9792,29788,60354,147961,25000,8004,"309",13988,136672,142143,15508,262267,125602,7,7507
2277,115515,125725,55068,1434,33265,59.8,247518,3716,121798,118683,63.9,50.7,20644,21807,16649,55.8,8339,58.1,54.4,29900,1091,3165,2070,2882,32118,234198,35996,41274,13491,"Ipswich",83040,47048,3382,3843,27787,25418,86066,72379,53948,143773,4806,71397,26590,1926,13382,147944,14023,9,6968,46545,9.1,52010,6410,12305,22955,77793,8931,2955,"310",7223,65073,70151,5680,126114,61042,9,2724
2276,115877,124347,58459,1341,35862,61.4,242808,3617,118461,118909,66.9,50.9,19925,22598,17245,56.1,7583,61.2,55.9,32502,847,2669,1818,3085,31958,234786,31938,41321,13703,"Logan - Beaudesert",78912,46977,3465,3674,27621,24463,87293,74708,55333,148527,5100,73817,25514,2011,13243,149002,12464,8.6,6785,49747,9.3,49973,6457,12344,20119,79290,7651,2256,"311",7143,62409,69712,4342,121256,58848,8.9,2090
1252,66350,69603,37658,639,25781,61,146103,1891,76503,62124,64.6,52.6,9655,11872,9075,57.1,4006,59.9,56.4,24142,530,1620,1088,1546,18139,128476,16353,22312,6330,"Mackay - Isaac - Whitsunday",39666,23312,2893,2501,15985,13975,54771,38182,36639,80100,2548,41913,14626,994,6700,89172,7664,7.2,3564,33217,7.9,28604,3134,5655,11986,49420,4327,1007,"312",5390,34667,39754,1951,68905,34245,7.5,944
1694,84566,98191,46780,1036,28808,54.9,188974,2729,90783,89182,59.3,46.3,16153,17973,13811,50.9,6099,53.8,49.9,26225,726,2257,1532,2466,20800,173753,31038,32102,10219,"Moreton Bay - North",72410,41372,2612,2787,21889,18061,56834,55172,36042,108242,4007,53068,19691,1541,9431,103777,9077,9.2,4933,40040,9,37748,4495,10054,14041,53804,4970,1407,"313",5402,49730,49970,2606,94962,45224,9.1,1193
1158,71774,76539,34669,718,21504,69,147317,1878,70775,75028,73.8,60.3,16039,13162,10182,64.5,6862,69,64.5,19627,1111,3126,2013,1823,22371,146795,15793,29835,8634,"Moreton Bay - South",39857,24068,2028,2540,21204,15014,60548,46422,38179,91219,2985,44796,16165,1158,6625,101583,12112,6.5,3373,29808,6.6,31182,3247,9174,20145,52219,8031,2281,"314",4569,40617,49365,4611,78165,37544,6.5,2333
746,34923,33779,16397,543,11229,56.2,72933,1287,39154,31407,58.9,49.4,4472,5164,3779,53.1,1880,54.5,52.2,10141,265,883,616,639,9849,66328,11218,7917,2648,"Queensland - Outback",23315,12096,1875,1584,5269,6409,26665,21820,16817,46292,1188,24470,6340,542,2949,40985,3545,7.4,1707,13924,6.9,12747,1244,2592,5564,23043,2019,599,"315",3454,13573,17943,1124,27950,14373,7.2,527
2219,125143,154757,68438,1199,43098,56.1,293036,3412,138280,135728,59.7,49.2,30116,25337,18883,52.8,11822,55.3,52.1,39338,1918,5694,3773,4235,31169,260865,47201,59559,18999,"Sunshine Coast",110604,63405,4117,4443,40560,30158,84473,82123,53301,158805,6797,76683,33388,2561,11688,164286,22123,7.4,6099,58225,6.8,63550,5593,18291,36631,82521,14509,4216,"316",8563,82196,81767,8193,155860,73665,7.1,3978
1031,52433,62070,25765,641,15683,60.1,118177,1672,56102,56745,65.1,51.8,9489,10079,7750,55.5,3746,60.2,55.8,14213,690,2045,1358,1298,15157,109180,15858,21684,6553,"Toowoomba",39207,23345,1515,1858,15131,12443,40849,34730,25688,67006,2127,32278,13334,830,5063,70966,8728,7.5,2754,21964,6.7,25775,2312,5744,14337,36503,5606,1880,"317",3365,32321,34454,3793,61798,29481,7.1,1914
1530,83546,95213,42657,922,27523,60.3,187587,2458,92379,85147,63.1,53,13688,15134,11817,57.6,5553,57.1,55,25436,844,2665,1823,1787,25592,168690,26349,31330,9618,"Townsville",59465,33124,2933,3159,21711,19221,65812,53373,40217,106524,2950,53152,20319,1162,9970,113198,12583,9.5,5549,37254,8.1,39542,4421,8135,19598,58321,7018,2297,"318",6092,47935,54881,4430,92760,44822,8.8,2132
2393,107622,123935,56602,1474,35789,46.3,241586,3864,117652,111092,48.9,39.7,16684,20810,15468,43.9,6334,43.3,41.5,32282,850,2669,1817,2954,21292,218708,50455,36658,11908,"Wide Bay",110284,59834,3220,3220,24751,20953,57125,73224,35833,145562,4984,72335,22815,2035,11714,111935,11062,11.5,6615,47744,9.4,43766,5101,10348,16852,57573,5784,1490,"319",6440,55831,54361,2865,106932,51106,10.5,1373
1316,108458,126812,34249,829,20960,60.5,243901,2142,117094,116026,64.4,53.5,22648,13289,9375,56.9,9884,60.2,56.7,18365,2835,7502,4670,2591,30108,224485,35432,51246,17383,"Adelaide - Central and Hills",83895,48460,2811,3836,33866,21075,80366,78910,50266,152402,4360,73500,22473,1767,9418,147677,29073,6.6,5005,27742,6.1,43551,4417,12769,53241,75462,24169,9242,"401",6645,55930,72216,19100,108111,52178,6.4,9857
3490,162011,171094,73529,2265,44217,58.7,335344,5752,164250,166065,63.6,49.3,26385,29309,22022,53.9,11241,57.1,53.1,39443,1458,4084,2629,3797,37407,328074,52214,62399,20450,"Adelaide - North",123056,70840,4237,4939,41948,27136,106554,112705,69145,223266,6306,110562,28155,2509,18592,196715,19383,10.1,10585,61468,8.7,55293,8005,15144,32980,104418,13595,4253,"402",9174,72646,92296,8789,141999,69349,9.5,4533
2473,134226,150683,61218,1597,37963,60.6,287600,4072,136913,143841,64.7,53.4,27447,23260,17097,57,11858,59.6,56.3,33901,2213,6264,4050,3686,33605,278065,42581,61683,19705,"Adelaide - South",100752,58168,3514,4899,41977,21442,91961,99488,58350,193090,6152,93607,23082,2466,12354,174405,25046,7.9,6971,50995,6.3,44525,5384,15596,42472,88539,17424,5867,"403",8411,62331,85870,11607,118664,56338,7.1,5739
1295,85493,98114,34680,952,21965,59.1,189822,2243,91713,90285,63.2,51.4,16060,12713,9439,55.3,7206,57.8,54.5,19579,1219,3439,2217,1983,23379,175776,29518,37070,12932,"Adelaide - West",68708,39192,2360,2915,24132,15446,61084,62613,37703,121676,3419,59060,16035,1443,8756,112172,15666,8.6,4966,29020,7,31485,3791,8850,27631,57959,11961,3985,"404",5271,40355,54215,7555,78858,38504,7.8,3574
942,44487,45309,20771,552,13099,54.1,90015,1487,44704,44088,58.4,46.9,6321,7668,5651,49.9,2357,54.4,50.6,11694,324,1065,740,1081,8136,88574,15860,16732,5089,"Barossa - Yorke - Mid North",35870,20010,1342,1479,11649,5705,26016,31572,17879,63973,1939,32401,6054,863,3161,48732,4347,6.9,1803,17338,6,11759,1355,3968,6665,26119,2320,542,"405",2820,16466,22615,980,31947,15484,6.5,438
670,34155,33592,16815,497,11522,56.5,71651,1169,38059,31294,59.9,49,4311,5294,3927,52.5,1719,55.1,52.2,10388,245,773,529,699,7242,65450,11138,11629,3615,"South Australia - Outback",24042,12904,1466,1218,8009,5585,23117,22217,15874,46771,1331,24554,5404,633,3026,40449,3319,8.1,1852,14321,6.6,10988,1172,2588,5365,22810,2043,459,"406",2682,12635,17639,891,25955,13314,7.5,429
1681,70786,75124,34336,955,20985,54.7,149704,2644,74579,70958,58.4,48.1,10658,13346,9703,50.9,4019,54.6,51.3,18615,570,1723,1155,1962,14066,141743,26329,28681,8875,"South Australia - South East",58594,32270,2253,2271,19804,11247,43616,49524,29555,99709,3369,50187,11764,1414,5018,81830,6910,6.7,2900,28317,5.5,23006,2120,6640,10789,43577,3880,959,"407",4517,29834,38254,1772,58186,28347,6.1,812
1571,63152,70402,33677,730,20743,59.8,136066,2297,65668,65974,64.7,51.5,10972,12933,9387,55.2,4237,59.6,55.5,18868,624,2032,1406,1983,14022,129121,18284,27912,7927,"Bunbury",44636,26347,2623,2279,19979,11948,42641,41221,28618,81524,3124,40300,13227,1144,5847,81301,8570,7.7,3289,28258,6.6,25173,2558,6737,13688,42460,5113,1093,"501",4900,34492,38843,2133,65530,31039,7.2,1031
707,32788,39793,18787,412,11719,52.9,75327,1114,35530,35608,58.1,43.2,6217,7071,5184,48.3,2433,51.4,47,10689,252,883,634,1180,6928,68401,12645,12952,3775,"Mandurah",30839,18196,1263,1070,9180,7414,20143,20316,13216,39549,1800,19235,8331,618,4416,39848,3731,11.5,2379,15876,10.6,15747,2038,3784,5867,20637,2136,514,"502",2332,22094,19216,1056,41507,19407,11.1,542
541,57993,74693,13459,336,8218,62.6,146280,878,71587,60108,67.1,54.5,12861,5240,3370,58.2,5744,62.5,58.5,7167,1907,5194,3287,1327,20051,118102,16504,29073,10588,"Perth - Inner",40940,24431,1782,2208,18481,16925,52444,36402,32392,70618,2045,34213,17556,716,6009,91518,22353,6.8,3254,10540,6.3,34478,2755,7115,42816,48020,20465,7105,"503",3994,39439,43498,15519,78200,38761,6.6,8413
1606,91793,100680,41878,933,26422,64.4,197744,2539,97065,94574,68.9,55.4,18230,15457,11231,60.1,7922,63.1,59.2,24102,1294,3576,2279,2618,26838,186367,24521,38076,12155,"Perth - North East",58746,34223,3077,3041,25926,17814,72878,60069,46036,118541,4000,58472,18413,1381,10328,127404,15265,8.4,5651,35338,7.7,36227,4678,10311,26174,66919,10910,3162,"504",6120,48227,60480,6056,94436,46212,8.1,2889
3106,196849,217036,84515,1761,53576,66.3,418852,4864,201818,206722,71.6,56.8,42359,30932,21862,61.3,18553,65.8,61.1,48817,3211,8940,5732,5965,55904,403570,47451,88428,27862,"Perth - North West",120474,73023,6210,6846,60567,38082,154605,131702,98705,256566,8964,124869,39849,3004,21402,277491,39466,8.1,11712,70681,7.3,77934,9692,23809,68849,144479,29381,7599,"505",13056,105300,133011,15999,205144,99844,7.7,8406
2873,177193,195967,73330,1769,46514,63.4,387607,4650,191637,180375,69,52.8,35278,26809,19268,58,15880,62.6,57.7,42057,2585,7021,4433,4669,49468,357567,47750,74214,25870,"Perth - South East",118454,70707,5649,5736,48346,39242,137924,111917,88461,220708,7359,108793,39473,2689,22260,245784,34174,9.2,12206,61323,8.9,78720,10054,19397,61258,132189,27085,8701,"506",11388,98506,113602,18198,196372,97862,9.1,9500
2617,143908,163967,65479,1402,41188,63.4,315942,4016,151974,152768,68.6,53.9,29213,24286,17485,58.6,12634,62.5,58,37438,2325,6882,4554,4184,40107,296674,38060,61881,18661,"Perth - South West",95697,57638,4637,5056,43222,29621,111765,94563,71661,183529,6534,88970,31839,2348,16906,200243,28347,8.9,9239,54927,8,61466,7666,16576,48626,104194,20280,6227,"507",9698,82564,96049,12783,159382,76822,8.4,6553
1128,51657,53338,24073,634,15487,57.3,109291,1765,55953,49814,61.7,50.1,8062,8587,6053,52.7,3053,58.1,54.2,13896,414,1449,1039,1404,11661,101466,16292,19366,6053,"Western Australia - Wheat Belt",36979,20688,2109,1764,13307,8734,35989,33401,24323,68545,2362,35137,8840,957,3434,62659,5856,5.9,2047,19951,4.9,17583,1384,5004,9174,34541,3312,751,"509",3876,22526,28115,1450,44822,22298,5.5,699
888,48853,40559,29811,700,23630,62.3,110198,1587,69635,32110,66.2,52.4,7882,6184,4383,55.6,4242,63.6,59.5,21963,548,1471,928,910,13068,80962,9649,9334,3651,"Western Australia - Outback (North)",21719,12069,4219,2482,5686,15447,49510,17292,36443,43521,1878,26227,11072,975,3087,68633,5470,3.8,1762,26344,5.9,26524,1321,3639,10465,46076,4993,928,"510",6706,23031,22558,2160,58015,34990,4.5,1233
1100,49955,50038,25628,673,17790,58.1,109034,1771,58995,44477,61.9,50.2,7356,7841,5487,53.7,3166,57.7,54.3,16218,461,1366,904,1253,12471,94435,14136,15148,4608,"Western Australia - Outback (South)",31859,17721,2832,2124,10543,10448,39102,28171,26625,60180,2161,32015,9725,903,4146,63355,5200,6.7,2441,21700,6.4,20173,1705,4185,8812,36512,3613,754,"511",4959,23309,26847,1685,48812,25504,6.5,926
1670,82011,93511,35479,919,21555,58.7,179585,2592,86075,87347,61.9,52.7,14117,13925,10025,55.7,6052,57.3,54.9,19418,1534,4311,2774,2224,21226,169357,28023,37081,12074,"Hobart",64400,36377,2245,3005,25011,14709,56244,59735,35021,116027,3440,56296,15870,1219,6819,105395,14635,7.4,3950,29444,5.5,30574,2868,8061,25391,53294,10760,4515,"601",5248,40053,52098,8593,76793,36739,6.5,4075
1261,52150,58456,24611,621,15126,55.4,113437,1882,54985,54376,59.2,48.4,8136,9482,6598,51.9,3342,54.2,51.2,13707,553,1603,1051,1625,11255,106523,18750,22183,7036,"Launceston and North East",43067,24320,1593,1864,15152,8773,32420,37735,21163,74360,2432,36626,9572,804,4810,62863,7261,8.5,2757,20302,6.8,18339,2055,4794,11687,32542,4431,1413,"602",3455,23797,30322,2722,45637,21844,7.7,1311
313,14905,14836,6660,176,4293,51.2,30175,489,15338,14156,53.9,45.7,2408,2373,1647,48.4,1034,50.2,48,3837,163,474,306,411,2619,29061,5944,5604,1950,"South East",12516,6573,517,502,3657,1890,7850,10131,5234,21090,690,10962,2067,282,979,15453,1720,7,575,5489,5.6,3964,400,1373,2847,8267,1122,420,"603",1016,5389,7183,788,10595,5214,6.3,361
1078,40987,45063,21095,545,13046,54.6,87333,1621,42271,42821,59,47,6057,8049,5765,50.4,2290,53.9,50.4,11837,336,998,663,1210,8309,83812,14764,16345,4863,"West and North West",34472,19710,1336,1412,11479,6444,24903,30026,16595,59448,1874,29419,6964,663,3672,47660,4063,8.7,2160,17603,6.6,13407,1507,3769,6415,24950,2352,636,"604",2739,17788,22708,1215,33886,16098,7.7,585
875,49300,55565,26790,627,18376,66,119524,1509,63955,44649,68.4,60.2,9961,8412,6304,63.2,4725,65.3,63,16862,835,2581,1749,1236,21161,93947,11486,15343,5540,"Darwin",25655,14170,2706,2510,9800,15651,54707,25399,33545,53345,2116,27948,14755,882,3575,78846,9504,4.5,1952,23167,4.6,30405,1623,5238,16289,43746,6786,2565,"701",5219,30920,35101,4962,64803,33880,4.5,2397
803,36890,39295,13272,602,8679,49.5,80255,1407,40955,35810,51.5,42.6,4694,4591,3025,47.3,2174,45.8,44.2,7438,434,1362,926,758,10466,72697,13243,7209,2835,"Northern Territory - Outback",28074,14830,1902,1886,4373,6990,24469,26045,14003,52531,1395,26489,7099,640,4233,39695,4364,11.2,2369,10466,10,14093,1868,2513,7087,21101,2722,1220,"702",3784,14277,18595,2128,28876,14599,10.7,911
1784,143874,164435,43406,1174,25594,67.1,321487,2961,157056,148965,70.3,61.2,29508,17815,12447,64.1,13212,66.9,63.9,22645,5211,13220,8006,3580,57376,292836,37089,56960,20380,"Australian Capital Territory",86823,49740,4479,6606,36579,33003,137543,92651,80164,180492,5350,87836,33885,1774,10272,215848,38945,4.9,5417,35092,4.6,66887,4854,16300,71063,110429,32110,15953,"801",11081,83627,105418,34713,165560,81939,4.8,18756
33,1812,1977,862,34,599,58.4,4359,64,2385,1749,59.2,55.7,370,261,161,57,152,58,57.1,520,28,74,47,75,596,3565,641,636,230,"Other Territories",1214,575,91,99,406,346,1662,1307,1063,2634,115,1326,289,48,57,2544,233,2.2,31,685,2.4,640,27,217,432,1413,201,49,"901",189,627,1126,111,1343,717,2.2,65
