non_sc_quals_cert1a2_level_f, mig_lvd_same_add_1_yr_ago_m, p_aged_15_yr_over_f, non_sc_quals_certtot_level_p, non_sc_quals_cert1a2_level_m, non_sc_quals_certtot_level_m, pcent_lab_force_particip_p, p_aged_15_yr_over_p, non_sc_quals_cert1a2_level_p, p_aged_15_yr_over_m, mig_lvd_same_add_1_yr_ago_f, pcent_lab_force_particip_m, pcent_employmnt_to_pop_f, non_sc_quals_adv_dip_dip_p, non_sc_quals_certtot_level_f, non_sc_quals_cert3a4_level_f, pcent_lab_force_particip_f, non_sc_quals_adv_dip_dip_m, pcent_employmnt_to_pop_m, pcent_employmnt_to_pop_p, non_sc_quals_cert3a4_level_m, non_sc_qua_gra_dip_gra_cer_m, non_sc_qua_gra_dip_gra_cer_p, non_sc_qua_gra_dip_gra_cer_f, non_sc_quals_certnfd_level_f, lab_for_st_empl_worked_ft_f, mig_lvd_same_add_1_yr_ago_p, lab_for_st_n_the_lbour_frce_m, lab_for_st_empl_worked_pt_p, lab_for_st_empl_worked_pt_m, sa4_name16, lab_for_st_n_the_lbour_frce_p, lab_for_st_n_the_lbour_frce_f, lab_for_st_empl_awy_frm_wrk_m, lab_for_st_empl_awy_frm_wrk_f, lab_for_st_empl_worked_pt_f, mig_lvd_diff_add_1_yr_ago_m, lab_for_st_empl_worked_ft_p, mig_lvd_same_add_5_yr_ago_f, lab_for_st_empl_worked_ft_m, mig_lvd_same_add_5_yr_ago_p, non_sc_quals_certnfd_level_p, mig_lvd_same_add_5_yr_ago_m, mig_lvd_diff_add_1_yr_ago_f, non_sc_quals_certnfd_level_m, lab_for_st_unemp_lkg_fr_wrk_p, lab_for_st_tot_labour_force_p, non_sc_quals_bachelor_deg_f, percent_unemployment_m, lab_for_st_unemp_lkg_fr_wrk_m, non_sc_quals_cert3a4_level_p, percent_unemployment_f, mig_lvd_diff_add_1_yr_ago_p, lab_for_st_unemp_lkg_fr_wrk_f, non_sc_quals_adv_dip_dip_f, non_sc_quals_bachelor_deg_p, lab_for_st_tot_labour_force_m, non_sc_quals_bachelor_deg_m, non_sc_quals_postgrad_deg_f, sa4_code16, lab_for_st_empl_awy_frm_wrk_p, mig_lvd_diff_add_5_yr_ago_f, lab_for_st_tot_labour_force_f, non_sc_quals_postgrad_deg_p, mig_lvd_diff_add_5_yr_ago_p, mig_lvd_diff_add_5_yr_ago_m, percent_unemployment_p, non_sc_quals_postgrad_deg_m
1097,95491,103488,32666,608,20816,66.6,199035,1708,95546,100390,71.3,60.1,23412,11852,7285,62.3,9438,68.8,64.3,18192,1755,4849,3091,3466,30063,195878,22788,42239,13232,"Sydney - Northern Beaches",56374,33585,2365,3120,29009,15968,80220,66142,50162,128696,5481,62558,16855,2012,4640,132588,24427,3.5,2362,25476,3.5,32820,2277,13975,45260,68111,20830,6887,"122",5485,47131,64474,14274,91905,44775,3.5,7390
1914,100988,104567,46017,835,28670,63.8,202829,2748,98260,104704,69.8,54.1,18350,17344,12452,58.2,7392,65.8,59.7,26034,847,2367,1517,2985,29375,205686,24600,34639,10792,"Sydney - Outer South West",62676,38078,2968,3322,23839,16456,80246,69431,50876,136682,4785,67254,17109,1802,8219,129393,12818,5.7,3929,38479,7,33565,4287,10957,21542,68567,8721,3531,"123",6289,46501,60825,6860,90506,44002,6.4,3331
2086,117646,125382,55734,983,34368,63.8,243311,3072,117924,122953,68.9,55.6,22559,21367,15666,59,9107,65.3,60.3,31155,1330,3911,2581,3611,35618,240602,30603,43693,13552,"Sydney - Outer West and Blue Mountains",75634,45027,3239,3965,30145,18674,95817,83918,60194,164666,5838,80747,19486,2232,8460,155182,16829,5.2,4224,46821,5.7,38161,4240,13455,27954,81212,11124,4874,"124",7209,52896,73964,9104,102314,49422,5.5,4226
1880,169064,177934,44224,1054,27399,57.9,361025,2940,183093,168855,64.5,46.7,31490,16822,11164,51.2,14426,59.4,53.1,23716,2088,4956,2875,3784,46096,337913,52927,56598,24325,"Sydney - Parramatta",128586,75663,5136,4738,32276,36785,125340,107153,79244,211684,6406,104533,32821,2626,17385,209196,34149,8,9415,34875,8.8,69605,7970,17061,65757,118118,31610,13286,"125",9874,83587,91077,28278,174087,90498,8.3,14988
643,67889,78153,15926,341,9626,62.5,150765,983,72612,71835,67.5,54.4,14275,6299,3760,57.9,6114,63.4,58.7,8241,1379,3561,2182,1899,23026,139724,20630,26799,9537,"Sydney - Ryde",50306,29675,1709,2204,17266,14621,57788,46345,34765,89590,2936,43251,15186,1037,5781,94289,20860,6.1,3015,12001,6.1,29808,2771,8165,39655,49027,18797,9205,"126",3913,37541,45263,19005,73693,36154,6.1,9807
2417,159480,163420,50626,1183,31288,54.7,319903,3600,156486,164276,61.6,43.8,26208,19337,13217,48.1,11233,56.4,50,27634,801,2198,1396,3709,38395,323752,50732,46856,17879,"Sydney - South West",126125,75398,4559,4259,28978,23767,104291,112600,65894,222118,6179,109514,24287,2472,14995,174957,19066,8.3,7989,40847,8.9,48054,7008,14971,33991,96321,14928,4139,"127",8817,66687,78636,7840,130991,64306,8.6,3706
1225,86424,90062,38277,556,25317,66.5,173475,1784,83414,91081,71,60,20204,12959,8310,62.2,8482,68.5,64.1,22933,1289,3557,2264,3428,25825,177503,21285,35499,10143,"Sydney - Sutherland",52045,30760,2199,2835,25361,11078,70641,64498,44816,125700,5256,61198,11628,1831,4129,115309,16405,3.5,2086,31240,3.6,22702,2045,11724,28943,59246,12537,4158,"128",5032,34687,56063,8374,67270,32580,3.6,4214
1055,58166,65386,26814,538,16817,56.9,126087,1595,60700,61082,60.9,49.8,10633,9992,7710,53.2,4205,56.5,53,15443,1085,3198,2113,1228,12889,119250,19817,25226,7786,"Ballarat",46181,26361,1719,2208,17446,10039,37688,40607,24804,79627,2062,39020,11092,837,4936,71782,8905,7.3,2689,23153,6.5,21125,2248,6425,14616,36996,5706,2010,"201",3931,28664,34785,3767,54812,26156,6.9,1750
990,56461,63500,26326,510,16554,57.2,122571,1493,59066,59249,60.9,50.6,10232,9776,7415,53.7,4127,57,53.7,15231,1136,3400,2259,1370,12827,115708,18917,24962,7834,"Bendigo",43807,24887,1722,2170,17129,9381,36947,39117,24122,76937,2183,37815,10428,813,4285,70086,8954,6.4,2316,22650,5.8,19810,1967,6106,14602,35995,5642,1956,"202",3893,27585,34088,3570,52402,24812,6.1,1612
1504,101308,115360,46701,811,29218,59.3,221543,2311,106186,107521,63.7,52.1,21628,17486,13598,55.3,8888,59.7,55.7,26901,1758,5406,3648,2380,23954,208828,32662,46331,14003,"Geelong",77761,45096,3024,3838,32332,19019,70309,70725,46355,137402,3887,66673,20667,1502,7927,131430,18026,6.3,4272,40506,5.7,39688,3658,12738,30579,67652,12557,3768,"203",6863,52763,63779,7420,101068,48304,6,3654
