hi300_399_hhd_with_indig_psns, hi2000_2499_hh_with_indig_psn, hi150_299_other_households, tot_other_households, hi1250_1499_hh_with_indig_psn, hi1_149_hhd_with_indig_psns, hi500_649_tot_hhlds, tot_tot_hhlds, hi300_399_other_households, hi1000_1249_other_households, hi1500_1999_tot_hhlds, hi150_299_hhd_with_indig_psns, hi500_649_hhd_with_indig_psns, hi1500_1999_hh_with_indig_psn, hi1250_1499_other_households, hi3000_more_tot_hhlds, hi500_649_other_households, hi650_799_tot_hhlds, hi1_149_tot_hhlds, hi1250_1499_tot_hhlds, hi800_999_other_households, hi650_799_other_households, hi2500_2999_hh_with_indig_psn, hi1000_1249_hh_with_indig_psn, hi400_499_hhd_with_indig_psns, sa4_name16, hi650_799_hhd_with_indig_psns, hi2000_2499_other_households, hi1500_1999_other_households, partial_inc_stated_other_hhds, hi2500_2999_other_households, hi400_499_tot_hhlds, hi300_399_tot_hhlds, hi800_999_tot_hhlds, hi2500_2999_tot_hhlds, hi400_499_other_households, partial_inc_stated_tot_hhlds, hi3000_more_hh_with_indig_psn, hi1_149_other_households, all_inc_ns_hh_with_ind_psns, all_inc_ns_tot_hhlds, tot_household_with_indig_psns, hi150_299_tot_hhlds, sa4_code16, part_inc_st_hh_with_indig_psn, hi1000_1249_tot_hhlds, neg_nil_inc_hh_with_ind_psns, hi3000_more_other_households, neg_nil_inc_other_households, hi2000_2499_tot_hhlds, all_income_ns_other_household, neg_nil_income_tot_hhlds, hi800_999_hh_with_indig_psn
268,518,151,17880,321,76,534,23938,202,755,2497,301,305,487,824,6603,228,781,139,1144,504,372,258,421,420,"Western Australia - Outback (North)",408,2862,2011,1646,1548,691,471,958,1806,272,2381,659,62,356,719,6062,451,"510",737,1173,80,5942,142,3381,362,217,450
147,294,733,36308,224,66,1628,40067,1084,2541,4519,187,236,352,2407,5661,1389,2653,326,2629,1913,2347,146,262,223,"Western Australia - Outback (South)",304,4163,4166,3617,2420,2479,1227,2158,2568,2253,4091,244,264,300,1321,3762,917,"511",471,2803,54,5417,565,4458,1022,625,249
165,382,1819,81434,395,28,4848,85630,2835,7437,10118,119,252,520,6399,8437,4595,6884,529,6789,6341,6522,182,393,292,"Hobart",363,7900,9594,5624,4590,6731,2999,6687,4768,6440,5947,287,499,113,1976,4198,1942,"601",320,7829,36,8155,826,8279,1863,863,350
105,173,1636,52198,185,25,3457,54587,2174,4815,5786,94,179,227,3931,3387,3279,5700,413,4116,4335,5429,76,240,195,"Launceston and North East",274,4100,5558,3541,2347,5535,2279,4565,2423,5335,3729,100,380,76,1491,2390,1736,"602",191,5051,23,3289,635,4271,1415,662,229
31,94,420,13225,110,10,848,14412,576,1217,1534,27,69,151,1017,675,780,1601,146,1126,1166,1463,39,117,99,"South East",139,966,1383,995,443,1610,608,1275,481,1510,1103,52,134,37,426,1182,445,"603",109,1338,10,625,146,1061,383,154,110
150,339,1119,39078,337,25,2684,42950,1710,3655,4527,115,278,467,2985,2303,2409,4603,322,3325,3297,4234,158,323,317,"West and North West",371,2937,4058,2658,1594,4719,1860,3631,1748,4399,2970,199,300,125,1335,3875,1238,"604",314,3983,31,2104,403,3271,1215,434,328
149,460,338,38682,217,37,902,43043,652,2137,5023,99,151,428,2356,11610,754,1327,165,2566,1439,1146,331,278,178,"Darwin",177,5247,4591,3752,3406,1176,805,1652,3734,999,4224,954,131,160,890,4361,443,"701",469,2412,47,10653,353,5710,728,401,211
218,526,139,13625,660,154,735,22013,276,903,2667,420,427,801,959,2997,306,1159,222,1621,649,510,291,723,596,"Northern Territory - Outback",647,1942,1867,1296,1227,974,491,1371,1513,376,2337,462,66,630,1044,8394,560,"702",1036,1626,69,2538,165,2465,415,231,723
98,372,1742,139409,215,24,3843,142664,2579,8806,17175,86,108,375,9247,37090,3734,5392,701,9462,6198,5253,300,182,144,"Australian Capital Territory",137,18265,16800,10233,11816,4763,2675,6361,12111,4622,10488,704,668,62,1726,3254,1826,"801",261,8986,25,36392,1387,18642,1664,1417,160
0,4,24,1291,10,0,68,1360,32,119,168,0,4,3,104,139,63,84,12,105,95,82,3,5,0,"Other Territories",4,149,170,118,77,78,30,99,77,83,120,5,13,15,42,69,26,"901",7,127,0,135,14,156,28,15,3
