hi300_399_hhd_with_indig_psns, hi2000_2499_hh_with_indig_psn, hi150_299_other_households, tot_other_households, hi1250_1499_hh_with_indig_psn, hi1_149_hhd_with_indig_psns, hi500_649_tot_hhlds, tot_tot_hhlds, hi300_399_other_households, hi1000_1249_other_households, hi1500_1999_tot_hhlds, hi150_299_hhd_with_indig_psns, hi500_649_hhd_with_indig_psns, hi1500_1999_hh_with_indig_psn, hi1250_1499_other_households, hi3000_more_tot_hhlds, hi500_649_other_households, hi650_799_tot_hhlds, hi1_149_tot_hhlds, hi1250_1499_tot_hhlds, hi800_999_other_households, hi650_799_other_households, hi2500_2999_hh_with_indig_psn, hi1000_1249_hh_with_indig_psn, hi400_499_hhd_with_indig_psns, sa4_name16, hi650_799_hhd_with_indig_psns, hi2000_2499_other_households, hi1500_1999_other_households, partial_inc_stated_other_hhds, hi2500_2999_other_households, hi400_499_tot_hhlds, hi300_399_tot_hhlds, hi800_999_tot_hhlds, hi2500_2999_tot_hhlds, hi400_499_other_households, partial_inc_stated_tot_hhlds, hi3000_more_hh_with_indig_psn, hi1_149_other_households, all_inc_ns_hh_with_ind_psns, all_inc_ns_tot_hhlds, tot_household_with_indig_psns, hi150_299_tot_hhlds, sa4_code16, part_inc_st_hh_with_indig_psn, hi1000_1249_tot_hhlds, neg_nil_inc_hh_with_ind_psns, hi3000_more_other_households, neg_nil_inc_other_households, hi2000_2499_tot_hhlds, all_income_ns_other_household, neg_nil_income_tot_hhlds, hi800_999_hh_with_indig_psn
36,187,4389,241312,133,22,9603,243018,5515,20833,31494,40,73,226,19268,28392,9530,16716,1873,19403,16495,16598,116,165,78,"Melbourne - South East",114,27880,31271,18811,17029,13458,5559,16609,17143,13384,18952,170,1851,60,5247,1708,4423,"212",142,20997,32,28219,5036,28067,5190,5073,108
67,268,4792,234064,176,12,8948,236425,5521,19881,30652,67,101,287,18542,30398,8843,15204,1762,18716,15619,15026,171,200,95,"Melbourne - West",170,27284,30364,17517,16844,12562,5584,15808,17013,12472,17715,259,1743,62,5452,2366,4860,"213",196,20082,38,30140,4079,27551,5390,4114,188
39,121,1958,106136,113,3,5482,107477,3074,9264,12637,32,82,164,8082,11572,5396,8265,732,8193,7895,8170,81,118,72,"Mornington Peninsula",97,10661,12467,7918,6507,7854,3111,7998,6586,7778,8028,120,726,47,3406,1341,1992,"214",115,9380,22,11449,1445,10784,3365,1466,107
110,104,1474,55133,142,15,3334,56900,2278,5078,5963,72,132,140,4391,3155,3202,5728,553,4531,4757,5518,47,169,160,"North West",206,4305,5820,3893,2239,5754,2387,4901,2277,5596,4040,60,537,101,2287,1765,1537,"215",145,5249,18,3095,773,4408,2184,790,147
81,122,1085,45669,122,16,2610,47321,1650,4256,5295,59,121,171,3677,3000,2494,4550,381,3804,3692,4381,55,139,139,"Shepparton",168,3992,5122,3303,2201,4215,1731,3841,2252,4075,3438,67,362,75,1872,1651,1146,"216",132,4395,31,2930,646,4111,1797,681,148
50,70,1223,45622,77,14,2708,46541,1713,4244,5209,32,71,73,3563,3181,2640,4176,471,3642,3759,4088,34,96,60,"Warrnambool and South West",91,3949,5140,3148,2213,4192,1763,3853,2246,4139,3214,45,455,35,1656,918,1249,"217",67,4341,16,3136,603,4019,1623,616,91
64,281,1163,76731,188,11,3196,79234,1729,5804,9113,48,124,331,5219,13147,3067,5387,440,5408,4621,5214,190,214,138,"Brisbane - East",171,8775,8781,5940,6061,4910,1792,4797,6245,4777,6136,313,423,45,1622,2504,1206,"301",192,6020,29,12841,739,9053,1569,774,169
71,255,1075,75898,179,15,3173,78039,1798,6028,9708,44,109,273,5465,12903,3065,4626,426,5648,4586,4481,164,171,86,"Brisbane - North",152,8985,9434,5213,5976,4515,1875,4718,6136,4427,5369,266,414,53,1572,2140,1113,"302",157,6198,20,12639,802,9241,1519,817,129
80,253,1932,114643,161,19,4268,116823,2457,8778,14091,48,94,280,8039,21357,4170,6492,841,8200,6610,6381,165,147,102,"Brisbane - South",105,13219,13811,8703,9126,5836,2532,6764,9289,5736,8858,340,821,57,1811,2183,1982,"303",153,8919,20,21017,2091,13475,1749,2113,156
21,94,850,60353,56,7,2021,61200,971,3977,6777,24,25,78,3676,15454,1992,2671,406,3731,2985,2621,76,53,31,"Brisbane - West",47,6744,6696,5199,4817,2309,989,3037,4897,2283,5282,176,398,9,792,843,871,"304",82,4031,13,15284,1079,6838,785,1091,53
43,167,1575,95403,136,14,3174,96989,1959,6278,11061,66,63,182,6169,24930,3108,3864,653,6302,4645,3787,95,123,80,"Brisbane Inner City",76,10970,10877,7553,6180,3760,2007,4745,6279,3681,7665,284,637,25,1302,1589,1635,"305",111,6396,20,24644,2057,11136,1280,2074,96
360,636,1685,77614,675,99,4354,86040,2427,6988,10064,282,525,895,6133,7448,3828,7149,683,6808,5957,6361,326,767,516,"Cairns",795,7766,9165,6496,4371,6267,2786,6698,4704,5748,7398,460,582,339,2350,8431,1973,"306",894,7757,115,6990,1098,8396,2018,1206,746
128,214,944,42163,240,28,2360,45103,1317,3885,4997,83,207,333,3413,3223,2160,4363,438,3653,3320,4060,95,291,227,"Darling Downs - Maranoa",309,3778,4662,3379,2055,3981,1447,3571,2155,3759,3645,150,410,88,1413,2936,1026,"307",263,4174,39,3074,622,3994,1323,665,254
192,479,1496,71373,361,58,3294,76527,2047,5262,8657,168,300,560,4869,10034,2994,5530,627,5239,4418,5080,292,434,322,"Central Queensland",450,7888,8093,6647,4691,5211,2234,4801,4986,4882,7140,446,567,140,2006,5149,1663,"308",488,5695,71,9589,988,8370,1861,1058,383
93,554,3212,198802,406,29,9441,203602,4730,17370,25325,109,221,620,15669,24854,9216,15030,1316,16076,14007,14715,366,436,184,"Gold Coast",320,21437,24705,15142,13080,12538,4821,14329,13450,12354,15555,585,1287,94,4591,4806,3318,"309",417,17801,47,24266,3117,21991,4493,3166,321
179,547,1676,100071,509,42,4796,105456,2421,9156,13787,114,298,678,8544,10022,4493,8041,622,9052,7583,7578,302,515,276,"Ipswich",468,11232,13106,7619,6682,6720,2603,8025,6985,6443,8057,386,579,132,2303,5382,1786,"310",438,9674,63,9641,1143,11778,2172,1200,440
121,501,1531,97489,412,20,4625,102085,2207,8738,13550,78,248,621,8258,10196,4382,7780,536,8672,7078,7452,317,426,223,"Logan - Beaudesert",329,11318,12922,7442,6664,6123,2323,7422,6983,5900,7837,377,513,130,2237,4601,1611,"311",392,9161,50,9817,1168,11818,2100,1219,349
123,335,1131,54477,302,38,2393,58112,1456,4008,6536,97,204,372,3739,7699,2190,3789,439,4040,3274,3502,214,300,200,"Mackay - Isaac - Whitsunday",291,6173,6165,5793,3702,3557,1579,3523,3910,3358,6173,354,404,119,1650,3633,1226,"312",385,4301,53,7348,728,6512,1531,782,249
118,343,1493,80682,346,27,4830,84548,2498,7432,9993,78,209,461,6408,7043,4616,7991,568,6757,6434,7626,167,365,220,"Moreton Bay - North",365,7596,9535,5560,4374,6943,2615,6847,4546,6722,5883,292,539,91,2279,3860,1580,"313",321,7799,44,6752,901,7937,2195,943,410
29,267,652,63188,184,5,2186,65103,963,4980,8897,22,69,274,4797,10561,2121,3707,280,4982,3819,3608,166,160,57,"Moreton Bay - South",99,8431,8625,4892,5611,2712,988,3930,5783,2652,5033,260,272,43,982,1910,677,"314",142,5138,16,10306,520,8698,938,541,116
298,520,360,17959,578,80,1041,25011,533,1293,2618,373,432,662,1182,3156,609,1646,216,1758,1030,1098,289,584,527,"Queensland - Outback",546,2112,1958,1563,1197,1746,831,1596,1485,1218,2266,519,139,321,1007,7056,732,"315",701,1874,68,2637,334,2638,693,403,564
81,340,2351,125478,289,26,6820,128735,3356,11507,15069,55,175,454,10196,12891,6639,11218,832,10484,9671,10974,213,287,146,"Sunshine Coast",244,12042,14613,9965,7158,9382,3440,9918,7370,9234,10286,263,810,72,2880,3258,2412,"316",326,11794,36,12624,1523,12379,2804,1566,252
77,228,856,51383,217,17,2789,53834,1361,4589,6560,53,156,300,4004,5433,2632,4591,332,4221,3919,4369,131,225,127,"Toowoomba",230,5375,6260,3607,3243,3980,1440,4138,3369,3852,3801,194,315,60,1283,2446,912,"317",193,4818,21,5243,535,5599,1220,559,220
245,557,1451,74737,553,62,3665,81043,2049,6210,9866,234,418,714,5840,8463,3247,5966,562,6393,5200,5443,307,567,353,"Townsville",522,7994,9152,6832,5104,5267,2294,5716,5405,4909,7389,415,499,221,2031,6302,1684,"318",557,6772,73,8050,953,8544,1814,1023,513
